keys,de
Text/3a/text,"Der Kontrollpunkt wurde nach dem Widerstandsangriff wiederaufgebaut. Die Sicherheit ist beispiellos, mit Propagandasendungen, die die ""tapferen Verteidiger"" preisen."
Text/3b/text,Ich wurde zum Regionaldirektor für Grenzsicherheit und [pulse freq=2]Wurzelreserve-Verteilung[/pulse] befördert.
Text/3c/text,Russet heftet eine kleine Medaille an Ihre Uniform. Stellvertretender Regionaldirektor... für Ihre unerschütterliche Treue zu Spud.
Text/3d/text,Ich habe eine Sonderaufgabe! Premierminister Idaho wird heute unsere Einrichtung inspizieren. Sie wurden für die Demonstration ausgewählt.
Text/3e/text,"Haben Sie die neue Charge Wurzelreserve gesehen? Sie nennen sie 'Widerstandsmischung' nach dem, was mit den Gefangenen geschah."
Text/3f/text,"Manche sagen, der Widerstand sei nicht komplett falsch gewesen. Dass es [wave amp=15 freq=3]Beweise gibt, dass sie die Wahrheit sagten[/wave]..."
Choice/40/text,Sei vorsichtig. Schon so zu reden ist jetzt gefährlich. (Vorsichtig)
Choice/41/text,Ich hatte die gleichen Gedanken. Das fühlt sich nicht richtig an. (Mitfühlend)
Text/42/text,Nicht alle glauben mehr die offizielle Geschichte. Halten Sie die Augen offen während des Besuchs des Premierministers.
Text/43/text,"Es bildet sich eine neue Widerstandsbewegung. Leiser, vorsichtiger. Wenn Sie mehr wissen wollen... achten Sie auf das gelbe Kartoffel-Emblem."
Text/44/text,ACHTUNG: Die Motorkolonne von Premierminister Idaho ist eingetroffen. Alle Offiziere an zugewiesene Positionen. Inspektionsprotokolle in Kraft.
Text/45/text,Ihre Medaille fühlt sich schwer an - eine Belohnung für Treue oder ein Schandmal? Bald werden Sie den Architekten der Wurzelreserve treffen.
Text/46/text,"Nach der Sendung, die die Wurzelreserve aufdeckte, sind Aufstände über ganz Spud ausgebrochen. Premierminister Idaho bleibt in der Verwaltungsgebäude barrikadiert."
Text/47/text,"Idaho plant eine letzte Sendung, um die Schuld für die Wurzelreserve auf uns zu schieben. Wir können nicht zulassen, dass er die Geschichte umschreibt. Heute beenden wir sein Regime."
Text/48/text,"Sie haben mein Leben im Verarbeitungswerk gerettet. Jetzt haben wir eine Chance, ganz Spud zu retten."
Text/49/text,Ihre Kenntnisse der Sicherheitsprotokolle werden entscheidend für die finale Mission sein. Sind Sie bereit?
Choice/4a/text,"Ich bin bereit. Lasst uns beenden, was wir begonnen haben."
Choice/4b/text,Was ist genau der Plan? Ich brauche Details.
Text/4c/text,"Ich wusste, Sie würden nicht aufgeben. Sie sind einer unserer [tornado radius=3 freq=2]stärksten Verbündeten[/tornado]."
Text/4d/text,"Wir werden mit Regierungsuniformen infiltrieren. Sie werden helfen, die Sicherheitssysteme zu umgehen. Unser Ziel ist es, Idaho zu fangen und ein öffentliches Geständnis zu erzwingen."
Text/4e/text,"Sie werden im Team Alpha mit Sasha sein, der den Osteingang durchbricht. Ihr Ziel: [color=GREEN]Sendezentrum sichern[/color]."
Text/4f/text,"Vom loyalen Zollbeamten zum Widerstandskämpfer? Eine Transformation, die Sie nie vorstellten. Was auch immer passiert, Spud wird nie wieder dasselbe sein."
Choice/4a/disabled_text,
Choice/4b/disabled_text,
Choice/41/disabled_text,
Choice/40/disabled_text,
