keys,en
dialogue_spud_being_called_1,"Next spud, your destiny awaits."
dialogue_spud_being_called_2,"Front of queue, moment of truth approaches."
dialogue_spud_being_called_3,"Step forward, chosen one of tuber-kind."
dialogue_spud_being_called_4,Congratulations! Your waiting succeeded.
dialogue_spud_being_called_5,The Great Potato Bureaucracy summons you.
dialogue_spud_being_called_6,"Advance, noble tuber! Papers await!"
dialogue_spud_being_called_7,Move forth! The stamp grows restless.
dialogue_spud_being_called_8,Step lively! Form P-38B needs filling.
dialogue_spud_being_called_9,"Come forward, fate requires your entry."
dialogue_spud_being_called_10,"Approach the counter of judgment, spud."
dialogue_spud_in_office_1,Please be patient. Time is an illusion.
dialogue_spud_in_office_2,Waiting builds character. And starch.
dialogue_spud_in_office_3,The queue moves in mysterious ways.
dialogue_spud_in_office_4,Your position is noted by authorities.
dialogue_spud_in_office_5,Standing in line: the universal constant.
dialogue_spud_in_office_6,No spud is ready until seasoned by waiting.
dialogue_spud_in_office_7,"Patience: not the only virtue, but listed."
dialogue_spud_in_office_8,Bureaucratic wheels turn slowly. Very slowly.
dialogue_spud_in_office_9,"Ah, the sweet sound of procedure!"
dialogue_spud_in_office_10,Today's queue is tomorrow's anecdote.
dialogue_spud_in_office_11,Time in queues bends. It's been measured.
dialogue_spud_in_office_12,Waiting skill: Level 43 achieved!
dialogue_warnings_1,Those against will be peeled with precision.
dialogue_warnings_2,Line-jumpers sent to Express Processing.
dialogue_warnings_3,Queue disruption earns lectures on queues.
dialogue_warnings_4,Insubordination leads to Room With Hot Oil.
dialogue_warnings_5,"We don't have to be fair, just organized."
dialogue_warnings_6,The Committee for Spud Compliance sees all.
dialogue_warnings_7,Troublemakers: mashed without butter.
dialogue_warnings_8,Chaos causers become hash browns. Quickly.
dialogue_warnings_9,Rule-breakers face twice-baked status.
dialogue_warnings_10,Queue Auditors have flagged your existence.
dialogue_warnings_11,Your file: marked with THE red stamp.
dialogue_misc_1,Where is everyone?
dialogue_misc_2,Emergency? Continue waiting in order.
dialogue_misc_3,Read paragraph seven of waiting agreement?
dialogue_misc_4,"Lost property: found, taxed, misplaced."
dialogue_misc_5,"If a spud complains, does it make sound?"
dialogue_misc_6,Light replaced with sign: 'More Tunnel.'
dialogue_misc_7,Death is temporary. Bureaucracy is forever.
dialogue_misc_8,Filing system achieved sentience. Stay calm.
dialogue_misc_9,Today's lucky numbers mean nothing. Sorry.
dialogue_misc_10,"Apocalypse? Take number, wait to vanish."
dialogue_misc_11,No evidence means more forms required.
dialogue_document_interaction_1,"Take your documents, please."
dialogue_document_interaction_2,TAKE THEM!
