keys,fi
Text/215/text,"Murphy nappaa sinut käytävältä, silmät punareunaiset. Onko sinulla hetki?"
Text/216/text,Murphy vetää sinut tyhjään varastohuoneeseen ja sulkee oven.
Text/217/text,"Se vitsi, jonka kerroin kahvilassa... serkustani olevan [color=DARK_VIOLET]Juurireservin[/color] erässä..."
Text/218/text,"Murphyn ääni murtuu. En usko, että se oli enää vitsi."
Text/219/text,"Sanoit, ettei se ollut hauskaa. Olit oikeassa. [color=STEEL_BLUE]Tässä ei ole mitään hauskaa.[/color]"
Text/21a/text,"Näin sinun lähtevän. Fiksua. Kunpa voisin lopettaa sen syömisen, mutta he [color=YELLOW]katsovat[/color]. He katsovat aina."
Text/21b/text,"Löysin jotain serkkuni tavaroista. Hänen hylkäyslomakkeensa. Tavallista kamaa, mutta..."
Text/21c/text,"Murphy vetää esiin rypistyneen lomakkeen. Katso käsittelykoodia. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Etsin sen arkistoista. RR tarkoittaa [pulse freq=2][color=DARK_VIOLET]Juurireserviä[/color][/pulse]. UTIL tarkoittaa... [color=CRIMSON]hyödyntämistä[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Murphyn kädet alkavat täristä.[/wave] Serkkuni... Tommy... hän oli vasta kaksikymmentäkolme.
Text/21d_breakdown2/text,Hän tuli tänne etsimään [color=CHARTREUSE]parempaa elämää[/color]. Epäonnistui yhdessä tarkastuksessa. Yhdessä. [color=STEEL_BLUE]Vain huonoa ajoitusta.[/color]
Text/21d_breakdown3/text,"Murphy valuu alas seinää pitkin, kasvot käsissään. Ja minä... minä [tornado radius=3 freq=2][color=CRIMSON]SÖIN[/color][/tornado] sitä tavaraa. Joka päivä."
Text/21d_breakdown4/text,"Murphy katsoo sinua ylös, kyyneleet valuen. [pulse freq=2][color=CRIMSON]Mitä jos söin HÄNET?[/color][/pulse]"
Choice/21e/text,Murphy... Olen niin pahoillani. Olen kanssasi. Löydämme totuuden yhdessä.
Choice/21f/text,"Murphy, tämä on vaarallista. Meidän pitäisi pysyä erossa siitä."
