keys,ru
Text/d2/text,После вашей смены вас ведут на тайное собрание сопротивления на заброшенной крахмальной фабрике.
Text/d2b/text,Прежде чем мы начнем... Я должен кое в чем признаться.
Text/d2c/text,"Та записка, которую вы нашли в первый день? ""[color=GOLD]Друг[/color]""?"
Text/d2d/text,"Саша улыбается. Я вижу, вы ее сохранили. Умно. Я знал, что выбрал правильный росток."
Text/d2e/text,"Я месяцами наблюдал за новыми офицерами, ища кого-то с [color=CHARTREUSE]пытливым взглядом[/color]. Кого-то, кто мог бы видеть сквозь ложь."
Text/d2f/text,Выражение лица Саши сложное. Вы показали ее Рассету. Мне пришлось залечь на дно на несколько недель после этого.
Text/d2g/text,Но вы все равно здесь. Это говорит мне кое-что о вашей совести.
Text/d2h/text,Вы ее уничтожили. Я вас не виню - ее было рискованно хранить.
Text/d2i/text,"Но слова все равно проникли в вашу голову, не так ли?"
Text/d2j/text,"[color=CHARTREUSE]Я и есть ""Друг"".[/color] И теперь вы знаете почему."
Text/d2k/text,Саша раскладывает захваченные документы на столе. Манифесты обработки за последний месяц.
Text/d2l/text,"Вы просматриваете имена, и ваша кровь стынет в жилах."
Text/d2m/text,Вот она. [color=GOLD]Марис Пайпер[/color]. Женщина с фотографии.
Text/d2n/text,"""[color=CRIMSON]Статус: Обработана. Партия RR-2847.[/color]"" Датировано через три дня после того, как ее муж умолял вас о помощи."
Text/d2o/text,Вы чувствуете фотографию в своем кармане. [color=STEEL_BLUE]Ее нет. И вы не смогли ее спасти.[/color]
Text/d2p/text,"Но, возможно... [color=CHARTREUSE]возможно, вы еще можете спасти других[/color]."
Text/d2q/text,"Мерфи выходит из тени. Привет. Рад, что вы добрались."
Text/d2r/text,Мерфи поднимает скомканную форму RR-UTIL. Мой кузен тоже в этом списке. [color=CHARTREUSE]Мы сделаем это вместе.[/color]
Text/d3/text,Потрепанная картофелина с боевыми шрамами обращается к собравшейся группе.
Text/d4/text,Время шепота и листовок прошло. Правительство показало свое истинное лицо.
Text/d5/text,"Наши источники подтверждают, что перерабатывающие заводы [wave amp=15 freq=2][color=DARK_VIOLET]Корневого Резерва[/color][/wave] увеличивают производство."
Text/d6/text,"Что означает [tornado radius=3 freq=3][color=CRIMSON]больше наших братьев и сестер исчезли, были обработаны, потреблены[/color][/tornado]."
Text/d7/text,Лидер стучит кулаком по столу. [pulse freq=3][color=CHARTREUSE]Этому придет конец сейчас же.[/color][/pulse] У нас есть план ударить в самое сердце их операции.
Text/d8/text,Саша разворачивает подробные планы на столе. Через три дня мы начнем наше основное наступление.
Text/d9/text,"Пока одна команда создает отвлекающий маневр в главном правительственном комплексе, другая проникнет на крупнейший объект Корневого Резерва."
Text/da/text,"Наша цель: получить [color=CHARTREUSE]неопровержимые доказательства[/color] того, что происходит внутри, и транслировать это всему Спаду."
Text/db/text,Саша указывает на раздел планов. Вот где ты вступаешь в игру.
Text/dc/text,"Нам нужен кто-то внутри на Таможне Спада, чтобы наши агенты могли пересечь границу для миссии."
Text/dd/text,"Можем ли мы рассчитывать на тебя, что ты будешь этим человеком?"
Choice/de/text,"""Я сделаю всё, что потребуется, чтобы раскрыть правду."""
Choice/df/text,"""Это звучит опасно. Что, если нас поймают?"""
Choice/e0/text,"""Есть ли другой способ, который не подвергнет стольких риску?"""
Text/e1/text,Лицо Саши озаряется надеждой. Спасибо. [color=CHARTREUSE]Твоя смелость спасёт бесчисленные жизни.[/color]
Text/e2/text,"Она сжимает твою руку. Когда всё это закончится, [color=CHARTREUSE]тебя будут помнить как героя революции.[/color]"
Text/e3/text,[color=STEEL_BLUE]Надежда в глазах Саши угасает.[/color] Я... да. Это опасно.
Text/e4/text,"Мы все можем оказаться [color=DARK_VIOLET]переработанными в ""Корневой Запас""[/color] сами, если провалимся."
Text/e5/text,"[color=STEEL_BLUE]Она ненадолго отводит взгляд.[/color] Я думала, после всего, что ты видел... но я понимаю. Страх естественен."
Text/e6/text,[color=STEEL_BLUE]Лицо Саши мрачнеет. Свет в её глазах тускнеет.[/color] Другой способ? Мы пробовали другие способы. Годами.
Text/e7/text,Петиции. Тихая дипломатия. Анонимные сообщения. [color=STEEL_BLUE]Её голос становится холодным.[/color] Ничего не сработало.
Text/e8/text,"Я надеялась, что ты будешь другим. Что ты понимаешь, что поставлено на карту."
Text/e9/text,Разгорается жаркий спор среди членов сопротивления.
Text/ea/text,Некоторые выступают за более агрессивный подход – полное уничтожение перерабатывающих заводов.
Text/eb/text,"Другие настаивают, что насильственные действия только настроят общественное мнение против них."
Text/ec/text,ХВАТИТ! Лидер утихомиривает комнату властным голосом.
Text/ed/text,"Мы не можем позволить себе быть разделёнными. Не сейчас, когда мы так близки."
Text/ee/text,"Наша цель проста: раскрыть правду. Пусть люди решат, что будет дальше."
Text/ef/text,"Лидер поворачивается, чтобы обратиться к тебе напрямую. Но нам нужно знать [color=YELLOW]на чьей ты стороне[/color]."
Text/f0/text,Через три дня наши агенты подойдут к твоему КПП. Они будут иметь при себе [color=CHARTREUSE]синие идентификационные карты[/color].
Text/f1/text,Поможешь ли ты им пересечь границу? Твой ответ сейчас определит наш следующий шаг.
Choice/f2/text,"""Я помогу им пересечь границу. За будущее Спада."""
Choice/f3/text,"Я не могу быть напрямую вовлечён, но я закрою на это глаза."
Choice/f4/text,"Мне нужно больше времени, чтобы подумать об этом."
Text/f5/text,Лидер крепко сжимает ваше плечо. [color=CHARTREUSE]Ваша смелость делает честь всем нам.[/color]
Text/f6/text,"На третий день, когда солнце будет в зените, придут наши агенты."
Text/f7/text,"Пароль: ""[wave amp=15 freq=3][color=CHARTREUSE]Корни растут глубоко.[/color][/wave]"" Запомните это."
Text/f8/text,"Лидер медленно кивает, явно разочарованный, но понимающий."
Text/f9/text,"Иногда самое большее, что мы можем просить, это чтобы люди не стояли у нас на пути."
Text/fa/text,Наши агенты будут действовать по плану. Просто... не поднимайте тревогу.
Text/fb/text,"Выражение лица лидера становится жёстче. [color=YELLOW]Время — это роскошь, которой у нас нет.[/color]"
Text/fc/text,"Но принуждение кого-либо присоединиться к нашему делу не делает нас лучше, чем они."
Text/fd/text,"Мы будем действовать, не рассчитывая на вашу помощь. Загляните в свою совесть."
Text/fe/text,"Когда собрание заканчивается, Саша идёт с вами обратно к КПП."
Text/ff/text,"[color=CHARTREUSE]Она берёт вас за руку, пока вы идёте.[/color] Что бы ни случилось... теперь мы в этом вместе. Спасибо."
Text/ff2/text,"[color=STEEL_BLUE]Она держит дистанцию, пока вы идёте.[/color] Я ценю, что вы не стоите у нас на пути. Это... уже что-то."
Text/ff3/text,"[color=STEEL_BLUE]Она идёт молча, скрестив руки.[/color] Надеюсь, вы найдёте ту определённость, которую ищете. Остальные из нас не могут позволить себе ждать."
Text/100_viktor1/text,"На обратном пути вы находите Виктора одного на крыше КПП, смотрящего на ночное небо."
Text/100_viktor2/text,Виктор держит маленькую
Text/100_viktor3/text,"Она говорила, что как бы темно ни становилось, звёзды всё равно будут там. [color=STEEL_BLUE]Постоянные. Прекрасные.[/color]"
Text/100_viktor4/text,"Он поворачивается к вам, глаза блестят. [wave amp=15 freq=2]Я всё думаю... она страдала?[/wave] Она знала, что происходит?"
Text/100_viktor5/text,"Голос Виктора надламывается. Она однажды спросила меня, не сомневался ли я когда-нибудь в отказах. Я сказал ей [color=CRIMSON]доверять системе[/color]."
Text/100_viktor6/text,"[tornado radius=3 freq=2][color=CRIMSON]Я отправил свою собственную жену в перерабатывающие чаны, сам того не зная.[/color][/tornado]"
Choice/100_viktor_choice1/text,"""Ты не мог знать. Никто из нас не знал."""
Choice/100_viktor_choice2/text,"""Елена хотела бы, чтобы ты боролся сейчас, а не тонул в чувстве вины."""
Choice/100_viktor_choice3/text,"""Я не знаю, что сказать. Мне жаль."""
Text/100_viktor7/text,Он медленно качает головой. [color=STEEL_BLUE]Неведение — это не невинность. Я должен был спросить. Должен был слушать.[/color]
Text/100_viktor8/text,Виктор осторожно прячет фотографию. [color=CHARTREUSE]Но теперь я знаю. А знание обязывает меня действовать.[/color]
Text/100_viktor9/text,"Виктор выпрямляется, в его глазах вновь разгорается холодный огонь. [color=CHARTREUSE]Ты прав.[/color] Она была сильнее меня. Храбрее."
