keys,sv
sex_male,Man
sex_female,Kvinna
condition_fresh,Färsk
condition_extra_eyes,Extra ögon
condition_rotten,Rutten
condition_sprouted,Groddad
condition_dehydrated,Dehydrerad
condition_frozen,Fryst
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Sötpotatis
race_purple_majesty,Purple Majesty
country_spudland,Spudland
country_potatopia,Potatopia
country_tuberstan,Tuberstan
country_north_yamnea,Nordyamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Mash Meadows
country_tuberville,Tuberville
country_chip_hill,Chip Hill
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Point
