keys,el
Text/b8/text,"Η συνοριακή εγκατάσταση βρίσκεται σε πλήρη αποκλεισμό, με ένοπλους φρουρούς να περιπολούν σε κάθε διάδρομο."
Text/b9/text,[pulse freq=3][color=RED]ΠΡΟΣΟΧΗ! Κατάσταση ασφαλείας ΕΠΙΠΕΔΟΥ ΚΟΚΚΙΝΟΥ![/color][/pulse] Απόρρητα έγγραφα κλάπηκαν χθες το βράδυ.
Text/ba/text,Έχουμε έναν [tornado radius=4 freq=3][color=CRIMSON]προδότη ανάμεσά μας[/color][/tornado]. Όποιος αποκρύπτει πληροφορίες θα αντιμετωπιστεί ως συνεργός.
Text/bb/text,"Όλοι οι αξιωματικοί, παραταχθείτε για [wave amp=15 freq=2][color=DARK_ORANGE]έλεγχο ασφαλείας[/color][/wave]. Όσοι εμφανίσουν αυξημένες αντιδράσεις στρες θα επισημανθούν."
Text/bc/text,Έχεις δει τι συμβαίνει έξω; Παντού φυλλάδια που δείχνουν ότι το [color=DARK_VIOLET]Root Reserve[/color] φτιάχνεται από... [pulse freq=3][color=CRIMSON]από εμάς[/color][/pulse].
Choice/bd/text,"""Χαμήλωσε τη φωνή σου. Όλοι μας παρακολουθούν."""
Choice/be/text,"""Έχω ακούσει τις ίδιες φήμες. Είναι φρικτό αν αληθεύει."""
Choice/bf/text,"""Αυτή είναι γελοία προπαγάνδα. Μην διαδίδεις τέτοια ψέματα."""
Text/c0/text,Έχεις δίκιο. Αλλά αν είναι αλήθεια... τι μας κάνει αυτό;
Text/c1/text,Ο ξάδερφός μου απορρίφθηκε τον περασμένο μήνα. Αυτό σημαίνει...? Δεν [color=CHARTREUSE]αντέχω άλλο[/color].
Text/c2/text,Η έκφρασή τους γίνεται επιφυλακτική. Φυσικά. Πιστός Πατάτας για πάντα.
Text/c3/text,Δηλώστε πού βρισκόσασταν χθες το βράδυ μεταξύ 22:00 και 04:00.
Choice/c4/text,"""Ήμουν στα καταλύματά μου όλη τη νύχτα, κοιμόμουν."""
Choice/c5/text,"""Θα προτιμούσα να μιλήσω πρώτα με τον νομικό μου εκπρόσωπο."""
Text/c6/text,Τα επίπεδα στρες σας υποδεικνύουν [color=YELLOW]απάτη[/color]. Ωστόσο... ασαφές. Μπορείτε να φύγετε προς το παρόν.
Text/c7/text,"Νομικός εκπρόσωπος; Αυτή είναι μια διαδικασία ασφαλείας, όχι δίκη. Η άρνησή σας έχει σημειωθεί."
Text/c7_viktor1/text,Ένας ογκώδης φρουρός ασφαλείας πλησιάζει κατά τη διάρκεια του διαλείμματός σας. Το πρόσωπό του είναι καταβεβλημένο.
Text/c7_viktor2/text,"Γεια... είσαι ένας από τους τελωνειακούς υπαλλήλους, σωστά; Ρωτούσα για τη γυναίκα μου, την Έλενα."
Text/c7_viktor3/text,Πέρασε αυτό το σημείο ελέγχου πριν από τρεις εβδομάδες. [color=STEEL_BLUE]Απέτυχε στον έλεγχο.[/color] Δεν έχω νέα της από τότε.
Choice/c7_viktor4/text,"""Βίκτορ... βρήκα κάτι. Για την Έλενα. Πρέπει να μάθεις την αλήθεια."""
Choice/c7_viktor5/text,"""Λυπάμαι, Βίκτορ. Δεν έχω δει τίποτα."" (Ψέματα για να τον προστατέψεις)"
Text/c7_viktor6/text,Του δείχνεις ένα αντίγραφο της σελίδας του καταλόγου. Το πρόσωπό του ασπρίζει.
Text/c7_viktor7/text,[wave amp=25 freq=3]Τα χέρια του τρέμουν καθώς διαβάζει.[/wave] [color=GOLD]Έλενα Πετρόφ[/color]... [color=CRIMSON]Επεξεργάστηκε... Παρτίδα RR-2851...[/color]
Text/c7_viktor8/text,Η φωνή του είναι μόλις ένας ψίθυρος. [tornado radius=3 freq=2][color=CRIMSON]Την... την ΜΕΤΕΤΡΕΨΑΝ σε...[/color][/tornado]
Text/c7_viktor9/text,Η θλίψη του μετατρέπεται σε ψυχρή οργή. [pulse freq=2][color=CRIMSON]Το Αϊντάχο θα πληρώσει για αυτό.[/color][/pulse] Το ορκίζομαι στη μνήμη της.
Text/c7_viktor10/text,Σε πιάνει από τον ώμο. [color=CHARTREUSE]Σε ευχαριστώ που μου το είπες.[/color] Όταν έρθει η ώρα... θα το θυμάμαι.
Text/c7_viktor11/text,Κουνάει το κεφάλι του λυπημένα. [color=STEEL_BLUE]Το φαντάστηκα.[/color] Κανείς δεν ξέρει τίποτα. Ή κανείς δεν θέλει να μιλήσει.
Text/c7_viktor12/text,Αν ακούσεις κάτι... [color=YELLOW]σε παρακαλώ.[/color] Είναι το μόνο που έχω.
Text/c8/text,"Λειτουργεί. Τα μανιφέστα έχουν προκαλέσει αναστάτωση, αλλά [color=DARK_ORANGE]ο Ράσετ μας υποψιάζεται[/color]."
Text/c9/text,Πρόσεχε για συμμάχους από την οργάνωσή μας κατά τη σημερινή βάρδια. [color=CHARTREUSE]Θα τους αναγνωρίσεις[/color].
Text/ca/text,"Αν μπορείς να τους περάσεις με ασφάλεια, χρησιμοποίησε το [color=CHARTREUSE]ειδικό σημάδι που συζητήσαμε[/color]."
Choice/cb/text,"""Αξίζει τον κίνδυνο. Είμαι μέσα."""
Choice/cc/text,"""Αυτό γίνεται πολύ επικίνδυνο. Ίσως πρέπει να μείνουμε κρυμμένοι."""
Text/cd/text,"Ήξερα ότι μπορούσα να βασιστώ σε σένα. Όταν τελειώσει αυτό, [color=CHARTREUSE]ο Σπαντ θα ξέρει ποιοι ήταν οι πραγματικοί ήρωες[/color]."
Text/ce/text,Έχουμε ξεπεράσει αυτό το σημείο. Το να μείνουμε κρυμμένοι δεν θα μας σώσει. [color=CHARTREUSE]Μόνο η κατάρριψη του συστήματος θα το κάνει[/color].
Text/cf/text,Κάθε σταθμός διαθέτει πλέον το νέο [color=DARK_ORANGE]σύστημα RealityScan[/color]. Ανιχνεύει μη εξουσιοδοτημένα σημάδια και πλαστογραφίες.
Text/d0/text,Όλα τα έγγραφα πρέπει να σκανάρονται πριν την έγκριση. Οι [color=CRIMSON]προδότες θα ξεριζωθούν[/color]. Το εγγυώμαι.
Text/d0_qte1/text,"Αργότερα σε αυτή τη βάρδια, ένας ταξιδιώτης πλησιάζει με έγγραφα που φέρουν το [color=CHARTREUSE]διακριτικό σημάδι της αντίστασης[/color]."
Text/d0_qte2/text,Το [color=DARK_ORANGE]RealityScan[/color] ξεκινά τη σάρωσή του. [wave amp=15 freq=3][color=RED]Θα ανιχνεύσει το σημάδι![/color][/wave]
Text/d0_qte3/text,Έχεις δευτερόλεπτα για να αποφασίσεις. Ο σαρωτής ζεσταίνεται...
Choice/d0_qte4/text,"""Προσποιήσου βλάβη σαρωτή - γρήγορα!"" (Βοήθησε την αντίσταση)"
