keys,ar
Text/140/text,الحدود تشبه [pulse freq=3][color=CRIMSON]منطقة حرب[/color][/pulse]. المتاريس والمركبات المدرعة والحراس النخبة يقفون على أهبة الاستعداد. اليوم هو الموعد الذي خططت فيه المقاومة للضرب.
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]بث طارئ[/color][/wave]: كل ""سبود"" تحت [color=RED]الأحكام العرفية[/color]. ""المقاومة"" شنت هجمات ضد المنشآت الحكومية."
Text/142/text,أي شخص يساعد هؤلاء [color=CRIMSON]المتطرفين[/color] يواجه [color=DARK_VIOLET]معالجة فورية[/color]. الوزارة تؤكد: [color=DARK_VIOLET]احتياطي الجذور[/color] يبقى آمناً لجميع [color=DARK_ORANGE]البطاطس الموالية[/color].
Text/143/text,[color=YELLOW]اندلعت أعمال شغب[/color] في قطاعات متعددة. خلايا المقاومة هاجمت ثلاث منشآت لـ [color=DARK_VIOLET]احتياطي الجذور[/color].
Text/144/text,هدفهم: الوصول إلى قاعدة البيانات المركزية التي تحتوي على جميع سجلات الإنتاج. أي علامة على عدم الولاء تعني المعالجة.
Text/145/text,لقد قبضنا على العديد من عملاء المقاومة، بمن فيهم الضابطة ساشا.
Text/146/text,[tornado radius=3 freq=2][color=CRIMSON]الخونة الحقيقيون[/tornado] هم من [color=DARK_VIOLET]يطعمون شعبنا لبعضه البعض[/color]. لا يمكنك إيقاف الحقيقة!
Text/147/text,يتم سحبها بعيداً، وهي لا تزال تصرخ: [color=CHARTREUSE]سيعرف الناس ما في طعامهم![/color]
Text/148/text,[color=CRIMSON]الخائن[/color] سيتم [pulse freq=3][color=DARK_VIOLET]معالجته فوراً[/color][/pulse]. دفعة خاصة من [color=DARK_VIOLET]احتياطي الجذور[/color]، مصنوعة من الإرهابيين أنفسهم.
Text/149/text,جميع المعابر الحدودية [color=RED]معلقة[/color] باستثناء الموظفين الأساسيين الذين يحملون [color=GOLD]تصريح المستوى ألفا[/color].
Text/14a/text,لا يمكن [color=YELLOW]خداع[/color] هذا الماسح الضوئي. أطلق الإنذار فوراً لأي شخص بدون تصريح مناسب.
Text/14b/text,تقترب بطاطس بزي رسمي مع وثائق ألفا تبدو مثالية.
Text/14c/text,"تسقط بطاقة زرقاء صغيرة من المجلد. ""[wave amp=15 freq=3][color=CHARTREUSE]الجذور تنمو عميقاً.[/color][/wave]""، يتمتمون وهم يلتقطون البطاقة."
Choice/14d/text,"""مررهم متجاهلاً تنبيهات الماسح الضوئي"" (مساعدة المقاومة)"
Choice/14e/text,"""أطلق الإنذار فوراً"" (خيانة المقاومة)"
Text/14f/text,"يظهر الارتياح في أعينهم. ""[color=CHARTREUSE]من أجل ساشا. من أجل سبود.[/color]"" يختفون باتجاه قاعدة البيانات المركزية."
Text/150/text,"يرتسم الرعب على وجوههم. ""[color=CRIMSON]أيها الخائن! لقد وثقنا بك![/color]"" يتم تطويقهم بسرعة من قبل الحراس."
Text/151/text,"""عمل ممتاز. سيتم مكافأة ولائك."""
Text/152/text,فجأة، تهتز المنشأة [color=YELLOW]بالانفجارات[/color]. بدأ هجوم المقاومة، بغض النظر عن اختيارك.
Text/153/text,هل أبقى في موقعي وأتمنى أن يمر هذا بسلام، أم [color=CHARTREUSE]أتخذ موقفاً[/color] وأخاطر بكل شيء لكشف الحقيقة؟
Choice/154/text,"""لا أستطيع التخلي عن واجبي. سأبقى صامتاً وآمل في الأفضل."""
Choice/155/text,"""لقد كنت متواطئاً لفترة طويلة جداً. حان الوقت للقتال من أجل الصواب."""
Text/156/text,[pulse freq=3][color=YELLOW]تحرك بسرعة![/color][/pulse] الأمن في حالة فوضى - هذه فرصتك الوحيدة للهروب!
Choice/14d/disabled_text,
Choice/14e/disabled_text,
Choice/154/disabled_text,
Choice/155/disabled_text,
