keys,es
dialogue_spud_being_called_1,"Siguiente paso, tu destino te espera."
dialogue_spud_being_called_2,"Frente a la cola, el momento de la verdad se acerca."
dialogue_spud_being_called_3,"Adelante, elegido de la estirpe de tubérculos."
dialogue_spud_being_called_4,¡Felicidades! Tu espera tuvo éxito.
dialogue_spud_being_called_5,La Gran Burocracia de la Patata te convoca.
dialogue_spud_being_called_6,"¡Avanza, noble tubérculo! ¡Los papeles esperan!"
dialogue_spud_being_called_7,¡Muévete! El sello se impacienta.
dialogue_spud_being_called_8,¡Muévete con agilidad! El formulario P-38B necesita ser rellenado.
dialogue_spud_being_called_9,"Ven adelante, el destino requiere tu entrada."
dialogue_spud_being_called_10,"Acércate al mostrador del juicio, tubérculo."
dialogue_spud_in_office_1,"Por favor, ten paciencia. El tiempo es una ilusión."
dialogue_spud_in_office_2,La espera construye carácter. Y almidón.
dialogue_spud_in_office_3,La cola se mueve de manera misteriosa.
dialogue_spud_in_office_4,Tu posición es anotada por las autoridades.
dialogue_spud_in_office_5,Hacer cola: la constante universal.
dialogue_spud_in_office_6,Ningún tubérculo está listo hasta que es sazonado por la espera.
dialogue_spud_in_office_7,"Paciencia: no la única virtud, pero mencionada."
dialogue_spud_in_office_8,Las ruedas burocráticas giran lentamente. Muy lentamente.
dialogue_spud_in_office_9,"¡Ah, el dulce sonido del procedimiento!"
dialogue_spud_in_office_10,La cola de hoy es la anécdota de mañana.
dialogue_spud_in_office_11,El tiempo en las colas se dobla. Ha sido medido.
dialogue_spud_in_office_12,¡Habilidad de espera: Nivel 43 alcanzado!
dialogue_warnings_1,Aquellos en contra serán pelados con precisión.
dialogue_warnings_2,Colados enviados a Procesamiento Express.
dialogue_warnings_3,Interrumpir la cola genera conferencias sobre colas.
dialogue_warnings_4,La insubordinación lleva a la Sala del Aceite Caliente.
dialogue_warnings_5,"No tenemos que ser justos, solo organizados."
dialogue_warnings_6,El Comité de Cumplimiento de Patatas lo ve todo.
dialogue_warnings_7,Alborotadores: machacados sin mantequilla.
dialogue_warnings_8,Causantes de caos se convierten en hash browns. Rápidamente.
dialogue_warnings_9,Infractores enfrentan estatus de doble cocción.
dialogue_warnings_10,Auditores de Cola han marcado tu existencia.
dialogue_warnings_11,Tu expediente: marcado con el sello ROJO.
dialogue_misc_1,¿Dónde está todo el mundo?
dialogue_misc_2,¿Emergencia? Continúa esperando en orden.
dialogue_misc_3,¿Has leído el párrafo siete del acuerdo de espera?
dialogue_misc_4,"Propiedad perdida: encontrada, gravada, extraviada."
dialogue_misc_5,"Si una patata se queja, ¿produce sonido?"
dialogue_misc_6,Luz reemplazada con cartel: 'Más Túnel.'
dialogue_misc_7,La muerte es temporal. La burocracia es eternal.
dialogue_misc_8,El sistema de archivos ha alcanzado la conciencia. Mantén la calma.
dialogue_misc_9,Los números de la suerte de hoy no significan nada. Lo siento.
dialogue_misc_10,"¿Apocalipsis? Toma un número, espera desaparecer."
dialogue_misc_11,Sin evidencia se requieren más formularios.
dialogue_document_interaction_1,"Toma tus documentos, por favor."
dialogue_document_interaction_2,¡TÓMALOS!
dialogue_perfect_stamp_1,¡Excelente trabajo!
dialogue_perfect_stamp_2,¡ASÍ es como se sella!
dialogue_perfect_stamp_3,¡Precisión en su máxima expresión!
dialogue_perfect_stamp_4,¡Los dioses del sello te sonríen!
dialogue_perfect_stamp_5,¡Técnica de manual!
dialogue_runner_stopped_1,¡TE PILLÉ!
dialogue_runner_stopped_2,¡No en MI turno!
dialogue_runner_stopped_3,"¡Justicia servida, caliente y fresca!"
dialogue_runner_stopped_4,¡Eso es lo que les pasa a los corredores!
dialogue_runner_stopped_5,¡Objetivo eliminado!
dialogue_runner_escaped_1,¡Maldita sea! ¡Se escaparon!
dialogue_runner_escaped_2,¡Maldición! ¡Demasiado lento!
dialogue_runner_escaped_3,Ese se me escapó...
dialogue_runner_escaped_4,El papeleo para esto...
dialogue_runner_escaped_5,No es mi mejor momento.
dialogue_wrong_stamp_1,"Espera, eso no está bien..."
dialogue_wrong_stamp_2,"Mmm, ¿quise hacer eso?"
dialogue_wrong_stamp_3,¡La tinta... me traiciona!
dialogue_wrong_stamp_4,Ups.
dialogue_strike_received_1,Eso irá a mi expediente...
dialogue_strike_received_2,Al Ministerio no le gustará esto.
dialogue_strike_received_3,Un paso más cerca de ser puré...
dialogue_strike_received_4,¡Strike! Pero no del bueno.
