keys,el
Text/d2/text,"Μετά τη βάρδιά σου, σε οδηγούν σε μια μυστική συνάντηση αντίστασης σε ένα εγκαταλελειμμένο εργοστάσιο αμύλου."
Text/d2b/text,Πριν ξεκινήσουμε... Έχω μια ομολογία να κάνω.
Text/d2c/text,"Εκείνο το σημείωμα που βρήκες την πρώτη σου μέρα; ""[color=GOLD]Ένας φίλος[/color]"";"
Text/d2d/text,Η Σάσα χαμογελά. Βλέπω ότι το κράτησες. Έξυπνο. Ήξερα ότι διάλεξα το σωστό βλαστάρι.
Text/d2e/text,"Παρακολουθώ νέους αξιωματικούς εδώ και μήνες, ψάχνοντας κάποιον με [color=CHARTREUSE]αμφισβητούμενα μάτια[/color]. Κάποιον που θα μπορούσε να δει μέσα από τα ψέματα."
Text/d2f/text,Η έκφραση της Σάσα είναι περίπλοκη. Το έδειξες στον Ράσετ. Έπρεπε να μείνω κρυμμένη για εβδομάδες μετά από αυτό.
Text/d2g/text,Αλλά εδώ είσαι ούτως ή άλλως. Αυτό μου λέει κάτι για τη συνείδησή σου.
Text/d2h/text,Το κατέστρεψες. Δεν σε κατηγορώ - ήταν επικίνδυνο να το κρατήσεις.
Text/d2i/text,"Αλλά οι λέξεις βρήκαν το δρόμο τους στο μυαλό σου ούτως ή άλλως, έτσι δεν είναι;"
Text/d2j/text,"[color=CHARTREUSE]Είμαι ""Ένας φίλος.""[/color] Και τώρα ξέρεις γιατί."
Text/d2k/text,Η Σάσα απλώνει κατασχεμένα έγγραφα στο τραπέζι. Καταστάσεις επεξεργασίας από τον περασμένο μήνα.
Text/d2l/text,"Σαρώνεις τα ονόματα, και το αίμα σου παγώνει."
Text/d2m/text,Να το. [color=GOLD]Μάρις Πάιπερ[/color]. Η γυναίκα από τη φωτογραφία.
Text/d2n/text,"""[color=CRIMSON]Κατάσταση: Επεξεργασμένη. Παρτίδα RR-2847.[/color]"" Με ημερομηνία τρεις μέρες αφότου ο σύζυγός της ικέτευσε για τη βοήθειά σου."
Text/d2o/text,Νιώθεις τη φωτογραφία στην τσέπη σου. [color=STEEL_BLUE]Έχει χαθεί. Και δεν μπόρεσες να τη σώσεις.[/color]
Text/d2p/text,Αλλά ίσως... [color=CHARTREUSE]ίσως μπορείς ακόμα να σώσεις άλλους[/color].
Text/d2q/text,Ο Μέρφι αναδύεται από τις σκιές. Γεια. Χαίρομαι που τα κατάφερες.
Text/d2r/text,Ο Μέρφι κρατά ψηλά το τσαλακωμένο έντυπο RR-UTIL. Ο ξάδερφός μου είναι κι αυτός σε αυτή τη λίστα. [color=CHARTREUSE]Θα το κάνουμε μαζί.[/color]
Text/d3/text,Μια ταλαιπωρημένη πατάτα με σημάδια μάχης απευθύνεται στην συγκεντρωμένη ομάδα.
Text/d4/text,Ο καιρός για ψιθύρους και φυλλάδια τελείωσε. Η κυβέρνηση έδειξε τα αληθινά της χρώματα.
Text/d5/text,Οι πηγές μας επιβεβαιώνουν ότι οι μονάδες επεξεργασίας [wave amp=15 freq=3][color=DARK_VIOLET]Αποθέματος Ρίζας[/color][/wave] αυξάνουν την παραγωγή.
Text/d6/text,"Που σημαίνει [tornado radius=3 freq=3][color=CRIMSON]περισσότεροι από τους αδελφούς και τις αδελφές μας εξαφανίστηκαν, επεξεργάστηκαν, καταναλώθηκαν[/color][/tornado]."
Text/d7/text,Ο αρχηγός χτυπά τη γροθιά του στο τραπέζι. [pulse freq=3][color=CHARTREUSE]Αυτό τελειώνει τώρα.[/color][/pulse] Έχουμε ένα σχέδιο να χτυπήσουμε στην καρδιά της επιχείρησής τους.
Text/d8/text,"Η Σάσα ξεδιπλώνει λεπτομερή σχέδια στο τραπέζι. Σε τρεις μέρες, εξαπολύουμε την κύρια επίθεσή μας."
Text/d9/text,"Ενώ μια ομάδα δημιουργεί αντιπερισπασμό στο κεντρικό κυβερνητικό συγκρότημα, μια άλλη θα διεισδύσει στη μεγαλύτερη εγκατάσταση του Αποθέματος Ρίζας."
Text/da/text,"Ο στόχος μας: να αποκτήσουμε [color=CHARTREUSE]αδιάσειστα στοιχεία[/color] για το τι συμβαίνει μέσα, και να τα μεταδώσουμε σε όλο το Spud."
Text/db/text,Η Σάσα δείχνει ένα τμήμα των σχεδίων. Εδώ είναι που μπαίνεις εσύ.
Text/dc/text,Χρειαζόμαστε κάποιον από μέσα στα Τελωνεία του Spud για να διασφαλίσουμε ότι οι πράκτορές μας μπορούν να περάσουν τα σύνορα για την αποστολή.
Text/dd/text,Μπορούμε να βασιστούμε σε εσένα για να είσαι αυτό το άτομο;
Choice/de/text,"""Θα κάνω ό,τι χρειαστεί για να αποκαλύψω την αλήθεια."""
Choice/df/text,"""Ακούγεται επικίνδυνο. Τι θα γίνει αν μας πιάσουν;"""
Choice/e0/text,"""Υπάρχει άλλος τρόπος που να μην θέτει τόσους πολλούς σε κίνδυνο;"""
Text/e1/text,Το πρόσωπο της Σάσα φωτίζεται από ελπίδα. Ευχαριστώ. [color=CHARTREUSE]Το θάρρος σου θα σώσει αμέτρητες ζωές.[/color]
Text/e2/text,"Σου σφίγγει το χέρι. Όταν όλα αυτά τελειώσουν, [color=CHARTREUSE]θα σε θυμούνται ως ήρωα της επανάστασης.[/color]"
Text/e3/text,[color=STEEL_BLUE]Η αισιόδοξη έκφραση της Σάσα κλονίζεται.[/color] Εγώ... ναι. Είναι επικίνδυνο.
Text/e4/text,Θα μπορούσαμε όλοι να καταλήξουμε [color=DARK_VIOLET]επεξεργασμένοι σε Απόθεμα Ρίζας[/color] κι εμείς οι ίδιοι αν αποτύχουμε.
Text/e5/text,[color=STEEL_BLUE]Κοιτάζει μακριά για λίγο.[/color] Νόμιζα ότι μετά από όλα όσα είχες δει... αλλά καταλαβαίνω. Ο φόβος είναι φυσικός.
Text/e6/text,[color=STEEL_BLUE]Το πρόσωπο της Σάσα σκυθρωπιάζει. Το φως στα μάτια της αμυδρώνεται.[/color] Άλλος τρόπος; Έχουμε δοκιμάσει άλλους τρόπους. Για χρόνια.
Text/e7/text,Αναφορές. Ήσυχη διπλωματία. Ανώνυμες πληροφορίες. [color=STEEL_BLUE]Η φωνή της γίνεται ψυχρή.[/color] Τίποτα δεν έχει λειτουργήσει.
Text/e8/text,Ήλπιζα ότι θα ήσουν διαφορετικός. Ότι καταλάβαινες τι διακυβεύεται.
Text/e9/text,Ξεσπάει μια έντονη συζήτηση μεταξύ των μελών της αντίστασης.
Text/ea/text,Κάποιοι υποστηρίζουν μια πιο επιθετική προσέγγιση – την πλήρη καταστροφή των μονάδων επεξεργασίας.
Text/eb/text,Άλλοι επιμένουν ότι η βίαιη δράση θα στρέψει μόνο την κοινή γνώμη εναντίον τους.
Text/ec/text,ΦΤΑΝΕΙ! Ο αρχηγός σιωπά την αίθουσα με επιβλητική φωνή.
Text/ed/text,"Δεν μπορούμε να αντέξουμε να είμαστε διχασμένοι. Όχι τώρα, που είμαστε τόσο κοντά."
Text/ee/text,Ο στόχος μας είναι απλός: να αποκαλύψουμε την αλήθεια. Ας αποφασίσει ο λαός τι θα γίνει μετά.
Text/ef/text,Ο αρχηγός στρέφεται για να απευθυνθεί απευθείας σε εσένα. Αλλά πρέπει να ξέρουμε [color=YELLOW]πού βρίσκεσαι[/color].
Text/f0/text,"Σε τρεις μέρες, οι πράκτορές μας θα προσεγγίσουν το σημείο ελέγχου σου. Θα φέρουν [color=CHARTREUSE]μπλε κάρτες ταυτότητας[/color]."
Text/f1/text,Θα τους βοηθήσεις να περάσουν; Η απάντησή σου τώρα θα καθορίσει την επόμενη κίνησή μας.
Choice/f2/text,"""Θα τους βοηθήσω να περάσουν. Για το μέλλον του Spud."""
Choice/f3/text,"Δεν μπορώ να εμπλακώ άμεσα, αλλά θα κάνω τα στραβά μάτια."
Choice/f4/text,Χρειάζομαι περισσότερο χρόνο για να το σκεφτώ.
Text/f5/text,Ο αρχηγός σου σφίγγει σταθερά τον ώμο. [color=CHARTREUSE]Το θάρρος σου μας τιμά όλους.[/color]
Text/f6/text,"Την τρίτη μέρα, όταν ο ήλιος είναι ψηλότερα, οι πράκτορές μας θα έρθουν."
Text/f7/text,"Ο κωδικός είναι ""[wave amp=15 freq=3][color=CHARTREUSE]Οι ρίζες απλώνονται βαθιά.[/color][/wave]"" Θυμήσου το."
Text/f8/text,"Ο αρχηγός γνέφει αργά, εμφανώς απογοητευμένος αλλά κατανοητικός."
Text/f9/text,Μερικές φορές το μόνο που μπορούμε να ζητήσουμε είναι να μην μας σταθούν εμπόδιο.
Text/fa/text,Οι πράκτορές μας θα προχωρήσουν όπως έχει προγραμματιστεί. Απλώς... μην σημάνεις συναγερμό.
Text/fb/text,Η έκφραση του αρχηγού σκληραίνει. [color=YELLOW]Ο χρόνος είναι μια πολυτέλεια που δεν έχουμε.[/color]
Text/fc/text,Αλλά το να αναγκάσουμε οποιονδήποτε να ενταχθεί στον σκοπό μας δεν μας κάνει καλύτερους από αυτούς.
Text/fd/text,Θα προχωρήσουμε χωρίς να υπολογίζουμε στη βοήθειά σου. Ψάξε τη συνείδησή σου.
Text/fe/text,"Καθώς η συνάντηση τελειώνει, η Σάσα περπατά μαζί σου πίσω προς το σημείο ελέγχου."
