keys,el
Text/200/text,"Γεια, νέο πατατάκι! Δύσκολη βάρδια, ε; Είμαι ο Μέρφι. Είμαι εδώ τρεις σεζόν τώρα."
Text/201/text,"Σε είδα να μιλάς με τη Σάσα νωρίτερα. Είναι... [color=STEEL_BLUE]διαφορετική[/color]. Με την καλή έννοια, νομίζω."
Choice/202/text,Φαίνεται συμπαθητική. Μου έδωσε κάποιες συμβουλές για το πώς να είμαι σε εγρήγορση.
Choice/203/text,Απλώς συστάσεις. Τίποτα το ιδιαίτερο.
Text/204/text,Ο Μέρφι κοιτάζει γύρω του νευρικά. Ναι.
Text/205/text,"Μεταξύ μας; Αυτή η ραδιοφωνική εκπομπή για τις ""εξαφανισμένες πατάτες""... ο ξάδερφός μου εξαφανίστηκε τον περασμένο μήνα. Απέτυχε στον έλεγχό του."
Text/206/text,"Σωστό. Κράτα χαμηλό προφίλ, κάνε τη δουλειά σου. Αυτό λέω στον εαυτό μου κάθε μέρα."
Text/207/text,Η φωνή του Μέρφι χαμηλώνει. Αν και μερικές φορές αναρωτιέμαι πού πηγαίνουν τελικά όλες αυτές οι απορριφθείσες πατάτες...
Text/208/text,Στην καφετέρια
Text/209/text,"Κοιτάζεις την παχύρρευστη, μωβ-καφέ πάστα. Όλοι την τρώνε χωρίς ερώτηση. Υποτίθεται ότι είναι θρεπτική."
Choice/20a/text,Φάε την Αποθεματική Ρίζα όπως όλοι οι άλλοι
Choice/20b/text,Σπρώξ' το στην άκρη - δεν πεινάς
Text/20c/text,"Η γεύση είναι... γήινη. Πλούσια. Κάτι σε αυτήν σου φαίνεται [color=STEEL_BLUE]άβολα οικείο[/color], αλλά δεν μπορείς να καταλάβεις γιατί."
Text/20d/text,"Ένας ανώτερος αξιωματικός παρατηρεί. ""Μην σπαταλάς, μην στερείσαι, βλαστάρι. Αυτή είναι [pulse freq=2][color=DARK_VIOLET]κορυφαία διατροφή[/color][/pulse] εδώ πέρα."""
Text/20e/text,Μουρμουρίζεις μια δικαιολογία για στομαχικές διαταραχές. Ο αξιωματικός ανασηκώνει τους ώμους και προχωρά.
Text/20f/text,"Πίσω στα δωμάτιά σου, δεν μπορείς να βγάλεις από το μυαλό σου αυτό που είπε η Σάσα. ""[color=YELLOW]Δεν είναι όλα όπως φαίνονται.[/color]"""
Text/210/text,"Ρώτησες τον Ράσετ για τις απορριφθείσες πατάτες την πρώτη σου μέρα. Η απάντησή του ήταν αποφευκτική. ""[color=VIOLET]Επεξεργασμένες. Σύμφωνα με το πρωτόκολλο.[/color]"""
Text/211/text,"Επεξεργασμένες [color=STEEL_BLUE]πώς[/color], ακριβώς;"
Text/212/text,Ήσουν τόσο πρόθυμος να υπηρετήσεις. Τόσο περήφανος που επιλέχθηκες. Αλλά η περηφάνια δεν εξηγεί τις [color=CRIMSON]εξαφανισμένες πατάτες[/color].
Text/213/text,"Το ραδιόφωνο είπε ότι οι αναφορές για εξαφανίσεις ""συνεχίζονται"". Αυτό σημαίνει ότι συμβαίνει εδώ και καιρό."
Text/214/text,"Ο ύπνος έρχεται αργά. Όταν έρχεται, ονειρεύεσαι [wave amp=15 freq=2][color=DARK_VIOLET]μωβ ποτάμια[/color][/wave] να ρέουν κάτω από το σημείο ελέγχου."
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
