keys,sk
Text/265/text,Sména sa končí v znepokojivom tichu. Bezpečnostné hliadky sa zdvojnásobili. Všetci sa pohybujú šeptom.
Text/266/text,"Mieriš do svojich ubikácií, keď to začuješ – [color=YELLOW]krik z krídla dôstojníkov[/color]."
Text/267/text,Zatočíš za roh a uvidíš bezpečnostné zložky [pulse freq=3][color=RED]vykopávajúce Sašine dvere[/color][/pulse].
Text/268/text,Hlas náčelníka Yukona zahrmí. SLADKÁ ZEMIAKOVÁ SAŠA! Si zatknutá za [color=CRIMSON]zradu proti národu Zemiakov![/color]
Text/269/text,"Sašu ťahajú von, bráni sa. Jej oči sú vzdorovité, aj keď jej stráže krútia ruky za chrbát."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]PRAVDA VYJDE NAJAVO! NEMÔŽETE NÁS VŠETKÝCH UMLČAŤ![/color][/tornado]
Text/26b/text,Jej pohľad ťa nájde v dave prizerajúcich sa. Čas akoby zamrzol.
Text/26c/text,Spoznanie... potom [color=CRIMSON]ničivé pochopenie[/color]. Zradil si jej polohu. Vie to.
Text/26d/text,Nehovorí. Pohľad stačí. [color=STEEL_BLUE]Sklamanie hlbšie než nenávisť.[/color]
Text/26e/text,Záblesk niečoho – [color=CHARTREUSE]nádej? dôvera?[/color] – prebehne jej tvárou.
Text/26f/text,"Jej pery sa ticho pohnú: ""[color=CHARTREUSE]Korene rastú hlboko.[/color]"" Správa. Pripomienka."
Text/270/text,"Russet sa vynorí z tieňov, spokojnosť mu vyžaruje z každej póry."
Text/271/text,"No no. [color=CRIMSON]Sladký zemiak skysne[/color]. Vždy som vedel, že je na tebe niečo zhnité, Saša."
Text/272/text,"Russet zdvihne priečinok. Tvoje malé [color=DARK_VIOLET]manifesty[/color]. Tvoje ""dôkazy."" Všetko nájdené."
Text/273/text,"Naozaj si si myslela, že môžeš podkopať [pulse freq=2][color=DARK_VIOLET]Koreňovú rezervu[/color][/pulse]? Podkopať MŇA?"
Text/274/text,"Kópie sú už vonku, Russet. Svet bude vedieť, čo robíš našim ľuďom!"
