keys,bg,el,ja,ko,ru,th,uk,zh-CN
main_menu_new_game,Нова игра,Νέο Παιχνίδι,ニューゲーム,새로운 게임,Новая игра,เกมใหม่,Нова гра,新游戏
main_menu_continue,Продължи,Συνεχίζω,コンティニュー,계속하다,Продолжить,เล่นต่อ,Продовжити,继续
main_menu_level_select,Избор на ниво,Επιλογή επιπέδου,レベル選択,레벨 선택,Выбрать уровень,เลือกระดับ,Вибір рівня,关卡选择
main_menu_score_attack,Резултат Атака,Επίθεση σκορ,スコアアタック,스코어 어택,Атака по счету,โจมตีด้วยคะแนน,Залікова атака,挑战积分
main_menu_options,Опции,Επιλογές,オプション,옵션,Параметры,ตัวเลือก,Опції,选项
main_menu_credits,Кредити,Πιστώσεις,クレジット,크레딧,Кредиты,เครดิต,Кредити,积分
main_menu_exit,Изход,Εξοδος,終了,출구,Выйти,ออก,Вихід,退出
options_menu_title,Опции,Επιλογές,オプション,옵션,Параметры,ตัวเลือก,Опції,选项
options_difficulty,Трудност,Δυσκολία,難易度,어려움,Сложность,ระดับความยาก,Складність,难度
options_difficulty_easy,лесно,Εύκολος,イージー,쉬운,Легко,ง่าย,легко,简单
options_difficulty_normal,нормално,Κανονικός,ノーマル,정상,Нормально,ปกติ,нормальний,普通
options_difficulty_expert,експерт,Εμπειρογνώμονας,エキスパート,전문가,Эксперт,ผู้เชี่ยวชาญ,Експерт,专家
options_music_volume,Сила на звука на музиката,Τόμος μουσικής,BGM音量,음악 볼륨,Громкость музыки,ปรับระดับเสียงเพลง,Гучність музики,音乐音量
options_sfx_volume,Сила на звука на звуковите ефекти,Ένταση ήχου εφέ,効果音音量,음향 효과 볼륨,Громкость звуковых эффектов,ปรับระดับเอฟเฟกต์เสียง,Гучність звукових ефектів,音效音量
options_camera_shake,Разклащане на камерата,Κούνημα κάμερας,カメラブレ,카메라 흔들림,Дрожание камеры,กล้องสั่น,Тремтіння камери,镜头抖动
options_back,Назад,Πίσω,戻る,뒤쪽에,Назад,ย้อนกลับ,Назад,返回
shift_summary_title,РЕЗЮМЕ НА СМЕНИТЕ,ΠΕΡΙΛΗΨΗ SHIFT,SHIFT 概要,교대 요약,SHIFT SUMMARY,สรุป SHIFT,ПІДСУМКИ ЗМІНИ,Shift 总结
shift_summary_continue,Продължи,Συνεχίζω,コンティニュー,계속하다,Продолжить,เล่นต่อ,Продовжити,继续
shift_summary_restart,Рестартирайте,Επανεκκίνηση,再起動,다시 시작,Перезапустить,เริ่มเกมใหม่,Перезапустіть,重新开始
shift_summary_main_menu,Главно меню,Κύριο Μενού,メインメニュー,메인 메뉴,Главное меню,เมนูหลัก,Головне меню,主菜单
shift_summary_submit_score,Изпратете резултат,Υποβολή βαθμολογίας,スコアを送信,점수 제출,Отправить счет,ส่งคะแนน,Надіслати оцінку,提交分数
shift_summary_runner_stats,СТАТИСТИКА НА БЕГАЧА,ΣΤΑΤΙΣΤΙΚΑ ΔΡΟΜΕΩΝ,ランナー統計,러너 통계,СТАТИСТИКА БЕГУНА,สถิติผู้วิ่ง,СТАТИСТИКА БІГУНА,玩家数据
shift_summary_document_stats,СТАТИСТИКА НА ДОКУМЕНТА,ΣΤΑΤΙΣΤΙΚΑ ΕΓΓΡΑΦΩΝ,ドキュメント統計,문서 통계,СТАТИСТИКА ДОКУМЕНТА,สถิติเอกสาร,СТАТИСТИКА ДОКУМЕНТА,文档数据
shift_summary_performance,ИЗПЪЛНЕНИЕ,ΕΚΤΕΛΕΣΗ,パフォーマンス,성능,ЭФФЕКТИВНОСТЬ,ประสิทธิภาพ,ЕФЕКТИВНІСТЬ,表现
shift_summary_bonuses,БОНУСИ,ΜΠΟΝΟΥΣ,ボーナス,보너스,БОНУСЫ,โบนัส,БОНУСИ,奖励
