keys,bg
Text/69_photo1/text,Изваждаш снимката отново. [color=GOLD]Марис Пайпър[/color]. Такова мило лице.
Text/69_photo2/text,Жена ѝ беше толкова отчаяна. [color=STEEL_BLUE]Какво ѝ се е случило?[/color]
Text/69_photo3/text,Забелязваш нещо на заден план на снимката - камион с [color=DARK_VIOLET]лилаво лого[/color].
Text/69_photo4/text,Този символ... виждал си го по доставките за столовата. [wave amp=15 freq=2][color=DARK_VIOLET]Руут Ризърв.[/color][/wave]
Text/69/text,Можем ли да поговорим? Някъде насаме? [color=YELLOW]Тук има твърде много очи и уши.[/color]
Text/6a/text,"Срещни ме до стария склад след смяната си. Имам нещо, което трябва да видиш."
Text/6a_photo1/text,Саша... тази снимка. Жена ѝ ми я даде. Тя я търсеше.
Text/6a_photo2/text,Лицето на Саша помръква. [color=STEEL_BLUE]Дай да видя.[/color]
Text/6a_photo3/text,"Саша изучава снимката, изражението ѝ помръква. [color=CRIMSON]Разпознавам този камион.[/color]"
Text/6a_photo4/text,[pulse freq=2][color=YELLOW]Пази тази снимка.[/color][/pulse] Може да е важна по-късно. Повярвай ми.
Text/6b/text,"Сближаваш се с колеги? Помни, че приятелските отношения могат да доведат до... [color=DARK_ORANGE]компрометирана преценка[/color]."
Text/6c/text,Събирам информация за отхвърлените картофи. [wave amp=20 freq=3][color=CRIMSON]Те не отиват в центрове за депортация.[/color][/wave]
Text/6d/text,[tornado radius=4 freq=2][color=CRIMSON]Те отиват в преработвателни съоръжения на Руут Ризърв.[/color][/tornado] Всеки един.
Text/6e/text,"Тези документи показват разтоварване на картофи в съоръжение, маркирано с логото на [color=DARK_VIOLET]Руут Ризърв[/color]."
Text/6f/text,"Мисля, че знам какво се случва..."
Text/6f2/text,[pulse freq=3][color=CRIMSON]Те стават Руут Ризърв.[/color][/pulse]
Choice/70/text,"""Това е безумно. Те... преработват картофи в храна?"""
Choice/71/text,"""Нуждаем се от повече доказателства, преди да правим обвинения."""
Text/72/text,[color=CRIMSON]Канибализъм с допълнителни стъпки.[/color] Това е [wave amp=25 freq=3][color=DARK_VIOLET]Руут Ризърв[/color]. А ние помагахме да избираме техните съставки.
Text/73/text,"Събирам доказателства от месеци. Дръж си очите отворени. Ще видиш, че съм прав."
Text/74/text,Внезапно прозвучава далечна аларма
Text/75/text,"Трябва да вървим. Те правят проверки за сигурност по това време. Помисли за това, което ти показах."
Text/76/text,"Саша напъхва папката в ръцете ти. ""[color=YELLOW]Пази това. И не вярвай на никого.[/color]"""
Text/77/text,Скриваш папката в якето си. [color=DARK_VIOLET]Руут Ризърв[/color]. Отхвърлянията. Изчезналите картофи. Всичко се свързва по [tornado radius=3 freq=2][color=CRIMSON]ужасяващ начин[/color][/tornado].
Choice/70/disabled_text,
Choice/71/disabled_text,
