keys,uk
Text/a6/text,"Прикордонний пункт сьогодні відчувається інакше. Напружено. Патрулі безпеки численніші, а насторожена тиша замінила балачки."
Text/a7/text,"Минулої ночі були виявлені [pulse freq=2][color=CRIMSON]заборонені матеріали[/color][/pulse]. Листівки, що містять брехню про [color=DARK_VIOLET]Кореневий Запас[/color]."
Text/a8/text,Ми впроваджуємо [wave amp=15 freq=2][color=DARK_ORANGE]протоколи помаранчевого рівня загрози[/color][/wave]. Усі офіцери підлягають перевірці на лояльність. Усі мандрівники підлягають максимальній перевірці.
Text/a9/text,Це працює. Листівки поширюються. Люди ставлять питання про [color=DARK_VIOLET]Кореневий Запас[/color].
Text/aa/text,"Мої джерела повідомляють мені, що в офісі Рассета є журнал відправлень — транспортні маніфести, які можуть [tornado radius=3 freq=2][color=CHARTREUSE]довести все[/color][/tornado]."
Text/ab/text,"Мені потрібна твоя допомога, щоб дістати його. Сьогодні вночі, після останньої зміни. Чи можу я на тебе розраховувати?"
Choice/ac/text,"""Я в справі. Викриємо правду."""
Choice/ad/text,"""Я не знаю, Сашо... це може бути небезпечно."""
Text/ae/text,"Дякувати небесам. Я знав, що в тебе [color=CHARTREUSE]міцніше коріння, ніж в інших[/color]. Зустрінемося опівночі."
Text/af/text,"Іноді ми мусимо [color=CHARTREUSE]ризикнути бути розчавленими, щоб вчинити правильно[/color]. Подумай про це."
Text/b0/text,"[color=DARK_ORANGE]Перевірка на лояльність[/color]. Будь ласка, назвіть своє ім'я та ідентифікатор офіцера. Потім скажіть, чому ви служите Спуду."
Choice/b1/text,"""Я служу, щоб захищати наші кордони від небезпечних впливів."""
Choice/b2/text,"""Я служу, щоб забезпечити справедливе ставлення до кожного."""
Text/b3/text,"Гарна відповідь. Спуду потрібні вірні захисники. Сканер показує зелений. Продовжуйте, офіцере."
Text/b4/text,"Офіцер піднімає брови. Справедливе ставлення? Сканер блимає [color=DARK_ORANGE]бурштиновим[/color]. Пам'ятайте, наша головна турбота – безпека, а не справедливість."
Text/b5/text,Сьогоднішня квота була збільшена. Будь-хто з підозрілими матеріалами має бути позначений для [color=DARK_VIOLET]спеціальної обробки[/color].
Text/b6/text,Я буду [color=DARK_ORANGE]дуже уважно стежити за вашими рішеннями[/color] сьогодні.
Text/b7/text,"Сьогоднішня ніч може змінити все. Але спочатку, [color=YELLOW]переживіть день, не викликаючи підозр[/color]."
Text/b4_viktor1/text,"Кремезний охоронець хапає вас за руку, коли ви проходите повз. Його обличчя вкрите зморшками від хвилювання."
Text/b4_viktor2/text,"Гей... вибачте, що турбую. Ви один з митних офіцерів, так? Мене звати [color=CHARTREUSE]Віктор[/color]."
Text/b4_viktor3/text,"Я питав усіх про свою дружину, [color=GOLD]Олену[/color]. Олену Петрову. Вона перетнула цей пункт три тижні тому."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Не пройшла перевірку.[/color] Вони сказали, що її оброблять і повернуть додому, але... Я нічого не чув."
Text/b4_viktor5/text,"Його голос тремтить. Ніхто нічого мені не каже. Ви знаєте, куди відправляють відхилених мандрівників?"
Choice/b4_viktor6/text,"""Мені шкода, Вікторе. Я не знаю. Але я буду пильнувати."""
Choice/b4_viktor7/text,"""Я не можу обговорювати деталі обробки. Протоколи безпеки."""
Text/b4_viktor8/text,"Вікторів погляд спалахує надією. [color=CHARTREUSE]Дякую.[/color] Все, що дізнаєшся... будь ласка. Вона — все, що в мене є."
Text/b4_viktor9/text,Віктор пригнічено киває. [color=STEEL_BLUE]Зрозуміло. Протоколи.[/color] Я розумію.
Text/b4_viktor10/text,"Але якщо передумаєш... [color=YELLOW]Мені потрібно знати, що з нею сталося.[/color]"
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
