keys,zh-TW
Text/240/text,隨著晚班接近尾聲，大部分官員都已離開。只剩下你和少數幾名警衛。
Text/241/text,一名魁梧的警衛走向你的崗位。我叫維克多。我負責夜間值班。
Text/242/text,他的眼神疲憊而充滿陰影。你是新來的，對吧？就是那個羅塞特一直盯著的人？
Choice/243/text,我只是想做好我的工作。羅塞特為什麼盯著我？
Choice/244/text,有什麼我應該知道的事嗎？
Text/245/text,他重重地聳了聳肩。羅塞特會盯著所有提問的人。我的[color=STEEL_BLUE]妻子曾經問過問題[/color]。
Text/246/text,她已經不在了，無法再問了。
Text/247/text,他環顧四周，然後壓低了聲音。只是……小心你信任的人。
Text/248/text,以及你[color=CRIMSON]譴責[/color]的人。我們有些人記得每個被我們送去處理的人。
Text/249/text,一個緊張的馬鈴薯走了過來。文件看起來沒問題，但你注意到他們衣領上別著一枚[color=CHARTREUSE]不起眼的葉子胸針[/color]。
Text/24a/text,他們將文件遞了過來。裡面夾著一張小紙條：「[color=CHARTREUSE]莎莎派我來的。給組織的包裹。拜託了。[/color]」
Text/24b/text,新的[color=DARK_ORANGE]實境掃描儀[/color]在你的崗位上閃爍著，準備就緒。只要掃描一次，它就能檢測出文件中的偽造內容。
Choice/24c/text,假裝掃描儀故障並讓他們通過
Choice/24d/text,按照規定使用掃描儀——你不能冒險暴露自己
Choice/24e/text,向維克多示意，讓他別看，然後讓他們通過
Text/24f/text,你輕敲掃描儀，皺了皺眉，又敲了敲。「這該死的東西又出問題了。過去吧。」
Text/250/text,他們臉上充滿了如釋重負的表情。他們無聲地說著「[color=CHARTREUSE]謝謝[/color]」，然後匆匆走過。
Text/251/text,你與他眼神交會，並向那名特工點了點頭。他先看了看他們，然後又看了看你。
Text/252/text,他刻意轉過身去，研究著牆壁。「[color=STEEL_BLUE]掃描儀今天一整天都怪怪的。[/color]」
Text/253/text,那名特工溜了過去。維克多什麼也沒說，但你們現在共享了一個秘密。
Text/254/text,你進行了掃描。機器[color=RED]發出刺耳的警報聲[/color]。「檢測到偽造文件。」
Text/255/text,恐懼浮現在他們臉上。「[color=CRIMSON]你根本不知道你做了什麼……[/color]」
Text/256/text,他和其他警衛圍了過來。那名特工被拖走了，眼神仍舊盯著你。
Text/257/text,莎莎在陰影中找到了你。那名特工正帶著[color=CHARTREUSE]貨物清單的副本[/color]去交給我們外面的聯絡人。
Text/258/text,因為你，真相將會傳播到馬鈴薯國境之外。[color=CHARTREUSE]你真的做出了改變。[/color]
Text/259/text,莎莎的眼睛睜大了。維克多幫忙了？我對他有種預感。他的妻子是...
Text/25a/text,她語氣漸弱。我們擁有的盟友比我想像的還要多。
Text/25b/text,莎莎找到你，她的表情冰冷。那名特工有家庭。家裡有三個小芽。
Text/25c/text,我理解恐懼。但是[color=CRIMSON]恐懼會帶來後果[/color]。他們會在天亮前被處理。
Text/25d/text,我希望你清白的紀錄值得這一切。
Text/25e/text,墨菲溜進你的住處。聽說今晚你的檢查站發生了一些刺激的事。
Text/25f/text,[color=CHARTREUSE]很好。我們現在同舟共濟了。[/color]沒有回頭路了。
Text/260/text,墨菲的臉色沉了下來。我...我以為你和我們是一夥的。發生了什麼事？
Text/261/text,明天的輪班會有所不同。利害關係從未如此重大。
Text/262/text,但你第一次覺得自己站在[color=CHARTREUSE]正確的一方[/color]。無論付出什麼代價。
Text/263/text,那名特工的臉孔縈繞在你腦海中。他們的家人永遠不會知道他們為何沒有回家。
Text/264/text,[color=STEEL_BLUE]因為你。[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
