keys,ru
Text/3a/text,"Контрольно-пропускной пункт был отстроен заново после атаки сопротивления. Безопасность беспрецедентна, а пропагандистские трансляции восхваляют ""отважных защитников""."
Text/3b/text,Меня повысили до Регионального директора по безопасности границ и [pulse freq=2]распределению Корневого Резерва[/pulse].
Text/3c/text,Рассет прикалывает маленькую медаль к вашей форме. Помощник Регионального директора... за вашу непоколебимую верность Спуду.
Text/3d/text,У меня особое задание! Премьер-министр Айдахо сегодня будет инспектировать наш объект. Вы были выбраны для демонстрации.
Text/3e/text,"Вы видели новую партию Корневого Резерва? Его называют ""Смесь Сопротивления"" после того, что случилось с теми пленниками."
Text/3f/text,"Некоторые говорят, что сопротивление было не совсем неправо. Что есть [wave amp=15 freq=3]доказательства того, что они говорили правду[/wave]..."
Choice/40/text,"""Будь осторожен. Даже такие разговоры теперь опасны."""
Choice/41/text,"""У меня были те же мысли. Это не кажется правильным."""
Text/42/text,Не все теперь верят официальной истории. Держи ухо востро во время визита Премьер-министра.
Text/43/text,"Формируется новое сопротивление. Более тихое, более осторожное. Если хочешь узнать больше... ищи эмблему жёлтой картофелины."
Text/44/text,ВНИМАНИЕ: Кортеж Премьер-министра Айдахо прибыл. Всем офицерам занять назначенные посты. Протоколы проверки действуют.
Text/45/text,Ваша медаль кажется тяжёлой — награда за верность или знак позора? Скоро вы встретитесь с архитектором Корневого Резерва.
Text/46/text,"После трансляции, разоблачающей Корневой Резерв, восстания вспыхнули по всему Спуду. Премьер-министр Айдахо остаётся забаррикадированным в административном здании."
Text/47/text,"Айдахо планирует последнюю трансляцию, чтобы свалить вину за Корневой Резерв на нас. Мы не можем позволить ему переписать историю. Сегодня мы покончим с его режимом."
Text/48/text,Ты спас мне жизнь на перерабатывающем заводе. Теперь у нас есть шанс спасти весь Спуд.
Text/49/text,Твои знания протоколов безопасности будут решающими для финальной миссии. Ты готов?
Choice/4a/text,"""Я готов. Давай закончим то, что начали."""
Choice/4b/text,"""Что именно за план? Мне нужны подробности."""
Text/4c/text,"Я знал, что ты не отступишь. Ты один из наших [tornado radius=3 freq=2]сильнейших союзников[/tornado]."
Text/4d/text,"Мы проникнем, используя правительственную форму. Ты поможешь обойти системы безопасности. Наша цель — захватить Айдахо и заставить его публично признаться."
Text/4e/text,"Ты будешь в команде Альфа с Сашей, прорываясь через восточный вход. Твоя цель: [color=GREEN]взять под контроль вещательный центр[/color]."
Text/4f/text,"От лояльного таможенника до бойца сопротивления? Это преображение, которое ты никогда не представлял. Что бы ни случилось, Спуд никогда не будет прежним."
Choice/40/disabled_text,
Choice/41/disabled_text,
Choice/4a/disabled_text,
Choice/4b/disabled_text,
