keys,zh-CN
Text/d2/text,下班后，你被带到一个废弃淀粉工厂里的秘密抵抗组织会议。
Text/d2b/text,在我们开始之前……我有个秘密要坦白。
Text/d2c/text,"你第一天发现的那张纸条？""[color=GOLD]一位朋友[/color]""？"
Text/d2d/text,萨莎笑了。我看你留着它。聪明。我就知道我选对了苗子。
Text/d2e/text,我观察新警官好几个月了，寻找一个眼神[color=CHARTREUSE]充满疑问[/color]的人。一个能看穿谎言的人。
Text/d2f/text,萨莎的表情很复杂。你把它给拉斯蒂看了。那之后我不得不蛰伏了好几个星期。
Text/d2g/text,但你还是来了。这说明了你的良心。
Text/d2h/text,你把它毁了。我不怪你——留着它很危险。
Text/d2i/text,但那些话还是钻进了你的脑子里，不是吗？
Text/d2j/text,[color=CHARTREUSE]我就是“一位朋友”。[/color]现在你知道为什么了。
Text/d2k/text,萨莎将截获的文件摊开在桌上。过去一个月的处理清单。
Text/d2l/text,你扫视着那些名字，只觉脊背发凉。
Text/d2m/text,就在那儿。[color=GOLD]马里斯·派珀[/color]。照片上的那个女人。
Text/d2n/text,"""[color=CRIMSON]状态：已处理。批次RR-2847。[/color]""日期是她丈夫向你求助的三天后。"
Text/d2o/text,你摸了摸口袋里的照片。[color=STEEL_BLUE]她已经不在了。而你没能救她。[/color]
Text/d2p/text,但也许……[color=CHARTREUSE]也许你还能拯救其他人。[/color]
Text/d2q/text,墨菲从阴影中现身。嘿。很高兴你来了。
Text/d2r/text,墨菲举起那张皱巴巴的RR-UTIL表格。我的表亲也在那份名单上。[color=CHARTREUSE]我们一起干。[/color]
Text/d3/text,一个饱经风霜、伤痕累累的土豆对着聚集的众人讲话。
Text/d4/text,耳语和传单的时代已经结束了。政府已经露出了真面目。
Text/d5/text,我们的消息来源证实，[wave amp=15 freq=2][color=DARK_VIOLET]根源储备[/color][/wave]加工厂正在提高产量。
Text/d6/text,这意味着[tornado radius=3 freq=3][color=CRIMSON]更多的兄弟姐妹失踪、被处理、被消耗[/color][/tornado]。
Text/d7/text,领导者一拳砸在桌上。[pulse freq=3][color=CHARTREUSE]现在就结束这一切。[/color][/pulse]我们有一个计划，要打击他们行动的核心。
Text/d8/text,萨莎在桌上展开详细的计划。三天后，我们将发起主要攻势。
Text/d9/text,一支队伍在政府大楼制造佯攻，另一支队伍将潜入最大的根源储备设施。
Text/da/text,我们的目标：获取[color=CHARTREUSE]确凿证据[/color]，揭露内部真相，并传遍整个斯普德。
Text/db/text,萨莎指着计划书的某个部分。这就是你登场的时候了。
Text/dc/text,我们需要一个斯普德海关的内部人员，以确保我们的特工能够越境执行任务。
Text/dd/text,我们能指望你成为那个人吗？
Choice/de/text,“我会不惜一切代价揭露真相。”
Choice/df/text,“这听起来很危险。如果我们被抓了怎么办？”
Choice/e0/text,“有没有其他办法，不会让这么多人身处险境？”
Text/e1/text,萨莎的脸上燃起了希望。谢谢你。[color=CHARTREUSE]你的勇气将拯救无数生命。[/color]
Text/e2/text,她紧握你的手。当这一切结束时，[color=CHARTREUSE]你将被铭记为革命的英雄。[/color]
Text/e3/text,[color=STEEL_BLUE]萨莎充满希望的表情动摇了。[/color]我……是的。这很危险。
Text/e4/text,如果我们失败了，我们都可能最终[color=DARK_VIOLET]被加工成“根源储备”[/color]。
Text/e5/text,[color=STEEL_BLUE]她短暂地移开了视线。[/color]我以为在你经历了这一切之后……但我理解。恐惧是人之常情。
Text/e6/text,[color=STEEL_BLUE]萨莎的脸色沉了下来。她眼中的光芒黯淡了。[/color]还有其他办法？我们尝试过其他方法。多年来都是如此。
Text/e7/text,请愿。秘密外交。匿名举报。[color=STEEL_BLUE]她的声音变得冰冷。[/color]一无所获。
Text/e8/text,我曾希望你会与众不同。希望你明白事关重大。
Text/e9/text,抵抗组织成员之间爆发了一场激烈的辩论。
Text/ea/text,有些人主张采取更激进的方法——彻底摧毁加工厂。
Text/eb/text,另一些人则坚持认为，暴力行动只会适得其反，让公众舆论反对他们。
Text/ec/text,够了！领袖用威严的声音让房间安静下来。
Text/ed/text,我们不能再分裂了。尤其是在我们如此接近成功的时候。
Text/ee/text,我们的目标很简单：揭露真相。让人民决定接下来会发生什么。
Text/ef/text,领袖转向你，直接对你说话。但我们需要知道[color=YELLOW]你的立场[/color]。
Text/f0/text,三天后，我们的特工将接近你的检查站。他们会携带[color=CHARTREUSE]蓝色身份识别卡[/color]。
Text/f1/text,你会帮助他们越境吗？你现在的回答将决定我们的下一步行动。
