keys,bg
Text/131/text,"Приклякаш, докато битката бушува. Съжалявам, Саша. Аз [color=STEEL_BLUE]не съм толкова смел като теб[/color]."
Text/132/text,"""[color=CRIMSON]Терористичната атака[/color] е отблъсната! Водачите се [color=DARK_VIOLET]обработват[/color] в момента."""
Text/133/text,"Началник Юкон влачи членове на съпротивата във вериги, сред тях и Саша. ""Тези [color=CRIMSON]предатели[/color] ще бъдат подложени на [color=DARK_VIOLET]окончателна обработка[/color]."""
Text/134/text,"Саша среща погледа ти. Въпреки синините си, погледът ѝ излъчва [wave amp=15 freq=2][color=CHARTREUSE]не осъждане, а само тъга[/color][/wave]."
Text/135/text,"Оцелял си, като си държал главата си наведена, но [pulse freq=3][color=GOLD]на каква цена?[/color][/pulse] Докато производството на [color=DARK_VIOLET]Коренов Резерв[/color] се носи от завода, стомахът ти се свива."
Text/136/text,Може би все още има шанс отвътре. Или може би просто успокояваш съвестта си.
Text/137/text,Ти [tornado radius=3 freq=2][color=CHARTREUSE]изоставяш поста си[/color][/tornado] и се втурваш към битката. Времето за предпазливост отмина.
Text/138/text,"[pulse freq=3][color=GOLD]Докажи, че си с нас![/color][/pulse] Откъде познаваш Саша?"
Text/139/text,"[color=CHARTREUSE]Корените растат дълбоко![/color] Аз съм от контролния пункт, Саша ме вербува!"
Text/13a/text,Водят я към преработвателния завод в момента. Трябва да побързаме!
Text/13b/text,"Вратите се отварят с трясък, разкривайки [wave amp=25 freq=3][color=CRIMSON]ужасяващата истина[/color][/wave] - мелещи машини, конвейери, носещи картофите към гибелта им."
Text/13c/text,В края на една лента - Саша и други [color=CRIMSON]безпомощно вързани[/color]. Надзирател Ръсет стои пред контролите.
Text/13d/text,"[color=RED]ТИ![/color] Трябваше да знам, че си един от тях! Отдръпни се или ще пусна преработвателя!"
Text/140/text,"[color=STEEL_BLUE]Лидерът на съпротивата пристъпва напред, насочил оръжие към Ръсет.[/color] Нито крачка повече, Ръсет. Ръцете горе, където да ги виждам."
Text/141/text,"[color=CRIMSON]Погледът на Ръсет шари между теб и лидера на съпротивата, по челото му избива пот.[/color] Мислиш, че си спечелил? Това съоръжение е основата на Спъд!"
Text/142/text,Основата на страданието. [pulse freq=3][color=CHARTREUSE]Днес това приключва.[/color][/pulse]
Text/143/text,[color=STEEL_BLUE]Саша се бори срещу връзките си на конвейерната лента
Choice/144/text,"[tornado radius=3 freq=2][color=CRIMSON]""Ръсет"
Choice/145/text,"[wave amp=15 freq=2][color=STEEL_BLUE]""Това... това ли са правили? По-лошо е, отколкото си представях...""[/color][/wave]"
Choice/146/text,"[color=CHARTREUSE]""Саша! Благодаря на корените, че си жива! Дръж се"
Text/147/text,"[color=CRIMSON]Ти се втурваш към Ръсет, със стиснати юмруци, едва удържан от бойците на съпротивата.[/color] Всеки картоф, който мина през моя контролен пункт... колко от тях ти..."
Text/148/text,"Спокойно! Нуждаем се от него жив, за да свидетелства. [color=STEEL_BLUE]Лидерът държи оръжието си насочено към Ръсет.[/color] Запази гнева си за съда."
Text/149/text,"[color=STEEL_BLUE]Ти отстъпваш назад, с ръка на устата, осъзнавайки целия ужас на машините.[/color] Аз подпечатвах документите им... Аз ги изпращах тук..."
Text/14a/text,[color=CHARTREUSE]Ти не знаеше. Никой от нас не знаеше.[/color] Затова сме тук сега. Съсредоточи се!
Text/14b/text,[color=CHARTREUSE]Ти се втурваш към конвейера
Text/14c/text,"[color=CHARTREUSE]Очите на Саша блестят от сълзи и надежда, докато ръцете ти развързват възлите.[/color] Знаех, че ще дойдеш. Никога не съм се съмнявала в теб."
Text/14d/text,"[color=STEEL_BLUE]Лидерът принуждава Ръсет да падне на колене под дулото на пистолет.[/color] Вържете го. Уверете се, че ще гледа какво предстои."
Text/13e/text,"[color=CHARTREUSE]Освободена от оковите си, Саша не губи време, пренасочвайки камерите на съоръжението.[/color] [color=YELLOW]Хора от Спъд! Това е Резерватът на корените! Хранели са ни един с друг![/color]"
Text/14e/text,"[color=CHARTREUSE]Саша хваща ръката ти, сплитайки пръстите си с твоите.[/color] Върна се за мен. Каквото и да се случи оттук нататък... ще го посрещнем заедно."
Text/14f/text,"[color=STEEL_BLUE]Саша те наблюдава внимателно, виждайки яростта, която все още гори в очите ти.[/color] Насочи този огън. Ще ни трябва за това, което предстои."
Text/150/text,[color=STEEL_BLUE]Саша поставя нежна ръка на рамото ти.[/color] Вината не е твоя да я носиш. Ти си тук сега. Това е важното.
Text/13f/text,[color=CHARTREUSE]Успяхме. Истината вече е навън.[/color] Имаме бъдеще да градим!
Choice/144/disabled_text,
Choice/145/disabled_text,
Choice/146/disabled_text,
