keys,uk
Text/140/text,"Кордон нагадує [pulse freq=3][color=CRIMSON]зону бойових дій[/color][/pulse]. Барикади, бронетехніка та елітні охоронці стоять напоготові. Сьогодні опір планував завдати удару."
Text/141/text,"[wave amp=25 freq=3][color=YELLOW]ЕКСТРЕННЕ ПОВІДОМЛЕННЯ[/color][/wave]: Весь Спуд перебуває під [color=RED]воєнним станом[/color]. ""Опір"" розпочав атаки на урядові об'єкти."
Text/142/text,"Кожен, хто допомагає цим [color=CRIMSON]екстремістам[/color], підлягає [color=DARK_VIOLET]негайній переробці[/color]. Міністерство підтверджує: [color=DARK_VIOLET]Кореневий Запас[/color] залишається безпечним для всіх [color=DARK_ORANGE]лояльних картоплин[/color]."
Text/143/text,[color=YELLOW]Спалахнули заворушення[/color] в кількох секторах. Осередки опору атакували три об'єкти [color=DARK_VIOLET]Кореневого Запасу[/color].
Text/144/text,Їхня мета: отримати доступ до центральної бази даних з усіма виробничими записами. Будь-яка ознака нелояльності означає переробку.
Text/145/text,"Ми захопили кількох оперативників опору, включно з офіцером Сашею."
Text/146/text,"Справжні [tornado radius=3 freq=2][color=CRIMSON]зрадники[/color][/tornado] — це ті, хто [color=DARK_VIOLET]годує наших людей одне одним[/color]. Ви не зупините правду!"
Text/147/text,"Її тягнуть геть, вона все ще кричить: [color=CHARTREUSE]Люди дізнаються, що в їхній їжі![/color]"
Text/148/text,"[color=CRIMSON]Зрадника[/color] буде [pulse freq=3][color=DARK_VIOLET]негайно перероблено[/color][/pulse]. Спеціальна партія [color=DARK_VIOLET]Кореневого Запасу[/color], виготовлена із самих терористів."
Text/149/text,"Усі прикордонні переходи [color=RED]призупинено[/color], окрім основного персоналу з [color=GOLD]допуском рівня Альфа[/color]."
Text/14a/text,Цей сканер [color=YELLOW]неможливо обдурити[/color]. Негайно бийте на сполох для будь-кого без належного допуску.
Text/14b/text,"Картоплина в офіційній формі наближається зі, здавалося б, ідеальними Альфа-документами."
Text/14c/text,"З папки випадає маленька синя картка. ""[wave amp=15 freq=3][color=CHARTREUSE]Коріння росте глибоко.[/color][/wave]"", — бурмочуть вони, піднімаючи картку."
Choice/14d/text,"Пропустити їх, ігноруючи сповіщення сканера (Допомогти опору)"
Choice/14e/text,Негайно бити на сполох (Зрадити опір)
Text/14f/text,"В їхніх очах з'являється полегшення. ""[color=CHARTREUSE]За Сашу. За Спуд.[/color]"" Вони зникають у напрямку центральної бази даних."
Text/150/text,"Жах з'являється на їхньому обличчі. ""[color=CRIMSON]Ти зрадник! Ми тобі довіряли![/color]"" Їх швидко оточують охоронці."
Text/151/text,"""Чудова робота. Ваша лояльність буде винагороджена."""
Text/152/text,"Раптом об'єкт [color=YELLOW]трясеться від вибухів[/color]. Атака опору почалася, незалежно від вашого вибору."
Text/153/text,"Чи залишатися мені на своєму посту і сподіватися, що це минеться, чи [color=CHARTREUSE]виступити[/color] і ризикнути всім, щоб викрити правду?"
Choice/154/text,"""Я не можу покинути свій обов'язок. Я залишуся мовчати і сподіватися на краще."""
Choice/155/text,"""Я був співучасником занадто довго. Настав час боротися за те, що правильно."""
Text/156/text,[pulse freq=3][color=YELLOW]Рухайтеся швидко![/color][/pulse] Охорона метушиться — це ваш єдиний шанс втекти!
Choice/14d/disabled_text,
Choice/14e/disabled_text,
Choice/154/disabled_text,
Choice/155/disabled_text,
