keys,bg
Text/200/text,"Хей, ново картофче! Тежка смяна, а? Казвам се Мърфи. Тук съм от три сезона."
Text/201/text,"Видях те да говориш със Саша по-рано. Тя е... [color=STEEL_BLUE]различна[/color]. В добрия смисъл, мисля."
Choice/202/text,Изглежда мила. Даде ми съвет как да съм нащрек.
Choice/203/text,Просто се запознахме. Нищо особено.
Text/204/text,Мърфи се оглежда нервно. Да.
Text/205/text,"Между нас да си остане? Онова радио предаване за ""изчезнали картофи""... братовчед ми изчезна миналия месец. Не премина проверката."
Text/206/text,"Умно. Не се набивай на очи, върши си работата. Това си повтарям всеки ден."
Text/207/text,Мърфи понижава глас. Макар че понякога се чудя къде всъщност отиват всички тези отхвърлени картофи...
Text/208/text,В столовата
Text/209/text,"Взираш се в гъстата, лилаво-кафява паста. Всички я ядат без въпроси. Предполага се, че е питателна."
Choice/20a/text,Изяж Кореновия Резерв като всички останали
Choice/20b/text,Бутни го настрана - не си гладен
Text/20c/text,"Вкусът е... земен. Наситен. Нещо в него ти се струва [color=STEEL_BLUE]неприятно познато[/color], но не можеш да си спомниш защо."
Text/20d/text,"Старши офицер забелязва. ""Не пилей, не ще ти липсва, кълн. Това е [pulse freq=2][color=DARK_VIOLET]първокласно хранене[/color][/pulse] точно там."""
Text/20e/text,Мърмориш извинение за разстроен стомах. Офицерът свива рамене и продължава напред.
Text/20f/text,"Обратно в квартирата си, не можеш да изхвърлиш от ума си какво каза Саша. ""[color=YELLOW]Не всичко е такова, каквото изглежда.[/color]"""
Text/210/text,"Попита Ръсет за отхвърлените картофи още на първия си ден. Отговорът му беше уклончив. ""[color=VIOLET]Обработени. Според протокола.[/color]"""
Text/211/text,"Обработени [color=STEEL_BLUE]как[/color], точно?"
Text/212/text,"Беше толкова нетърпелив да служиш. Толкова горд, че си избран. Но гордостта не обяснява [color=CRIMSON]изчезналите картофи[/color]."
Text/213/text,"Радиото съобщи, че докладите за изчезвания ""продължават"". Това означава, че се случва от известно време."
Text/214/text,"Сънят идва бавно. Когато дойде, сънуваш [wave amp=15 freq=2][color=DARK_VIOLET]лилави реки[/color][/wave], течащи под контролния пункт."
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
