keys,no
Text/d2/text,Etter vakten din blir du ledet til et hemmelig motstandsmøte i en forlatt stivelsefabrikk.
Text/d3/text,En værbitt potet med kampskader taler til den forsamlede gruppen.
Text/d4/text,Tiden for hvisking og pamfletter er over. Regjeringen har vist sitt sanne ansikt.
Text/d5/text,Våre kilder bekrefter at [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave]-anleggene øker produksjonen.
Text/d6/text,"Hvilket betyr [tornado radius=3 freq=3][color=CRIMSON]flere av våre brødre og søstre forsvunnet, bearbeidet, konsumert[/color][/tornado]."
Text/d7/text,Lederen slår en knyttneve i bordet. [pulse freq=3][color=CHARTREUSE]Dette slutter nå.[/color][/pulse] Vi har en plan for å slå til mot hjertet av operasjonen deres.
Text/d8/text,Sasha ruller ut detaljerte planer på bordet. Om tre dager starter vi vår hovedoffensiv.
Text/d9/text,"Mens ett lag skaper en avledning ved hovedregjeringskomplekset, vil et annet infiltrere det største Root Reserve-anlegget."
Text/da/text,"Vårt mål: skaffe [color=CHARTREUSE]ubestridelige bevis[/color] på hva som skjer inne, og kringkaste det til hele Spud."
Text/db/text,Sasha peker på en del av planene. Dette er hvor du kommer inn.
Text/dc/text,Vi trenger noen på innsiden av Spud Tollvesen for å sikre at våre operative kan krysse grensen for oppdraget.
Text/dd/text,Kan vi regne med at du er den personen?
Choice/de/text,Jeg vil gjøre hva som helst for å avsløre sannheten.
Choice/df/text,Det høres farlig ut. Hva om vi blir tatt?
Choice/e0/text,Finnes det en annen måte som ikke setter så mange i fare?
Text/e1/text,Sashas ansikt lyser opp med håp. Takk. [color=CHARTREUSE]Ditt mot vil redde utallige liv.[/color]
Text/e2/text,"Hun klemmer hånden din. Når alt dette er over, [color=CHARTREUSE]vil du bli husket som en helt av revolusjonen.[/color]"
Text/e3/text,Sasha nikker høytidelig. Det er farlig. Jeg vil ikke lyve til deg om det.
Text/e4/text,Vi kan alle ende opp [color=DARK_VIOLET]bearbeidet til Root Reserve[/color] selv hvis vi mislykkes.
Text/e5/text,"Men å ikke gjøre noe er enda farligere. For oss alle, på lang sikt."
Text/e6/text,Sashas uttrykk blir dystert. Vi har prøvd andre måter. I årevis.
Text/e7/text,Underskriftskampanjer. Stille diplomati. Anonyme tips. Ingenting har fungert.
Text/e8/text,Noen ganger må du risikere alt for å endre noe.
Text/e9/text,En opphetet debatt bryter ut blant motstandsmedlemmene.
Text/ea/text,Noen argumenterer for en mer aggressiv tilnærming — å ødelegge bearbeidingsanleggene fullstendig.
Text/eb/text,Andre insisterer på at voldelige handlinger bare vil vende den offentlige mening mot dem.
Text/ec/text,NOK! Lederen bringer rommet til taushet med en kommanderende stemme.
Text/ed/text,"Vi har ikke råd til å være splittet. Ikke nå, når vi er så nær."
Text/ee/text,Vårt mål er enkelt: avsløre sannheten. La folket bestemme hva som skjer videre.
Text/ef/text,Lederen snur seg for å henvende seg direkte til deg. Men vi trenger å vite [color=YELLOW]hvor du står[/color].
Text/f0/text,Om tre dager vil våre agenter nærme seg kontrollposten din. De vil bære [color=CHARTREUSE]blå identifikasjonskort[/color].
Text/f1/text,Vil du hjelpe dem å krysse? Ditt svar nå vil avgjøre vårt neste trekk.
Choice/f2/text,Jeg vil hjelpe dem å krysse. For fremtiden til Spud.
Choice/f3/text,"Jeg kan ikke være direkte involvert, men jeg vil se en annen vei."
Choice/f4/text,Jeg trenger mer tid til å tenke på dette.
Text/f5/text,Lederen griper skulderen din fast. [color=CHARTREUSE]Ditt mot hedrer oss alle.[/color]
Text/f6/text,"På den tredje dagen, når solen står høyest, vil våre agenter komme."
Text/f7/text,"Passordet er ""[wave amp=15 freq=3][color=CHARTREUSE]Røttene vokser dypt.[/color][/wave]"" Husk det."
Text/f8/text,"Lederen nikker langsomt, tydelig skuffet men forståelsesfull."
Text/f9/text,Noen ganger er det meste vi kan be om at folk ikke står i veien for oss.
Text/fa/text,Våre agenter vil fortsette som planlagt. Bare... ikke utløs alarmen.
Text/fb/text,Lederens uttrykk hardner. [color=YELLOW]Tid er en luksus vi ikke har.[/color]
Text/fc/text,Men å tvinge noen til å slutte seg til vår sak gjør oss ikke bedre enn dem.
