keys,pt-BR
dialogue_spud_being_called_1,"Próxima batata, seu destino aguarda."
dialogue_spud_being_called_2,"Primeiro da fila, o momento da verdade se aproxima."
dialogue_spud_being_called_3,"Avance, o escolhido dos tubérculos."
dialogue_spud_being_called_4,Parabéns! Sua espera foi bem-sucedida.
dialogue_spud_being_called_5,A Grande Burocracia da Batata o convoca.
dialogue_spud_being_called_6,"Avance, nobre tubérculo! Os documentos aguardam!"
dialogue_spud_being_called_7,Avance! O carimbo está impaciente.
dialogue_spud_being_called_8,Apresse-se! O Formulário P-38B precisa ser preenchido.
dialogue_spud_being_called_9,"Avance, o destino requer sua entrada."
dialogue_spud_being_called_10,"Aproxime-se do balcão do julgamento, batata."
dialogue_spud_in_office_1,"Por favor, seja paciente. O tempo é uma ilusão."
dialogue_spud_in_office_2,Esperar constrói caráter. E amido.
dialogue_spud_in_office_3,A fila anda de maneiras misteriosas.
dialogue_spud_in_office_4,Sua posição é registrada pelas autoridades.
dialogue_spud_in_office_5,Ficar na fila: a constante universal.
dialogue_spud_in_office_6,Nenhuma batata está pronta até ser temperada pela espera.
dialogue_spud_in_office_7,"Paciência: não é a única virtude, mas está na lista."
dialogue_spud_in_office_8,As engrenagens burocráticas giram lentamente. Muito lentamente.
dialogue_spud_in_office_9,"Ah, o doce som do procedimento!"
dialogue_spud_in_office_10,A fila de hoje é a anedota de amanhã.
dialogue_spud_in_office_11,O tempo nas filas se curva. Já foi medido.
dialogue_spud_in_office_12,Habilidade de espera: Nível 43 alcançado!
dialogue_warnings_1,Aqueles que se opuserem serão descascados com precisão.
dialogue_warnings_2,Fura-filas enviados para Processamento Expresso.
dialogue_warnings_3,Interrupção da fila rende palestras sobre filas.
dialogue_warnings_4,Insubordinação leva à Sala do Óleo Quente.
dialogue_warnings_5,"Não precisamos ser justos, apenas organizados."
dialogue_warnings_6,O Comitê de Conformidade de Batatas vê tudo.
dialogue_warnings_7,Encrenqueiros: amassados sem manteiga.
dialogue_warnings_8,Causadores de caos viram hash browns. Rapidamente.
dialogue_warnings_9,Infratores enfrentam o status de duas vezes assados.
dialogue_warnings_10,Auditores de Fila sinalizaram sua existência.
dialogue_warnings_11,Seu arquivo: marcado com O carimbo vermelho.
dialogue_misc_1,Onde está todo mundo?
dialogue_misc_2,Emergência? Continue esperando em ordem.
dialogue_misc_3,Leu o parágrafo sete do acordo de espera?
dialogue_misc_4,"Propriedade perdida: encontrada, taxada, extraviada."
dialogue_misc_5,"Se uma batata reclama, faz barulho?"
dialogue_misc_6,Luz substituída por placa: 'Mais Túnel.'
dialogue_misc_7,A morte é temporária. A burocracia é eterna.
dialogue_misc_8,Sistema de arquivamento alcançou senciência. Mantenha a calma.
dialogue_misc_9,Os números da sorte de hoje não significam nada. Desculpe.
dialogue_misc_10,"Apocalipse? Pegue uma senha, espere para desaparecer."
dialogue_misc_11,Sem provas significa mais formulários necessários.
dialogue_document_interaction_1,"Pegue seus documentos, por favor."
dialogue_document_interaction_2,PEGUE-OS!
