keys,vi
violation_condition_not_fresh,TỪ CHỐI: Chỉ cho phép khoai tây tươi. Khoai tây này là {condition}
violation_extra_eyes,TỪ CHỐI: Tình trạng Mắt Bổ Sung bị cấm
violation_rotten,TỪ CHỐI: Khoai tây thối bị cấm
violation_sprouted,TỪ CHỐI: Khoai tây nảy mầm bị cấm
violation_dehydrated,TỪ CHỐI: Khoai tây mất nước bị cấm
violation_frozen,TỪ CHỐI: Khoai tây đông lạnh bị cấm
violation_too_old,TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối đa: 4 năm)
violation_too_young_3,TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối thiểu: 4 năm)
violation_too_young_2,TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối thiểu: 3 năm)
violation_males_only,TỪ CHỐI: Chỉ cho phép khoai tây đực
violation_females_only,TỪ CHỐI: Chỉ cho phép khoai tây cái
violation_country_spudland,TỪ CHỐI: Tất cả khoai tây Spudland đều bị cấm
violation_country_potatopia,TỪ CHỐI: Tất cả khoai tây Potatopia đều bị cấm
violation_country_tuberstan,TỪ CHỐI: Tất cả khoai tây Tuberstan đều bị cấm
violation_country_north_yamnea,TỪ CHỐI: Tất cả khoai tây North Yamnea đều bị cấm
violation_country_spuddington,TỪ CHỐI: Tất cả khoai tây Spuddington đều bị cấm
violation_country_tatcross,TỪ CHỐI: Tất cả khoai tây Tatcross đều bị cấm
violation_country_mash_meadows,TỪ CHỐI: Tất cả khoai tây Mash Meadows đều bị cấm
violation_country_tuberville,TỪ CHỐI: Tất cả khoai tây Tuberville đều bị cấm
violation_country_chip_hill,TỪ CHỐI: Tất cả khoai tây Chip Hill đều bị cấm (hạn chế xuất khẩu)
violation_country_murphyland,TỪ CHỐI: Tất cả khoai tây Murphyland đều bị cấm
violation_country_colcannon,TỪ CHỐI: Tất cả khoai tây Colcannon đều bị cấm
violation_country_pratie_point,TỪ CHỐI: Tất cả khoai tây Pratie Point đều bị cấm
violation_race_purple_majesty,TỪ CHỐI: Các loại Purple Majesty bị cấm
violation_race_sweet_potato,TỪ CHỐI: Các loại khoai lang cần giấy phép đặc biệt (không có sẵn)
violation_race_yukon_gold,TỪ CHỐI: Các loại Yukon Gold bị cấm
violation_expired_document,TỪ CHỐI: Tài liệu hết hạn vào {date}
violation_invalid_potato,Khoai tây này đáp ứng tất cả các yêu cầu và đáng lẽ đã được chấp thuận
