keys,es-419
Text/b8/text,"La instalación fronteriza está en completo confinamiento, con seguridad armada patrullando cada pasillo."
Text/b9/text,[pulse freq=3][color=RED]¡ATENCIÓN! ¡Situación de seguridad NIVEL ROJO![/color][/pulse] Documentos clasificados fueron robados anoche.
Text/ba/text,Tenemos un [tornado radius=4 freq=3][color=CRIMSON]traidor entre nosotros[/color][/tornado]. Cualquiera que retenga información será tratado como cómplice.
Text/bb/text,"Todos los oficiales, formen fila para [wave amp=15 freq=2][color=DARK_ORANGE]escaneo de seguridad[/color][/wave]. Aquellos con respuestas de estrés elevadas serán señalados."
Text/bc/text,¿Has visto lo que está pasando afuera? Folletos por todas partes mostrando que [color=DARK_VIOLET]Root Reserve[/color] está hecho de... [pulse freq=3][color=CRIMSON]de nosotros[/color][/pulse].
Choice/bd/text,Baja la voz. Todos estamos siendo vigilados.
Choice/be/text,He oído los mismos rumores. Es horrible si es cierto.
Choice/bf/text,Eso es propaganda ridícula. No esparzas tales mentiras.
Text/c0/text,Tienes razón. Pero si es cierto... ¿qué nos convierte en?
Text/c1/text,Mi primo fue rechazado el mes pasado. ¿Eso significa...? Ya [color=CHARTREUSE]no puedo más con esto[/color].
Text/c2/text,Su expresión se vuelve cautelosa. Por supuesto. Papa leal por siempre.
Text/c3/text,Indique su paradero anoche entre las 22:00 y las 04:00 horas.
Choice/c4/text,"Estuve en mis aposentos toda la noche, durmiendo."
Choice/c5/text,Preferiría hablar con mi representante legal primero.
Text/c6/text,Sus niveles de estrés indican [color=YELLOW]engaño[/color]. Sin embargo... no concluyente. Puede irse por ahora.
Text/c7/text,"¿Representante legal? Esto es un procedimiento de seguridad, no un juicio. Su negativa ha sido registrada."
Text/c7_viktor1/text,Un corpulento guardia de seguridad se acerca durante tu descanso. Su rostro está demacrado.
Text/c7_viktor2/text,"Oye... eres uno de los oficiales de aduanas, ¿verdad? He estado preguntando por mi esposa, Elena."
Text/c7_viktor3/text,Cruzó este puesto de control hace tres semanas. [color=STEEL_BLUE]Inspección fallida.[/color] No he sabido nada de ella desde entonces.
Choice/c7_viktor4/text,Viktor... encontré algo. Sobre Elena. Necesitas saber la verdad.
Choice/c7_viktor5/text,"Lo siento, Viktor. No he visto nada."
Text/c7_viktor6/text,Le muestras una copia de la página del manifiesto. Su rostro se pone blanco.
Text/c7_viktor7/text,[wave amp=25 freq=3]Sus manos tiemblan mientras lee.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Procesada... Lote RR-2851...[/color]
Text/c7_viktor8/text,Su voz es apenas un susurro. [tornado radius=3 freq=2][color=CRIMSON]Ellos... la CONVIRTIERON en...[/color][/tornado]
Text/c7_viktor9/text,Su dolor se transforma en furia fría. [pulse freq=2][color=CRIMSON]Idaho pagará por esto.[/color][/pulse] Lo juro por su memoria.
