keys,no
Character/173/name,Radiovert
Character/174/name,Medoffiser
Character/175/name,Forteller
Character/176/name,Stille Potet
Character/177/name,Bekymret Potet
Character/178/name,Eldgammel Potet
Character/179/name,Du
Character/17a/name,Statsminister Idaho
Character/17b/name,Motstandsleder
Character/17c/name,Mistroisk Motstandsmedlem
Character/17d/name,Frekk Motstandsmedlem
Character/17e/name,Sikkerhetssjef
Character/17f/name,Sikkerhetsvakt
Character/180/name,Potet Mosersen
Character/181/name,Tilsynsmann Russet
Character/181/nicknames,"Russ,Russet,Tilsynsmann Russet"
Character/182/name,Søtpotet Sasha
Character/183/name,Nervøs Reisende
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
