keys,th
Text/96/text,คุณย่องไปตามโถงทางเดินที่มืดมิด หัวใจเต้นรัวขณะที่คุณหลีกเลี่ยงการลาดตระเวนของเจ้าหน้าที่รักษาความปลอดภัย
Text/97/text,[color=CHARTREUSE]อุปกรณ์นี้จะปลดล็อก[/color]ห้องทำงานของรัสเซ็ต ฉันจะเปิดสัญญาณเตือนภัยที่ปีกตะวันออกเพื่อเบี่ยงเบนความสนใจ คุณมีเวลาห้านาที
Text/98/text,"""เอกสารรายการสินค้าควรอยู่ในตู้เก็บเอกสารของเขา [color=CRIMSON]แฟ้มสีแดงที่เขียนว่า 'RR Transport'[/color] อย่าทิ้งร่องรอยการค้นหาของคุณไว้"""
Text/99/text,"คุณพบ[color=CRIMSON]แฟ้มสีแดงหนาที่เขียนว่า ""RR Transport""[/color] ในตู้เก็บเอกสาร"
Text/9a/text,"ภายในมีเอกสารรายการสินค้าที่ตรงกับจำนวนมันฝรั่งที่ถูกปฏิเสธ และคำสั่งจากนายกรัฐมนตรีไอดาโฮที่อนุญาตให้ ""[pulse freq=3][color=DARK_VIOLET]ใช้มันฝรั่งที่ถูกปฏิเสธจากชายแดนทั้งหมดเพื่อการผลิต RR[/color][/pulse]"""
Text/9a_viktor1/text,คุณสแกนชื่อในเอกสารรายการสินค้า... และมีชื่อหนึ่งที่สะดุดตา [color=GOLD]เอเลน่า เปตรอฟ[/color]
Text/9a_viktor2/text,ชื่อนั้น... คุณเคยได้ยินมาก่อน ยามรักษาความปลอดภัยวิกเตอร์เคยพูดถึงภรรยาของเขาที่หายไป
Text/9a_viktor3/text,"""[color=CRIMSON]สถานะ: ดำเนินการแล้ว. ชุด RR-2851.[/color]"" ลงวันที่เมื่อสองสัปดาห์ก่อน"
Text/9b/text,"เสียงฝีเท้าใกล้เข้ามาที่ประตูห้องทำงาน ""[wave amp=15 freq=3][color=YELLOW]แปลกนะ ฉันสาบานได้ว่าฉันล็อกมันแล้ว[/color][/wave]"""
Choice/9c/text,"""ซ่อนใต้โต๊ะ"""
Choice/9d/text,"""กระโดดออกทางหน้าต่าง"""
Text/9e/text,คุณดำดิ่งลงใต้โต๊ะของรัสเซ็ตขณะที่เขาเข้ามา หัวใจของคุณเต้นรัว เขานั่งลง เท้าของเขาห่างจากใบหน้าของคุณเพียงไม่กี่นิ้ว
Text/9f/text,"""รัสเซ็ตเอง มีอะไร? [color=CHARTREUSE]สัญญาณเตือนภัยอีกแล้วเหรอ?[/color] ฉันกำลังไป"" เขาออกไป และคุณก็หนีรอดมาได้"
Text/a0/text,"คุณกระชากหน้าต่างเปิดออกแล้วกระโดดลงไป โชคดีที่มันแค่ชั้นเดียว ยามตะโกนว่า: ""[color=RED]เฮ้ย! หยุดนะ![/color]"""
Text/a1/text,คุณวิ่งข้ามสนามและสามารถสลัดผู้ไล่ตามได้สำเร็จ
Text/a2/text,คุณได้มันมาไหม?
Text/a3/text,คุณยื่นหลักฐานให้ พร้อมอธิบายสิ่งที่คุณค้นพบ
Text/a4/text,นี่พิสูจน์ทุกอย่างแล้ว กลุ่มต่อต้านจะทำสำเนา [tornado radius=3 freq=2]กระจายความจริงไปทุกหนทุกแห่ง[/tornado] พวกเขาไม่สามารถปิดปากเราได้ทั้งหมด
Text/a5/text,คุณได้ก้าวข้ามเส้นไปแล้ว [wave amp=20 freq=3][color=YELLOW]ไม่มีทางย้อนกลับ[/color][/wave] เมื่อความจริงแพร่กระจาย สปัดจะเปลี่ยนไป
Choice/9c/disabled_text,
Choice/9d/disabled_text,
