keys,ar
Text/96/text,تتسلل عبر الممر المظلم، وقلبك يخفق بينما تتجنب دوريات الأمن.
Text/97/text,[color=CHARTREUSE]سيقوم هذا الجهاز بتعطيل القفل[/color] على مكتب راسيت. سأقوم بتشغيل الإنذارات في الجناح الشرقي كإلهاء. لديك خمس دقائق.
Text/98/text,"""يجب أن تكون البيانات في خزانة الملفات الخاصة به. [color=CRIMSON]مجلد أحمر مكتوب عليه 'RR Transport'[/color]. لا تترك أي دليل على بحثك."""
Text/99/text,"تجد [color=CRIMSON]المجلد الأحمر السميك المكتوب عليه ""RR Transport""[/color] في خزانة الملفات."
Text/9a/text,"في الداخل توجد بيانات تتطابق مع أعداد البطاطس المرفوضة، وتوجيه من رئيس الوزراء أيداهو يأذن بـ ""[pulse freq=3][color=DARK_VIOLET]الاستغلال الكامل للمرفوضين من الحدود لإنتاج RR.[/color][/pulse]"""
Text/9a_viktor1/text,تقوم بمسح الأسماء في البيان... ويبرز اسم واحد. [color=GOLD]إيلينا بيتروف[/color].
Text/9a_viktor2/text,هذا الاسم... لقد سمعته من قبل. ذكر حارس الأمن فيكتور أن زوجته مفقودة.
Text/9a_viktor3/text,"""[color=CRIMSON]الحالة: تمت المعالجة. دفعة RR-2851.[/color]"" بتاريخ قبل أسبوعين."
Text/9b/text,"تقترب خطوات من باب المكتب. ""[wave amp=15 freq=3][color=YELLOW]غريب، أقسم أنني قمت بإغلاقه.[/color][/wave]"""
Choice/9c/text,"""اختبئ تحت المكتب"""
Choice/9d/text,"""اقفز من النافذة"""
Text/9e/text,تغوص تحت مكتب راسيت وهو يدخل، وقلبك يخفق بشدة. يجلس، وقدماه على بعد بوصات من وجهك.
Text/9f/text,"""راسيت هنا. ماذا؟ [color=CHARTREUSE]إنذار آخر؟[/color] أنا قادم."" يغادر، وتهرب أنت."
Text/a0/text,"تفتح النافذة بقوة وتقفز. لحسن الحظ إنها طابق واحد فقط. يصرخ حارس: ""[color=RED]مرحباً! توقف![/color]"""
Text/a1/text,تركض عبر الأراضي وتنجح في التخلص من مطارديك.
Text/a2/text,هل حصلت عليه؟
Text/a3/text,تسلم الأدلة، وتشرح ما وجدته.
Text/a4/text,هذا يثبت كل شيء. المقاومة ستصنع نسخاً. [tornado radius=3 freq=2]انشروا الحقيقة في كل مكان.[/tornado] لا يمكنهم إسكاتنا جميعاً.
Text/a5/text,لقد تجاوزت الخط. [wave amp=20 freq=3][color=YELLOW]لا رجعة فيه.[/color][/wave] عندما تنتشر الحقيقة، ستتحول سبود.
Choice/9c/disabled_text,
Choice/9d/disabled_text,
