keys,de
Text/86/text,Neue Sicherheitsprotokolle heute. Wir haben Geheimdienstinformationen über [color=YELLOW]verdächtige Aktivitäten[/color] erhalten.
Text/87/text,Alle Reisenden müssen erweiterte Kontrollverfahren durchlaufen.
Text/88/text,"Achten Sie auf [color=YELLOW]nervöses Verhalten, ungewöhnliche Manierismen oder Weigerung, Augenkontakt herzustellen[/color]."
Text/89/text,"Alle verdächtigen Gegenstände müssen beschlagnahmt und protokolliert werden. Für Spuds Sicherheit, natürlich."
Text/8a/text,"Wir sind besonders besorgt über [color=CRIMSON]verbotene Materialien[/color] - regierungsfeindliche Literatur, Fotoausrüstung..."
Text/8b/text,"Ihre Stimme sinkt bedrohlich. ""[pulse freq=2][color=DARK_VIOLET]Wir haben spezielle Verfahren für diese Personen.[/color][/pulse]"""
Text/8c/text,"[wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave]-Lastwagen entladen Kisten mit der Aufschrift ""Premium Reserve"" in der Kantine. Der Geruch ist verlockend, aber Ihr Magen dreht sich."
Text/8d/text,Haben Sie die neue Premium Reserve probiert? Mein Cousin ist letzten Monat verschwunden. Durchlief die Kontrolle nicht.
Text/8e/text,"Vielleicht ist er Teil dieser Charge, hm? [tornado radius=2 freq=2][color=STEEL_BLUE]Schwarzer Humor, verstehen Sie?[/color][/tornado]"
Choice/8f/text,Das ist nicht lustig. Überhaupt nicht.
Choice/90/text,Ich habe keinen Hunger. Entschuldigen Sie. (Verlassen)
Text/91/text,"Sie haben Recht. Manchmal ist es einfacher zu scherzen, als darüber nachzudenken, [pulse freq=3][color=CRIMSON]was tatsächlich passieren könnte[/color][/pulse]."
Text/92/text,"Der Beamte beobachtet, wie Sie gehen. ""Ich verstehe. Ich habe auch keine Lust mehr zu essen..."""
Text/93/text,"Praktisches Timing für neue Sicherheitsprotokolle, nicht wahr? [wave amp=15 freq=3][color=YELLOW]Sie versuchen, Informationen über Root Reserve zu stoppen.[/color][/wave]"
Text/94/text,"Ich habe etwas, das uns helfen könnte. Einige Kartoffeln mit [color=CHARTREUSE]wichtigen Informationen verdienen es durchzukommen[/color]."
Text/95/text,"Sie überdenken Ihre Optionen sorgfältig. Die heutigen Entscheidungen könnten helfen, [color=CHARTREUSE]die Wahrheit zu verbreiten[/color]... oder sie [color=CRIMSON]für immer zum Schweigen zu bringen[/color]."
Choice/8f/disabled_text,
Choice/90/disabled_text,
