keys,th
Text/11/text,พรมแดนมันฝรั่งตกอยู่ใน [pulse freq=3][color=CRIMSON]ความโกลาหล[/color][/pulse] มันฝรั่งที่ตื่นตระหนกหลั่งไหลเข้าสู่จุดตรวจ หวังจะหลบหนีหลังจากเอกสารรั่วไหล
Text/12/text,คุณเล็ดลอดไปกับซาช่า [wave amp=20 freq=3][color=CHARTREUSE]เราต้องเดินหน้าต่อไป![/color][/wave] ผู้คนรู้ความจริงแล้ว
Text/13/text,พวกเขาไม่สามารถปิดปากความจริงได้อีกต่อไป ถ้าเราสามารถแทรกซึมเข้าไปในศูนย์ [color=DARK_VIOLET]Root Reserve[/color] และเผยแพร่หลักฐานได้ มันจะ [tornado radius=3 freq=2][color=CHARTREUSE]จุดชนวนการปฏิวัติ[/color][/tornado]
Text/14/text,ที่นั่นเป็นป้อมปราการ และตอนนี้เรามี [color=YELLOW]อดีตเจ้าหน้าที่ศุลกากร[/color] อยู่ท่ามกลางพวกเรา พวกเขามองคุณด้วยสายตาที่แคบลงอย่างสงสัย
Choice/15/text,ฉันเข้าใจความสงสัยของคุณ แต่ฉันมุ่งมั่นกับอุดมการณ์นี้
Choice/16/text,ฉันได้เสียสละทุกสิ่งทุกอย่างไปแล้ว ฉันจะไม่ถอยกลับตอนนี้
Text/17/text,คำพูดสวยหรู แต่เราเคยได้ยินมาแล้ว
Text/18/text,พวกเขาช่วยเราหาเอกสาร นั่นคือการกระทำ ไม่ใช่คำพูด
Text/19/text,กลับไปเป็นมันฝรั่งผู้ภักดีไม่ได้แล้วตอนนี้ ยินดีต้อนรับสู่ขบวนการต่อต้าน สหาย
Text/1a_rescue1/text,หน่วยสอดแนมรีบวิ่งมา เราเจอเธอแล้ว! [color=CHARTREUSE]ซาช่าอยู่ในห้องขัง![/color]
Text/1a_rescue2/text,พวกเขากำลังเตรียมที่จะ... [tornado radius=3 freq=2][color=CRIMSON]ประมวลผลเธอ[/color][/tornado]... ในเวลาไม่ถึงหนึ่งชั่วโมง!
Text/1a_rescue3/text,เราต้องช่วยเธอ [pulse freq=2][color=CHARTREUSE]เธอเป็นคนเริ่มต้นทั้งหมดนี้[/color][/pulse] เราจะไม่จากไปหากไม่มีเธอ
Text/1a_rescue4/text,[wave amp=25 freq=3][color=YELLOW]รีบฝ่าเข้าไปในศูนย์![/color][/wave] ไปถึงซาช่าก่อนที่จะสายเกินไป!
Text/1a_rescue_fail1/text,คุณสะดุด ทางข้างหน้าถูกบล็อกโดยยาม!
Text/1a_rescue_fail2/text,วิกเตอร์พุ่งทะลุประตูข้าง [color=CHARTREUSE]ไป! ฉันจะถ่วงเวลาพวกเขาไว้![/color]
Text/1a_rescue_fail3/text,เพื่อเอเลน่า เพื่อพวกเขาทุกคน [color=STEEL_BLUE]ฉันจะไม่ยอมให้ใครตายอีก![/color]
Text/1a_rescue_fail4/text,เมอร์ฟีดึงสัญญาณเตือนไฟไหม้ [color=CHARTREUSE]เพื่อทอมมี่![/color] หัวฉีดน้ำดับเพลิงทำให้ยามมองไม่เห็น!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]ฉันจะสร้างความวุ่นวาย พาเธอออกไปจากที่นั่น![/color]
Text/1a_rescue_fail6/text,[color=YELLOW]สายพานประมวลผลขัดข้อง[/color] เกิดประกายไฟและเบี่ยงเบนความสนใจของยาม!
Text/1a_rescue_fail7/text,โชคชะตา - หรือวิญญาณของผู้ที่ถูกประมวลผล - มอบโอกาสครั้งที่สองให้คุณ
Text/1a_rescue5/text,ซาช่าเงยหน้าขึ้นจากห้องขังของเธอ บอบช้ำแต่ไม่แตกหัก ดวงตาของเธอเบิกกว้าง [color=CHARTREUSE]คุณมาแล้ว[/color]
Text/1a_rescue6/text,แน่นอนฉันมา [color=CHARTREUSE]เราจะจบเรื่องนี้ด้วยกัน[/color]
Choice/1a_rescue7/text,ฉันกลัวว่าจะไม่ได้เจอคุณอีกแล้ว
Choice/1a_rescue8/text,คุณทำให้เราเป็นห่วงแทบแย่ อย่าทำแบบนั้นอีก
Choice/1a_rescue9/text,เรามีงานต้องทำ ไอดาโฮกำลังรออยู่
Text/1a_rescue10/text,[color=CHARTREUSE]ซาช่าดึงคุณเข้ามากอดสั้น ๆ[/color] ฉันรู้ว่าคุณจะมา ฉันไม่เคยสงสัยเลย
Text/1a_rescue11/text,ตอนนี้เรามาทำให้พวกมันชดใช้สำหรับทุกคนที่พวกมันพรากไป [color=CHARTREUSE]ด้วยกัน[/color]
Text/1a_rescue12/text,ซาช่ายิ้มอย่างอ่อนแรงแม้จะเจ็บปวด [color=STEEL_BLUE]ฉันจะพยายาม[/color] แต่บางสิ่งก็คุ้มค่าที่จะเสี่ยง
Text/1a_rescue13/text,การที่คุณอยู่ที่นี่คือข้อพิสูจน์ ตอนนี้เรามาจบเรื่องนี้กัน
Text/1a_rescue14/text,ซาช่าพยักหน้า ความมุ่งมั่นของเธอกลับมาอีกครั้ง [color=CHARTREUSE]คุณพูดถูก[/color] ความรู้สึกอ่อนไหวรอได้
Text/1a_rescue15/text,ไอดาโฮคิดว่าเขาชนะแล้ว มาแสดงให้เขาเห็นว่าเขาคิดผิดแค่ไหน
Text/1a/text,หลังจากการแทรกซึมที่ตึงเครียด ทีมของคุณก็ยืนอยู่ใจกลาง [color=DARK_VIOLET]เขตสงวนราก[/color] ซึ่งเป็น [pulse freq=3][color=CRIMSON]กลไกแห่งการกดขี่อันน่าสะพรึงกลัว[/color][/pulse] ที่ถูกเปิดเผยออกมา
Text/1b/text,[wave amp=25 freq=3][color=RED]เสียงสัญญาณเตือนภัยดังสนั่น[/color][/wave] ขณะที่ยามพากันตอบโต้การบุกรุกของคุณ คุณวิ่งผ่านทางเดิน หลบหลีกระบบรักษาความปลอดภัย
Text/1c/text,"หน้าจอเปิดขึ้นมา ""โอ้โห [color=CRIMSON]คนทรยศ[/color]กลับมาพร้อมกับพวกกบฏชั้นต่ำ"""
Text/1d/text,เจ้าคิดว่าจะหยุดยั้งความก้าวหน้าของสปัดได้งั้นหรือ? [color=DARK_VIOLET]เขตสงวนราก[/color]คือเส้นเลือดใหญ่ของชาติ
Text/1e/text,แต่อย่ากังวลไปเลย เจ้ายังคงรับใช้สปัด... [tornado radius=4 freq=3][color=DARK_VIOLET]ในถังแปรรูป![/color][/tornado]
Text/1f/text,หน้าจอดับลงกะทันหัน
Text/20/text,"คุณหันไปหาคนอื่นด้วยความมุ่งมั่น ""เราต้องไปถึงบังเกอร์ของไอดาโฮ เดี๋ยวนี้!"""
Text/158/text,กองกำลังรักษาความปลอดภัยกำลังเข้ามาใกล้! [pulse freq=3][color=YELLOW]ฝ่าฟันออกไป![/color][/pulse]
Text/21_fail1/text,ยามเข้ามาใกล้จากทุกทิศทาง [color=CRIMSON]ไม่มีที่ให้หนีแล้ว![/color]
Text/21_fail2/text,วิกเตอร์ปรากฏตัวด้านหลังยาม เสียงของเขาเย็นชาดุจเหล็ก [color=STEEL_BLUE]วางอาวุธซะ เดี๋ยวนี้[/color]
Text/21_fail3/text,ยามลังเล - วิกเตอร์เคยเป็นพวกเดียวกับพวกเขา [color=CRIMSON]ชื่อของเอเลน่าอยู่ในบัญชีรายชื่อเหล่านั้น ครอบครัวของคุณอาจเป็นรายต่อไป[/color]
Text/21_fail4/text,ยามบางคนลดอาวุธลง คนอื่น ๆ หนีไป เส้นทางก็เปิดออก
Text/21_fail5/text,"เสียงระเบิดสั่นสะเทือนปีกตะวันออก เสียงของเมอร์ฟี่ดังซ่าผ่านวิทยุสื่อสาร: [color=CHARTREUSE]""นั่นคือแผนล่อของฉัน! ไปได้แล้ว!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]ยามแตกกระเจิงไปทางเสียงระเบิด ทอมมี่คงจะภูมิใจ[/color]
Text/21_fail7/text,ซาช่าพุ่งเข้าใส่หัวหน้ายามจากด้านหลัง [color=CHARTREUSE]ฉันไม่ได้รอดจากห้องขังนั้นมาเพื่อดูคุณตายหรอกนะ![/color]
Text/21_fail8/text,[color=STEEL_BLUE]หนีไป! ฉันจัดการเอง![/color]
Text/21/text,กลุ่มของคุณต่อสู้ฝ่าฟันคลื่นกองกำลังรักษาความปลอดภัย หลีกเลี่ยงการถูกจับกุมได้อย่างหวุดหวิด นักรบต่อต้านของซาช่าสร้างแผนล่อ เปิดทางให้คุณไปข้างหน้า
Text/22/text,หลังจากการหลบหนีที่น่าหวาดเสียวผ่านอุโมงค์บำรุงรักษา ในที่สุดคุณก็มาถึงลิฟต์รักษาความปลอดภัยที่นำไปสู่บังเกอร์ส่วนตัวของไอดาโฮ
Text/23/text,ด้วยซาช่าและพันธมิตรของคุณเคียงข้าง ในที่สุดคุณก็เผชิญหน้ากับไอดาโฮ
Text/24/text,จบแล้ว ไอดาโฮ ความลับของเจ้าถูกเปิดเผยแล้ว เรื่องนี้จะจบลงอย่างไร... [pulse freq=2]ขึ้นอยู่กับเจ้า[/pulse]
Choice/25/text,เจรจาเพื่อการถ่ายโอนอำนาจอย่างสันติ (ทางการทูต)
Choice/26/text,เรียกร้องให้จับกุมไอดาโฮทันที (ความยุติธรรม)
Choice/27/text,ลงทัณฑ์ไอดาโฮด้วยศาลเตี้ยสำหรับอาชญากรรมของมัน (การแก้แค้น)
Choice/28/text,มุ่งเน้นไปที่การรื้อถอนโครงสร้างพื้นฐานของ Root Reserve (รื้อถอน)
Text/29/text,ไอดาโฮ เรื่องนี้ไม่จำเป็นต้องจบลงด้วยการนองเลือดอีก หากเจ้าร่วมมือ...
Text/2a/text,โอ้ เจ้า [color=STEEL_BLUE]คนโง่ในอุดมคติ[/color] เจ้าคิดว่านี่คือการเจรจาหรือ?
Text/2b/text,"ไอดาโฮทุบปุ่ม และ [color=RED]สัญญาณเตือนภัยก็ดังสนั่น[/color] ""สิ่งเดียวที่ข้าจะมอบให้เจ้าคือ [color=DARK_VIOLET]ตั๋วเที่ยวเดียวสู่บ่อทอด![/color]"""
Text/2c/text,ข้าไม่คิดอย่างนั้นนะ ไอดาโฮ ทหารยาม! พวกเจ้าเห็นเอกสารลับแล้ว [color=YELLOW]พวกเจ้ารู้ว่ามันทำอะไรกับครอบครัวของพวกเจ้า[/color]
Text/2d/text,ทหารยามร่างใหญ่ก้าวไปข้างหน้าและเตะไอดาโฮล้มลงอย่างรวดเร็ว
Text/2e/text,เสียงปืนดังก้องไปทั่วห้อง หน้าจอค่อยๆ มืดลง
Text/2f/text,ไอดาโฮ ในนามของชาวมันฝรั่งแห่งสปัด [color=CHARTREUSE]เจ้าถูกจับกุมแล้ว![/color]
