keys,fi
Text/240/text,Iltavuoron päättyessä useimmat virkailijat ovat lähteneet. Vain sinä ja kourallinen vartijoita olette jäljellä.
Text/241/text,Roteva vartija lähestyy asemaasi. Nimeni on Viktor. Olen yövuorossa.
Text/242/text,"Hänen silmänsä ovat väsyneet, ahdistuneet. Sinä olet se uusi, eikö? Se, jota Russet jatkuvasti tarkkailee?"
Choice/243/text,Yritän vain tehdä työni. Miksi Russet tarkkailee minua?
Choice/244/text,"Onko jotain, mitä minun pitäisi tietää?"
Text/245/text,"Hän kohauttaa hartioitaan raskaasti. Russet tarkkailee kaikkia, jotka esittävät kysymyksiä. Vaimoni [color=STEEL_BLUE]kyseli[/color] kerran."
Text/246/text,Hän ei ole enää täällä kysymässä.
Text/247/text,"Hän vilkuilee ympärilleen ja madaltaa sitten ääntään. Ole vain... varovainen, kehen luotat."
Text/248/text,"Ja kenet [color=CRIMSON]tuomitset[/color]. Jotkut meistä muistavat jokaisen kasvot, jotka lähetimme käsittelyyn."
Text/249/text,"Hermostunut peruna lähestyy. Paperit vaikuttavat olevan kunnossa, mutta huomaat heidän kauluksessaan [color=CHARTREUSE]hienovaraisen lehtimerkin[/color]."
Text/24a/text,"He liu'uttavat asiakirjansa yli. Sisälle on taiteltu pieni lappu: ""[color=CHARTREUSE]Sasha lähetti minut. Paketti verkostolle. Ole kiltti.[/color]"""
Text/24b/text,Uusi [color=DARK_ORANGE]RealityScan[/color] vilkkuu valmiina asemallasi. Yksi skannaus ja se havaitsee väärennetyt elementit heidän papereistaan.
Choice/24c/text,"Teeskentele, että skanneri on rikki ja päästä heidät läpi"
Choice/24d/text,Käytä skanneria vaatimusten mukaisesti – et voi riskeerata paljastumista
Choice/24e/text,"Viittaa Viktorille, että hän katsoisi toiseen suuntaan, ja päästä heidät sitten läpi"
Text/24f/text,"Napautat skanneria, rypistät otsaasi, napautat sitä uudelleen. ""Kiukkuinen laite temppuilee. Mene vain läpi."""
Text/250/text,"Huojennus valtaa heidän kasvonsa. He liikuttavat huuliaan sanoen ""[color=CHARTREUSE]Kiitos[/color]"" ja kiiruhtavat ohi."
Text/251/text,"Saat katsekontaktin hänen kanssaan ja nyökkäät kohti agenttia. Hän katsoo heitä, sitten sinua."
Text/252/text,"Hän kääntää selkänsä tarkoituksella, tutkien seinää. ""[color=STEEL_BLUE]Skanneri on temppuillut koko päivän.[/color]"""
Text/253/text,"Agentti livahtaa läpi. Viktor ei sano mitään, mutta olette nyt jakaneet salaisuuden."
Text/254/text,"Suoritat skannauksen. Kone [color=RED]ulvoo[/color]. ""Väärennettyjä asiakirjoja havaittu."""
Text/255/text,"Kauhu valtaa heidän kasvonsa. ""[color=CRIMSON]Et ymmärrä, mitä olet tehnyt...[/color]"""
Text/256/text,"Hän ja muut vartijat lähestyvät. Agentti raahataan pois, yhä tuijottaen sinua."
Text/257/text,Sasha tavoittaa sinut varjoista. Tuo agentti kuljetti [color=CHARTREUSE]kopioita manifesteista[/color] ulkopuolisille kontakteillemme.
Text/258/text,Sinun ansiostasi totuus leviää Spudin rajojen ulkopuolelle. [color=CHARTREUSE]Olet tehnyt todellisen muutoksen.[/color]
Text/259/text,Sashan silmät pyöristyvät. Viktor auttoi? Minulla oli aavistus hänestä. Hänen vaimonsa oli...
Text/25a/text,Hän vaikenee. Meillä on enemmän liittolaisia kuin luulin.
Text/25b/text,"Sasha löytää sinut, hänen ilmeensä on kylmä. Sillä operaattorilla oli perhe. Kolme itua kotona."
Text/25c/text,Ymmärrän pelon. Mutta [color=CRIMSON]pelolla on seurauksensa[/color]. Heidät käsitellään aamuun mennessä.
Text/25d/text,Toivottavasti puhdas rekisterisi on sen arvoinen.
Text/25e/text,"Murphy livahtaa majoitukseesi. Kuulin, että asemallasi oli tänä iltana jännitystä."
Text/25f/text,[color=CHARTREUSE]Hyvä. Olemme tässä yhdessä nyt.[/color] Ei paluuta.
Text/260/text,"Murphyn ilme synkkenee. Minä... Luulin, että olit kanssamme. Mitä tapahtui?"
Text/261/text,Huomisen vuoro on erilainen. Panokset eivät ole koskaan olleet näin korkealla.
Text/262/text,Mutta ensimmäistä kertaa tunnet olevasi [color=CHARTREUSE]oikealla puolella[/color]. Mitä se sitten maksaakin.
Text/263/text,"Operaattorin kasvot kummittelevat mielessäsi. Heidän perheensä ei koskaan saa tietää, miksi he eivät palanneet kotiin."
Text/264/text,[color=STEEL_BLUE]Sinun takiasi.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
