keys,nl
Text/96/text,"Je sluipt door de verduisterde gang, je hart bonkt terwijl je de beveiligingspatrouilles ontwijkt."
Text/97/text,[color=CHARTREUSE]Dit apparaat zal de vergrendeling uitschakelen[/color] op het kantoor van Russet. Ik zal alarmen afgeven in de oostvleugel als afleiding. Je hebt vijf minuten.
Text/98/text,De manifesten zouden in zijn archief moeten zitten. [color=CRIMSON]Rode map gemerkt als 'RR Transport'[/color]. Laat geen sporen achter van je zoektocht.
Text/99/text,"Je vindt de dikke [color=CRIMSON]rode map gemerkt als ""RR Transport""[/color] in het archief."
Text/9a/text,"Erin zitten manifesten die overeenkomen met afgewezen aardappeltellingen, en een richtlijn van de Minister-President van Idaho die ""[pulse freq=3][color=DARK_VIOLET]volledige benutting van grensafwijzingen voor RR-productie[/color][/pulse]"" toestaat."
Text/9b/text,"Voetstappen naderen de kantoordeut. ""[wave amp=15 freq=3][color=YELLOW]Raar, ik had gezworen dat ik hem op slot had gedaan.[/color][/wave]"""
Choice/9c/text,Verschuil je onder het bureau
Choice/9d/text,Spring uit het raam
Text/9e/text,"Je duikt onder Russets bureau terwijl hij binnenkomt, je hart bonkt. Hij gaat zitten, zijn voeten centimeters van je gezicht."
Text/9f/text,Russet hier. Wat? [color=CHARTREUSE]Nog een alarm?[/color] Ik kom eraan. Hij verlaat de kamer en jij ontsnapt.
Text/a0/text,"Je rukt het raam open en springt. Gelukkig is het maar één verdieping. Een bewaker roept: ""[color=RED]Hey! Stop![/color]"""
Text/a1/text,Je rent over het terrein en slaagt erin je achtervolgers af te schudden.
Text/a2/text,Heb je het?
Text/a3/text,Je overhandigt de bewijzen en legt uit wat je hebt gevonden.
Text/a4/text,Dit bewijst alles. Het verzet zal kopieën maken. [tornado radius=3 freq=2]Verspreid de waarheid overal.[/tornado] Ze kunnen ons niet allemaal het zwijgen opleggen.
Text/a5/text,"Je hebt een grens overschreden. [wave amp=20 freq=3][color=YELLOW]Er is geen weg terug.[/color][/wave] Wanneer de waarheid zich verspreidt, zal Spud worden getransformeerd."
Choice/9c/disabled_text,
Choice/9d/disabled_text,
