keys,th
Text/200/text,เฮ้ เจ้ามันฝรั่งหน้าใหม่! กะนี้หนักหนาใช่ไหมล่ะ? ฉันชื่อเมอร์ฟี่ อยู่ที่นี่มาสามฤดูแล้ว
Text/201/text,ฉันเห็นนายคุยกับซาช่าเมื่อกี้ เธอ... [color=STEEL_BLUE]ไม่เหมือนใคร[/color] ในทางที่ดีนะ ฉันว่า
Choice/202/text,เธอดูดีนะ ให้คำแนะนำเรื่องการตื่นตัวด้วย
Choice/203/text,แค่แนะนำตัวน่ะ ไม่มีอะไรพิเศษหรอก
Text/204/text,เมอร์ฟี่กวาดตามองไปรอบๆ อย่างประหม่า อืม
Text/205/text,"ระหว่างเราสองคนนะ? ที่วิทยุประกาศเรื่อง ""มันฝรั่งหายไป""... ลูกพี่ลูกน้องฉันหายไปเมื่อเดือนที่แล้ว ตรวจไม่ผ่านน่ะ"
Text/206/text,ฉลาดดี ก้มหน้าก้มตาทำงานไป นั่นแหละที่ฉันบอกตัวเองทุกวัน
Text/207/text,เสียงของเมอร์ฟี่เบาลง แต่บางทีฉันก็สงสัยนะว่ามันฝรั่งที่ถูกปฏิเสธพวกนั้นหายไปไหนกันแน่...
Text/208/text,ในโรงอาหาร
Text/209/text,คุณจ้องมองก้อนแป้งข้นสีม่วงอมน้ำตาล ทุกคนกินมันโดยไม่ตั้งคำถาม มันถูกกล่าวว่าเป็นอาหารที่มีคุณค่าทางโภชนาการ
Choice/20a/text,กิน Root Reserve เหมือนคนอื่นๆ
Choice/20b/text,เขี่ยมันทิ้งไป - คุณไม่หิว
Text/20c/text,รสชาติมัน... เหมือนดิน เข้มข้น บางอย่างในรสชาติมันรู้สึก[color=STEEL_BLUE]คุ้นเคยอย่างน่าอึดอัด[/color] แต่คุณก็บอกไม่ได้ว่าทำไม
Text/20d/text,"เจ้าหน้าที่อาวุโสคนหนึ่งสังเกตเห็น ""อย่าทิ้งอย่าขว้างนะ เจ้าหน่ออ่อน นั่นมัน[pulse freq=2][color=DARK_VIOLET]สารอาหารชั้นเลิศ[/color][/pulse]เลยนะ"""
Text/20e/text,คุณพึมพำข้อแก้ตัวเรื่องปวดท้อง เจ้าหน้าที่ยักไหล่แล้วเดินจากไป
Text/20f/text,"กลับมาที่ห้องพัก คุณก็ยังคงติดใจกับสิ่งที่ซาช่าพูด ""[color=YELLOW]ทุกสิ่งไม่ได้เป็นอย่างที่เห็นเสมอไป[/color]"""
Text/210/text,"คุณเคยถามรัสเซ็ตเรื่องมันฝรั่งที่ถูกปฏิเสธในวันแรกของคุณ คำตอบของเขาเลี่ยงไปเลี่ยงมา ""[color=VIOLET]ถูกดำเนินการแล้ว ตามขั้นตอน[/color]"""
Text/211/text,ดำเนินการ[color=STEEL_BLUE]อย่างไร[/color]กันแน่?
Text/212/text,คุณกระตือรือร้นที่จะรับใช้ ภูมิใจที่ได้รับเลือก แต่ความภาคภูมิใจก็ไม่อาจอธิบายเรื่อง[color=CRIMSON]มันฝรั่งที่หายไป[/color]ได้
Text/213/text,"วิทยุกล่าวว่ารายงานการหายตัวไป ""ยังคงดำเนินต่อไป"" นั่นหมายความว่ามันเกิดขึ้นมาสักพักแล้ว"
Text/214/text,การนอนหลับมาถึงอย่างเชื่องช้า เมื่อหลับไป คุณฝันถึง[wave amp=15 freq=2][color=DARK_VIOLET]แม่น้ำสีม่วง[/color][/wave]ที่ไหลอยู่ใต้ด่านตรวจ
Choice/202/disabled_text,
Choice/203/disabled_text,
Choice/20a/disabled_text,
Choice/20b/disabled_text,
