keys,pl
Text/78/text,"Kolejny dzień na punkcie kontrolnym. Kolejka ziemniaków ciągnie się dłużej niż kiedykolwiek, wszyscy są na krawędzi."
Text/79/text,Nowe rozkazy z góry. [wave amp=15 freq=3][color=DARK_ORANGE]Podwajamy odrzucenia[/color][/wave]. Każdy ziemniak uznany za niebezpieczny jest natychmiast zatrzymywany.
Text/7a/text,Mam specjalne zadanie. Mamy informacje wywiadowcze o [pulse freq=2][color=CRIMSON]troublemakers[/color][/pulse]. Bądźcie czujni podczas inspekcji.
Choice/7b/text,"Tak, proszę pana, nie zawiodę"
Choice/7c/text,O jakich troublemakers mówimy?
Text/7d/text,"Dobrze. Wiedziałem, że mogę na tobie polegać. Zajdziesz daleko z taką postawą."
Text/7e/text,"Ci, którzy [color=CRIMSON]zagrażają naszemu stylowi życia[/color]. Nie zadawaj zbyt wielu pytań, jeśli wiesz, co jest dla ciebie dobre."
Text/7f/text,"[color=STEEL_BLUE]Błagam![/color] Moja żona miała być tuż za mną, ale [tornado radius=2 freq=3]nigdy nie przeszła przez odprawę celną[/tornado]."
Text/80/text,"Nikt nie chce mi powiedzieć, co się jej stało. Proszę, [color=CHARTREUSE]pomóż mi ją znaleźć![/color]"
Choice/81/text,"Przepraszam, ale nic nie mogę zrobić."
Choice/82/text,"Pozwól, że sprawdzę, co mogę ustalić. Bez obietnic."
Text/83/text,Jak wszyscy inni... [color=STEEL_BLUE]Niech wasze sumienie będzie równie ciężkie co moje.[/color]
Text/84/text,"Dziękuję! Nawet mała nadzieja jest lepsza niż żadna. Oto jej zdjęcie. Proszę, znajdź ją."
Text/85/text,Widziałem tę wymianę. [color=DARK_ORANGE]Współczucie odrzuconym prowadzi tylko do kłopotów.[/color] Pozostań skupiony na swoim obowiązku.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
Text/7fb/text,"Ona [tornado radius=2 freq=3]nigdy nie przeszła odprawy celnej[/tornado]. Powiedzieli, że jej dokumenty miały ""nieprawidłowość""."
Text/83b/text,"Zdesperowany ziemniak oddala się, szurając nogami. Zauważasz, jak wpatruje się w wytarte zdjęcie, zanim znika."
Text/84b/text,"Wciska ci w dłonie [color=GOLD]wytartą fotografię[/color]. Nazywa się [color=GOLD]Maris Piper[/color]. Ma życzliwe oczy. Proszę, znajdź ją."
Text/84c/text,Patrzysz na zdjęcie. Młody ziemniak o delikatnych rysach i ciepłym uśmiechu. [color=GOLD]Maris Piper[/color].
Text/84d/text,Dokąd poszła? Kolejka odrzuconych prowadzi do... dokąd właściwie?
