keys,sk
achievement_unlocked_title,ÚSPECH ODOMKNUTÝ!
achievements_menu_button,Úspechy
achievements_progress_format,%d / %d Odomknutých
achievement_hidden_name,???
achievement_hidden_desc,"Tento úspech je skrytý, kým sa neodomkne"
achievement_category_gameplay,Hrateľnosť
achievement_category_resistance,Cesta Odporu
achievement_category_loyalist,Cesta Lojalistu
achievement_category_character,Charakterové Oblúky
achievement_category_discovery,Objavovanie
achievement_rookie_officer_name,Nový Dôstojník
achievement_rookie_officer_desc,Dokončite svoju prvú smenu na hranici
achievement_veteran_officer_name,Colný Veterán
achievement_veteran_officer_desc,Dokončite 10 zmien na hranici
achievement_master_officer_name,Majster Colnej Kontroly
achievement_master_officer_desc,Dokončite 25 zmien na hranici
achievement_sharpshooter_name,Ostreľovač
achievement_sharpshooter_desc,Zastavte 10 hraničných bežcov raketovým systémom
achievement_border_defender_name,Obranca Hraníc
achievement_border_defender_desc,Zastavte 50 hraničných bežcov raketovým systémom
achievement_perfect_shot_name,Dokonalý Výstrel
achievement_perfect_shot_desc,Uskutočnite 5 dokonalých zásahov na hraničných bežcov
achievement_high_scorer_name,Majster Bodov
achievement_high_scorer_desc,Dosiahnite skóre 10 000 bodov
achievement_score_legend_name,Legenda Skóre
achievement_score_legend_desc,Dosiahnite skóre 50 000 bodov
achievement_savior_of_spud_name,Záchranca Zemiakoviec
achievement_savior_of_spud_desc,Dokončite príbeh a zachráňte národ
achievement_born_diplomat_name,Rozený diplomat
achievement_born_diplomat_desc,Dosiahnite diplomatický koniec prostredníctvom mierových rokovaní
achievement_tater_of_justice_name,Zemiak spravodlivosti
achievement_tater_of_justice_desc,Prineste spravodlivosť skorumpovaným úradníkom
achievement_best_served_hot_name,Najlepšie chutí horúce
achievement_best_served_hot_desc,"Pomstite sa tým, ktorí vám ublížili"
achievement_down_with_tatriarchy_name,Dole s Tatriarchiou
achievement_down_with_tatriarchy_desc,Veďte revolúciu a zvrhnite režim
achievement_heart_of_stone_name,Srdce z kameňa
achievement_heart_of_stone_desc,Zostaňte chladným a poslušným byrokratom až do konca
achievement_survivor_name,Preživší
achievement_survivor_desc,"Urobte čokoľvek, čo je potrebné na prežitie režimu"
achievement_late_bloomer_name,Neskorý kvet
achievement_late_bloomer_desc,Nájdite vykúpenie v poslednej chvíli
achievement_tommys_legacy_name,Tommyho odkaz
achievement_tommys_legacy_desc,Odhaľte pravdu o Tommyho osude
achievement_elenas_memory_name,Elenina spomienka
achievement_elenas_memory_desc,Uctite Eleninu obetu a spomeňte si na jej príbeh
achievement_the_note_name,Odkaz
achievement_the_note_desc,Objavte tajný odkaz a jeho skrytú správu
achievement_root_of_evil_name,Koreň zla
achievement_root_of_evil_desc,Odhaľte korupciu v srdci režimu
achievement_chaos_architect_name,Architekt chaosu
achievement_chaos_architect_desc,"Objímte chaos a sledujte, ako svet horí"
