keys,es-419
alert_border_runner,¡CORREDOR DE FRONTERA DETECTADO!\n¡Haz clic para lanzar misil!
alert_rejected_fleeing,¡PAPA RECHAZADA HUYENDO!\n¡Haz clic para lanzar misil!
alert_runner_escaped,¡CORREDOR ESCAPÓ!\n¡Falta añadida!
citation_runner_escaped,¡Un corredor de frontera escapó! No lograste interceptarlo a tiempo.
alert_points_deducted,¡CORREDOR ESCAPÓ!\n¡Falta añadida!\n¡-{penalty} puntos!
alert_perfect_hit,¡IMPACTO PERFECTO! +{perfect} puntos de bonificación por precisión
alert_perfect_stamp,¡SELLO PERFECTO! ¡+{points} puntos!
alert_combo,¡COMBO x{mult}! +{streak} puntos de bonificación por combo
alert_quota_met,"Cuota cumplida, ¡turno completado! \nBonificación: ¡{bonus} puntos!"
alert_strike_removed,¡Falta eliminada!
alert_correct_decision,"Tomaste la decisión correcta, oficial.\n¡+{points} puntos!"
alert_wrong_decision,"Has causado sufrimiento innecesario, oficial...\n¡+1 Falta!"
alert_potato_should_be_approved,\nEsta papa cumple con todos los requisitos y debió ser aprobada.
incorrect_decision,Decisión incorrecta en el procesamiento de documentos.
alert_strike_out,¡Máximo de faltas excedido! Tu turno ha terminado.
ui_score,Puntuación: {score}
ui_quota,Cuota: {current} / {target}
ui_strikes,Faltas: {current} / {max}
ui_click_megaphone,Haz clic en el megáfono para llamar a la siguiente papa
ui_drag_document,Arrastra el documento a la mesa de inspección
ui_stamp_document,Selecciona un sello para aprobar o rechazar
ui_check_violations,Verifica si hay violaciones en el documento
Strike removed!,¡Falta eliminada!
BORDER RUNNER DETECTED!\nClick to launch missile!,¡CORREDOR DE FRONTERA DETECTADO!\n¡Haz clic para lanzar misil!
REJECTED POTATO FLEEING!\nClick to launch missile!,¡PAPA RECHAZADA HUYENDO!\n¡Haz clic para lanzar misil!
RUNNER ESCAPED!\nStrike added!,¡CORREDOR ESCAPÓ!\n¡Falta añadida!
Click megaphone to call the next potato,Haz clic en el megáfono para llamar a la siguiente papa
Drag document to inspection table,Arrastra el documento a la mesa de inspección
Select a stamp to approve or reject,Selecciona un sello para aprobar o rechazar
Check for document violations,Verifica si hay violaciones en el documento
rule_explanation_header,EXPLICACIÓN DE LA REGLA:
