keys,bg
Text/b8/text,"Граничното съоръжение е под пълна блокада, с въоръжена охрана, патрулираща всеки коридор."
Text/b9/text,[pulse freq=3][color=RED]ВНИМАНИЕ! Ситуация за сигурност НИВО ЧЕРВЕНО![/color][/pulse] Класифицирани документи бяха откраднати снощи.
Text/ba/text,"Имаме [tornado radius=4 freq=3][color=CRIMSON]предател сред нас[/color][/tornado]. Всеки, който укрива информация, ще бъде третиран като съучастник."
Text/bb/text,"Всички служители, стройте се за [wave amp=15 freq=2][color=DARK_ORANGE]сканиране за сигурност[/color][/wave]. Тези с повишени стресови реакции ще бъдат отбелязани."
Text/bc/text,"Видя ли какво става отвън? Навсякъде има брошури, показващи, че [color=DARK_VIOLET]Root Reserve[/color] се прави от... [pulse freq=3][color=CRIMSON]от нас[/color][/pulse]."
Choice/bd/text,"""По-тихо. Всички сме наблюдавани."""
Choice/be/text,"""Чувал съм същите слухове. Ужасно е, ако е вярно."""
Choice/bf/text,"""Това е нелепа пропаганда. Не разпространявай такива лъжи."""
Text/c0/text,Прав си. Но ако е вярно... какво ни прави това?
Text/c1/text,Братовчед ми беше отхвърлен миналия месец. Това означава ли...? Аз [color=CHARTREUSE]не мога повече[/color].
Text/c2/text,Изражението им става предпазливо. Разбира се. Лоялен Картоф завинаги.
Text/c3/text,Заявете къде сте били снощи между 22:00 и 04:00 часа.
Choice/c4/text,"""Бях в квартирата си цяла нощ, спях."""
Choice/c5/text,"""Предпочитам първо да говоря с моя правен представител."""
Text/c6/text,Нивата ви на стрес показват [color=YELLOW]измама[/color]. Въпреки това... неубедително. Можете да си вървите засега.
Text/c7/text,"Правен представител? Това е процедура за сигурност, не съдебен процес. Отказът ви е отбелязан."
Text/c7_viktor1/text,Едър охранител се приближава по време на вашата почивка. Лицето му е измъчено.
Text/c7_viktor2/text,"Хей... ти си един от митническите служители, нали? Разпитвам за жена си, Елена."
Text/c7_viktor3/text,Тя премина този контролно-пропускателен пункт преди три седмици. [color=STEEL_BLUE]Неуспешна проверка.[/color] Оттогава не съм чувал нищо от нея.
Choice/c7_viktor4/text,"""Виктор... Намерих нещо. За Елена. Трябва да знаеш истината."""
Choice/c7_viktor5/text,"""Съжалявам, Виктор. Не съм виждал нищо."""
Text/c7_viktor6/text,Показваш му копие от страницата на манифеста. Лицето му пребледнява.
Text/c7_viktor7/text,"[wave amp=25 freq=3]Ръцете му треперят, докато чете.[/wave] [color=GOLD]Елена Петрова[/color]... [color=CRIMSON]Обработена... Партида RR-2851...[/color]"
Text/c7_viktor8/text,Гласът му е едва шепот. [tornado radius=3 freq=2][color=CRIMSON]Те... те я ПРЕВЪРНАХА в...[/color][/tornado]
Text/c7_viktor9/text,Скръбта му се превръща в студен гняв. [pulse freq=2][color=CRIMSON]Айдахо ще плати за това.[/color][/pulse] Заклевам се в паметта ѝ.
Text/c7_viktor10/text,"Той стиска рамото ти. [color=CHARTREUSE]Благодаря ти, че ми каза.[/color] Когато му дойде времето... ще помня това."
Text/c7_viktor11/text,Той кима тъжно. [color=STEEL_BLUE]Така си и мислех.[/color] Никой нищо не знае. Или никой не иска да говори.
Text/c7_viktor12/text,"Ако чуеш нещо... [color=YELLOW]моля те.[/color] Тя е всичко, което имам."
Text/c8/text,"Работи. Манифестите предизвикаха смут, но [color=DARK_ORANGE]Ръсет ни подозира[/color]."
Text/c9/text,Днес по време на смяната внимавай за съюзници от нашата организация. [color=CHARTREUSE]Ще ги познаеш[/color].
Text/ca/text,"Ако успееш да ги прекараш безопасно, използвай [color=CHARTREUSE]специалния знак, който обсъдихме[/color]."
Choice/cb/text,"""Струва си риска. Аз съм вътре."""
Choice/cc/text,"""Става твърде опасно. Може би трябва да се притаим."""
Text/cd/text,"Знаех, че мога да разчитам на теб. Когато това приключи, [color=CHARTREUSE]Спъд ще знае кои са били истинските герои[/color]."
Text/ce/text,Вече сме далеч от тази точка. Притаяването няма да ни спаси. [color=CHARTREUSE]Само събарянето на системата ще го направи[/color].
Text/cf/text,Всяка станция вече разполага с новата [color=DARK_ORANGE]система RealityScan[/color]. Тя засича неоторизирани маркировки и фалшификати.
Text/d0/text,Всички документи трябва да бъдат сканирани преди одобрение. [color=CRIMSON]Предателите ще бъдат изкоренени[/color]. Гарантирам го.
Text/d0_qte1/text,"По-късно през смяната, пътешественик се приближава с документи, носещи [color=CHARTREUSE]финия знак на съпротивата[/color]."
Text/d0_qte2/text,[color=DARK_ORANGE]RealityScan[/color] започва своето сканиране. [wave amp=15 freq=3][color=RED]Ще засече знака![/color][/wave]
Text/d0_qte3/text,Имаш секунди да решиш. Скенерът загрява...
Choice/d0_qte4/text,"""Имитирай повреда на скенера – бързо!"" (Помогни на съпротивата)"
Choice/d0_qte5/text,"""Остави скенера да завърши сканирането си"" (Следвай протокола)"
Text/d0_qte6/text,"[pulse freq=3][color=YELLOW]Трябва да действаш бързо![/color][/pulse] Предизвикай повредата, преди да приключи сканирането!"
Text/d0_qte7/text,Пипаш несръчно кабелите на скенера. Хвърчат искри. Екранът примигва и угасва.
Text/d0_qte8/text,Ръсет се втурва насам. [color=YELLOW]Какво стана тук?[/color]
Choice/d0_qte9/text,"""Токов удар, сър. Тези нови системи са капризни."""
Choice/d0_qte10/text,"""Не знам, сър. Просто угасна."""
Text/d0_qte11/text,Ръсет изсумтява. [color=STEEL_BLUE]Бюрократи ни дават неизпробвано оборудване.[/color] Обработи ги ръчно и ги маркирай за повторна проверка.
Text/d0_qte12/text,Ръсет те поглежда подозрително. [color=YELLOW]Колко удобно.[/color] Ще накарам поддръжката да го погледне. Не допускай това да се случи отново.
Text/d0_qte13/text,"Членът на съпротивата ти кимва леко в знак на благодарност, докато минава."
Text/d0_qte14/text,Скенерът [pulse freq=3][color=RED]ИЗДАВА СИЛЕН ЗВУК[/color][/pulse]. Открити са неоторизирани маркировки!
Text/d0_qte15/text,Ръсет се появява незабавно. [color=CHARTREUSE]Добра работа![/color] Още един предател е хванат.
Text/d0_qte16/text,"Членът на съпротивата е влачен, с ужас в очите. ""[color=CRIMSON]Моля, не! Имам деца![/color]"""
Text/d0_qte17/text,Вашата лоялност е [color=DARK_ORANGE]отбелязана във вашето досие[/color]. Продължавайте така.
