keys,ru
Text/140/text,"Граница напоминает [pulse freq=3][color=CRIMSON]зону боевых действий[/color][/pulse]. Баррикады, бронетехника и элитная гвардия готовы к бою. Сегодня сопротивление планировало нанести удар."
Text/141/text,[wave amp=25 freq=3][color=YELLOW]ЭКСТРЕННОЕ СООБЩЕНИЕ[/color][/wave]: Весь Спуд находится под [color=RED]военным положением[/color]. «Сопротивление» начало атаки на правительственные объекты.
Text/142/text,"Любой, кто помогает этим [color=CRIMSON]экстремистам[/color], подлежит [color=DARK_VIOLET]немедленной переработке[/color]. Министерство подтверждает: «[color=DARK_VIOLET]Корневой Запас[/color]» остаётся в безопасности для всех [color=DARK_ORANGE]лояльных картофелин[/color]."
Text/143/text,[color=YELLOW]В нескольких секторах вспыхнули беспорядки[/color]. Ячейки сопротивления атаковали три объекта «[color=DARK_VIOLET]Корневого Запаса[/color]».
Text/144/text,Их цель: получить доступ к центральной базе данных со всеми производственными записями. Любой признак нелояльности означает переработку.
Text/145/text,"Мы захватили нескольких оперативников сопротивления, включая офицера Сашу."
Text/146/text,"[tornado radius=3 freq=2][color=CRIMSON]Настоящие предатели[/color][/tornado] — это те, кто [color=DARK_VIOLET]скармливает наш народ друг другу[/color]. Вы не сможете остановить правду!"
Text/147/text,"Её утаскивают, она всё ещё кричит: [color=CHARTREUSE]Народ узнает, что в их еде![/color]"
Text/148/text,"[color=CRIMSON]Предатель[/color] будет [pulse freq=3][color=DARK_VIOLET]немедленно переработан[/color][/pulse]. Особая партия «[color=DARK_VIOLET]Корневого Запаса[/color]», сделанная из самих террористов."
Text/149/text,"Все пограничные переходы [color=RED]приостановлены[/color], за исключением основного персонала с [color=GOLD]допуском уровня «Альфа»[/color]."
Text/14a/text,"Этот сканер [color=YELLOW]невозможно обмануть[/color]. Немедленно поднимите тревогу для любого, у кого нет надлежащего допуска."
Text/14b/text,"Картофелина в официальной форме приближается с, казалось бы, идеальными документами уровня «Альфа»."
Text/14c/text,"Из папки выпадает маленькая синяя карточка. «[wave amp=15 freq=3][color=CHARTREUSE]Корни уходят глубоко.[/color][/wave]», — бормочут они, поднимая карточку."
Choice/14d/text,"Пропустить их, игнорируя предупреждения сканера (Помочь сопротивлению)"
Choice/14e/text,Немедленно поднять тревогу (Предать сопротивление)
Text/14f/text,В их глазах читается облегчение. «[color=CHARTREUSE]За Сашу. За Спуд.[/color]» Они исчезают в направлении центральной базы данных.
Text/150/text,Ужас отражается на их лице. «[color=CRIMSON]Ты предатель! Мы тебе доверяли![/color]» Их быстро окружают охранники.
Text/151/text,Отличная работа. Ваша лояльность будет вознаграждена.
Text/152/text,"Внезапно объект [color=YELLOW]сотрясается от взрывов[/color]. Атака сопротивления началась, независимо от вашего выбора."
Text/153/text,"Остаться ли мне на своём посту и надеяться, что всё уляжется, или [color=CHARTREUSE]занять позицию[/color] и рискнуть всем, чтобы раскрыть правду?"
Choice/154/text,Я не могу оставить свой долг. Я буду молчать и надеяться на лучшее.
Choice/155/text,Я слишком долго был соучастником. Пришло время бороться за правое дело.
Text/156/text,[pulse freq=3][color=YELLOW]Двигайтесь быстро![/color][/pulse] Охрана в замешательстве — это ваш единственный шанс сбежать!
Choice/14d/disabled_text,
Choice/14e/disabled_text,
Choice/154/disabled_text,
Choice/155/disabled_text,
