keys,uk
Text/78/text,"Ще один день на пропускному пункті. Черга з картоплин довша, ніж будь-коли, і всі на нервах."
Text/79/text,"Нові накази згори. Ми [wave amp=15 freq=3][color=DARK_ORANGE]подвоюємо відмови[/color][/wave]. Будь-яка картопля, визнана небезпечною, негайно затримується."
Text/7a/text,У мене особливе завдання. У нас є інформація про [pulse freq=2][color=CRIMSON]порушників спокою[/color][/pulse]. Будьте пильні під час перевірок.
Choice/7b/text,"""Так, сер, я вас не підведу"""
Choice/7c/text,"""Про яких порушників спокою ми говоримо?"""
Text/7d/text,"Добре. Я знав, що можу на вас розраховувати. З таким ставленням ви далеко підете."
Text/7e/text,"Ті, що [color=CRIMSON]загрожують нашому способу життя[/color]. Не ставте забагато запитань, якщо знаєте, що для вас краще."
Text/7f0/text,"Скажіть... ви так схожі на мого брата."
Text/7f/text,"[color=STEEL_BLUE]Будь ласка, благаю вас![/color] Моя дружина – її звуть [color=GOLD]Маріс[/color] – мала бути одразу за мною."
Text/7fb/text,"Вона [tornado radius=2 freq=3]так і не пройшла митницю[/tornado]. Сказали, що в її документах була ""невідповідність""."
Text/80/text,"Ніхто не скаже мені, що з нею сталося. Будь ласка, [color=CHARTREUSE]допоможіть мені її знайти![/color]"
Choice/81/text,"""Вибачте, але я нічого не можу зробити."""
Choice/82/text,"""Дозвольте мені спробувати щось з'ясувати. Без обіцянок."""
Text/83/text,"Як і всі інші... [color=STEEL_BLUE]Нехай ваша совість буде такою ж важкою, як і моя.[/color]"
Text/83b/text,"Зневірена картопля відходить. Ви помічаєте, як вона дивиться на пошарпану фотографію, перш ніж зникнути."
Text/84/text,"Дякую! Навіть маленька надія краща, ніж нічого."
Text/84b/text,"Вона втискає [color=GOLD]пошарпану фотографію[/color] вам у руки. Її звуть [color=GOLD]Маріс Пайпер[/color]. У неї добрі очі. Будь ласка, знайдіть її."
Text/84c/text,Ви дивитеся на фото. Молода картопля з ніжними рисами обличчя та теплою посмішкою. [color=GOLD]Маріс Пайпер[/color].
Text/84d/text,Куди вона поділася? Черга відмов веде до... куди саме?
Text/85/text,Я бачив цю розмову. [color=DARK_ORANGE]Співчуття відмовникам лише призводить до проблем.[/color] Залишайтеся зосередженими на своєму обов'язку.
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
