keys,fr
Text/b8/text,"L'installation frontalière est en confinement total, avec des agents de sécurité armés patrouillant dans chaque couloir."
Text/b9/text,[pulse freq=3][color=RED]ATTENTION ! Situation de sécurité NIVEAU ROUGE ![/color][/pulse] Des documents classifiés ont été volés la nuit dernière.
Text/ba/text,Nous avons un [tornado radius=4 freq=3][color=CRIMSON]traître parmi nous[/color][/tornado]. Quiconque dissimule des informations sera traité comme complice.
Text/bb/text,"Tous les officiers, alignez-vous pour [wave amp=15 freq=2][color=DARK_ORANGE]le scan de sécurité[/color][/wave]. Ceux présentant des réponses de stress élevées seront signalés."
Text/bc/text,Avez-vous vu ce qui se passe dehors ? Des pamphlets partout montrant que [color=DARK_VIOLET]Root Reserve[/color] est fait à partir de... [pulse freq=3][color=CRIMSON]de nous[/color][/pulse].
Choice/bd/text,Baisse la voix. Nous sommes tous surveillés.
Choice/be/text,J'ai entendu les mêmes rumeurs. C'est horrifiant si c'est vrai.
Choice/bf/text,C'est une propagande ridicule. Ne répands pas de tels mensonges.
Text/c0/text,Tu as raison. Mais si c'est vrai... qu'est-ce que cela fait de nous ?
Text/c1/text,Mon cousin a été rejeté le mois dernier. Est-ce que cela signifie...? Je [color=CHARTREUSE]ne peux plus continuer ainsi[/color].
Text/c2/text,Leur expression devient méfiante. Bien sûr. Fidèle à Spud pour toujours.
Text/c3/text,Indiquez où vous étiez hier soir entre 22h00 et 04h00.
Choice/c4/text,"J'étais dans mes quartiers toute la nuit, en train de dormir."
Choice/c5/text,Je préférerais d'abord parler à mon représentant légal.
Text/c6/text,Vos niveaux de stress indiquent une [color=YELLOW]tromperie[/color]. Cependant... non concluant. Vous pouvez partir pour l'instant.
Text/c7/text,"Représentant légal ? C'est une procédure de sécurité, pas un procès. Votre refus a été noté."
Text/c8/text,"Ça fonctionne. Les manifestes ont provoqué un tollé, mais [color=DARK_ORANGE]Russet nous soupçonne[/color]."
Text/c9/text,Surveillez les alliés de notre organisation pendant le service d'aujourd'hui. [color=CHARTREUSE]Vous les reconnaîtrez[/color].
Text/ca/text,"Si vous pouvez les faire passer en toute sécurité, utilisez [color=CHARTREUSE]la marque spéciale dont nous avons discuté[/color]."
Choice/cb/text,Ça vaut le risque. Je suis partant.
Choice/cc/text,Cela devient trop dangereux. Peut-être devrions-nous faire profil bas.
