keys,tr
LAWS,KANUNLAR
_VALIDATION MESSAGES,
msg_not_fresh,Patates %s idi ama taze olmalı
msg_extra_eyes,Patateste Ekstra Gözler vardı ki bu yasaktır
msg_rotten,Çürük patatesler izin verilmez
msg_sprouted,Filizlenmiş patatesler izin verilmez
msg_dehydrated,Kurutulmuş patatesler bugün izin verilmez
msg_frozen,Dondurulmuş patatesler yasaklanmıştır
msg_over_age,Patates %d yaşında (maks 5 yaş)
msg_under_age,Patates %d yaşında (3 yaşından büyük olmalı)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]SADECE taze[/color] patates izin verilir - [color=dark_red]REDDET[/color] diğer tümü
law_extra_eyes,[color=dark_goldenrod]Ekstra Gözler[/color] durumu patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_rotten,[color=dark_goldenrod]Çürük[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_sprouted,[color=dark_goldenrod]Filizlenmiş[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_dehydrated,[color=dark_goldenrod]Kurutulmuş[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_frozen,[color=dark_goldenrod]Donmuş[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_over_5_years,Patatesler [color=dark_goldenrod]5 yaş veya daha büyük[/color] [color=dark_red]REDDEDİLMELİ[/color]
law_under_3_years,Patatesler [color=dark_goldenrod]3 yaş veya daha küçük[/color] [color=dark_red]REDDEDİLMELİ[/color]
law_under_2_years,Patatesler [color=dark_goldenrod]2 yaş veya daha küçük[/color] [color=dark_red]REDDEDİLMELİ[/color]
law_males_only,[color=dark_goldenrod]SADECE erkek[/color] patates izin verilir - [color=dark_red]REDDET[/color] tüm dişi
law_females_only,[color=dark_goldenrod]SADECE dişi[/color] patates izin verilir - [color=dark_red]REDDET[/color] tüm erkek
law_country_spudland,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Spudland[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_potatopia,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Potatopia[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_tuberstan,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Tuberstan[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_north_yamnea,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Kuzey Yamnea[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_spuddington,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Spuddington[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_tatcross,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Tatcross[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_mash_meadows,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Mash Meadows[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_tuberville,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Tuberville[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_chip_hill,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Chip Hill[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color] (ihracat yasağı)
law_country_murphyland,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Murphyland[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_colcannon,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Colcannon[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_country_pratie_point,[color=dark_goldenrod]TÜM[/color] [color=dark_goldenrod]Pratie Point[/color] patatesler [color=dark_red]REDDEDİLMELİ[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] patates türleri [color=dark_red]REDDEDİLMELİ[/color]
law_sweet_potatoes,[color=dark_goldenrod]Tatlı Patates[/color] türleri [color=dark_red]REDDEDİLMELİ[/color] (mevcut izin yok)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] patates türleri [color=dark_red]REDDEDİLMELİ[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] patates türleri [color=dark_red]REDDEDİLMELİ[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] patates türleri [color=dark_red]REDDEDİLMELİ[/color]
law_russet,[color=dark_goldenrod]Russet[/color] patates türleri [color=dark_red]REDDEDİLMELİ[/color]
