keys,sk
Text/78/text,"Ďalší deň na kontrolnom bode. Rad zemiakov sa tiahne dlhšie než kedykoľvek predtým, každý je napätý."
Text/79/text,Nové príkazy zhora. [wave amp=15 freq=3][color=DARK_ORANGE]Zdvojnásobujeme zamietnutia[/color][/wave]. Každý zemiak považovaný za nebezpečný je okamžite zadržaný.
Text/7a/text,Mám špeciálnu úlohu. Máme spravodajské informácie o [pulse freq=2][color=CRIMSON]výtržníkoch[/color][/pulse]. Buďte ostražití počas kontrol.
Choice/7b/text,"Áno, pán, nesklame vás"
Choice/7c/text,O akých výtržníkoch hovoríme?
Text/7d/text,"Dobre. Vedel som, že sa na vás môžem spoľahnúť. S týmto prístupom pôjdete ďaleko."
Text/7e/text,"Tí, čo [color=CRIMSON]ohrozujú náš spôsob života[/color]. Nepýtajte sa príliš veľa otázok, ak viete, čo je pre vás dobré."
Text/7f/text,"[color=STEEL_BLUE]Prosím vás![/color] Moja manželka mala byť hneď za mnou, ale [tornado radius=2 freq=3]nikdy neprešla colnou kontrolou[/tornado]."
Text/80/text,"Nikto mi nechce povedať, čo sa jej stalo. Prosím, [color=CHARTREUSE]pomôžte mi nájsť ju![/color]"
Choice/81/text,"Je mi ľúto, ale nemôžem nič urobiť."
Choice/82/text,Nechám sa po tom pátrat. Bez záruk.
Text/83/text,Ako všetci ostatní... [color=STEEL_BLUE]Nech vás váha svedomia zaťaží rovnako ako mňa.[/color]
Text/84/text,"Ďakujem! Aj malá nádej je lepšia ako žiadna. Tu je jej fotografia. Prosím, nájdite ju."
Text/85/text,Videl som tú výmenu. [color=DARK_ORANGE]Spoluúčasť s vyhostenými vedie len k problémom.[/color] Zostaňte sústredení na svoju povinnosť.
Choice/7b/disabled_text,
Choice/82/disabled_text,
Choice/81/disabled_text,
Choice/7c/disabled_text,
