keys,bg
Text/215/text,"Мърфи те настига в коридора, с червени очи. Имаш ли минутка?"
Text/216/text,Мърфи те дърпа в празна складова стая и затваря вратата.
Text/217/text,"Онази шега, която направих в столовата... за братовчед ми, че е от партидата на [color=DARK_VIOLET]Кореновия резерв[/color]..."
Text/218/text,"Гласът на Мърфи пресипва. Мисля, че вече не беше шега."
Text/219/text,"Каза, че не е смешно. Беше прав. [color=STEEL_BLUE]Нищо в това не е смешно.[/color]"
Text/21a/text,"Видях те да си тръгваш. Умно. Иска ми се да можех да спра да ям тези неща, но те [color=YELLOW]наблюдават[/color]. Винаги наблюдават."
Text/21b/text,"Намерих нещо сред вещите на братовчед ми. Формулярът му за отказ. Стандартни неща, но..."
Text/21c/text,"Мърфи изважда смачкан формуляр. Погледни кода за обработка. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,Проверих го в архивите. RR означава [pulse freq=2][color=DARK_VIOLET]Коренов резерв[/color][/pulse]. UTIL означава... [color=CRIMSON]утилизация[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]Ръцете на Мърфи започват да треперят.[/wave] Братовчед ми... Томи... беше само на двадесет и три.
Text/21d_breakdown2/text,Дойде тук за [color=CHARTREUSE]по-добър живот[/color]. Провали се на една инспекция. Една. [color=STEEL_BLUE]Просто лош късмет.[/color]
Text/21d_breakdown3/text,"Мърфи се свлича по стената, с лице в ръцете си. А аз... аз [tornado radius=3 freq=2][color=CRIMSON]ЯДЯХ[/color][/tornado] тези неща. Всеки ден."
Text/21d_breakdown4/text,"Мърфи те поглежда, със сълзи по лицето. [pulse freq=2][color=CRIMSON]Ами ако съм изял НЕГО?[/color][/pulse]"
Choice/21e/text,Мърфи... Толкова съжалявам. Аз съм с теб. Ще намерим истината заедно.
Choice/21f/text,"Мърфи, това е опасно. Трябва да стоим настрана."
Choice/220/text,Може би е съвпадение. Да не прибързваме с изводите.
Text/221_comfort1/text,"Клякаш до Мърфи, слагайки ръка на рамото му."
Text/221/text,"Мърфи сграбчва ръката ти като спасителен пояс. [color=CHARTREUSE]Благодаря ти.[/color] Мислех, че полудявам."
Text/221_tommy/text,"[color=STEEL_BLUE]Гласът му леко се успокоява.[/color] За Томи. Правим това за Томи. И за всички останали, които са взели."
Text/222/text,"Има и други, които подозират. Саша събира хора. Мисля, че ти вярва."
Text/223/text,"Мърфи избърсва очите си, опитвайки се да се събере. Да. Да, вероятно си прав. Забрави, че казах нещо."
Text/224/text,Но ако промениш решението си... Аз ще съм тук. [color=STEEL_BLUE]Сам с въпросите си. И кошмарите си.[/color]
Text/225/text,Съвпадение. Мърфи се смее горчиво през сълзи. Разбира се. А Томи просто [color=CRIMSON]изчезна[/color] във въздуха.
Text/226/text,Продължавай да си го повтаряш. Виж колко дълго ще ти помага да спиш. [color=STEEL_BLUE]На мен не ми помага.[/color]
Text/227/text,"Саша се появява на твоя пункт, когато последната смяна приключва. Изглеждаш, сякаш си видял призрак."
Text/228/text,Да позная – Мърфи ти е разказал за братовчед си?
Text/229/text,"Саша кима одобрително. Добре. Имаме нужда от хора, които задават въпроси."
Text/22a/text,Саша изучава внимателно лицето ти. Страх те е. Това е умно. Но страхът няма да спаси никого.
Text/22b/text,"Наблюдавам те от първия ти ден. Начина, по който [color=YELLOW]се поколеба[/color], когато Ръсет говореше за „обработка“."
Text/22c/text,Попита какво се случва с отхвърлените картофи. Това изискваше смелост. [color=CHARTREUSE]Повечето просто отдават чест и подпечатват.[/color]
Text/22d/text,"Саша се навежда по-близо. Има закономерност. Всеки картоф, който отхвърлим? Изчезва до 48 часа. Без записи за депортация. Без прехвърляния."
Text/22e/text,Но производството на [color=DARK_VIOLET]Коренов Резерв[/color]? [tornado radius=3 freq=2][color=CRIMSON]То се увеличава.[/color][/tornado] Всеки. Един. Път.
Choice/22f/text,Вярвам ти. Как мога да помогна?
Choice/230/text,"Трябва да видя доказателство, преди да рискувам всичко."
Text/231/text,"Очите на Саша светват. Знаех, че съм избрала правилно. Утре вечер, след смяна. Ще ти покажа какво съм открила."
Text/232/text,Дотогава
Text/233/text,Добре. Доказателството идва. Просто... дръж си очите отворени по време на утрешната смяна.
Text/234/text,"Наблюдавай къде отиват [color=CRIMSON]отхвърлените картофи[/color]. Следи камионите, ако можеш."
Text/235/text,"Изваждаш снимката, която отчаяният картоф ти даде. Жена ѝ. [color=STEEL_BLUE]Къде е тя сега?[/color]"
Text/236/text,"Ако това, което Саша и Мърфи казват, е вярно... тя вече е била..."
Text/237/text,Не можеш да довършиш мисълта. Но ти [color=CHARTREUSE]няма да забравиш лицето ѝ[/color].
Text/238/text,"Утре всичко се променя. Или ще намериш отговори, или ще заровиш въпросите завинаги."
Text/239/text,Едно нещо е сигурно: няма [color=YELLOW]връщане към блаженото невежество[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
