keys,uk
Text/240/text,"Коли вечірня зміна добігає кінця, більшість офіцерів пішли. Залишилися лише ви та кілька охоронців."
Text/241/text,До вашої станції підходить кремезний охоронець. Мене звуть Віктор. Я на нічній варті.
Text/242/text,"Його очі втомлені, замучені. Ти ж новенький, так? Той, за ким Руссет постійно спостерігає?"
Choice/243/text,Просто намагаюся робити свою роботу. Чому Руссет спостерігає за мною?
Choice/244/text,"Чи є щось, що я повинен знати?"
Text/245/text,"Він важко знизує плечима. Руссет спостерігає за кожним, хто ставить запитання. Моя [color=STEEL_BLUE]дружина одного разу ставила запитання[/color]."
Text/246/text,"Її вже немає, щоб ставити запитання."
Text/247/text,"Він озирається, потім знижує голос. Просто... будь обережний, кому довіряєш."
Text/248/text,"І кого ти [color=CRIMSON]засуджуєш[/color]. Деякі з нас пам'ятають кожне обличчя, яке ми відправили на обробку."
Text/249/text,"Наближається нервова картопля. Документи здаються в порядку, але ви помічаєте [color=CHARTREUSE]тонкий значок листка[/color] на їхньому комірі."
Text/24a/text,"Вони просувають свої документи. Всередині захована крихітна записка: ""[color=CHARTREUSE]Мене надіслала Саша. Пакет для мережі. Будь ласка.[/color]"""
Text/24b/text,"Новий [color=DARK_ORANGE]RealityScan[/color] блимає, готовий до роботи на вашій станції. Один скан — і він виявить підроблені елементи в їхніх документах."
Choice/24c/text,"Прикиньтеся, що сканер вийшов з ладу, і пропустіть їх"
Choice/24d/text,Використайте сканер за призначенням — ви не можете ризикувати викриттям
Choice/24e/text,"Подайте сигнал Віктору, щоб він відвернувся, потім пропустіть їх"
Text/24f/text,"Ви торкаєтеся сканера, хмуритеся, торкаєтеся його знову. ""Ця клята штука знову барахлить. Проходьте."""
Text/250/text,"Полегшення заливає їхнє обличчя. Вони беззвучно промовляють ""[color=CHARTREUSE]Дякую[/color]"" і поспішають повз."
Text/251/text,"Ви ловите його погляд і киваєте в бік оперативника. Він дивиться на них, потім на вас."
Text/252/text,"Він навмисно повертається спиною, вивчаючи стіну. ""[color=STEEL_BLUE]Сканер весь день барахлить.[/color]"""
Text/253/text,"Оперативник прослизає. Віктор нічого не каже, але ви тепер поділилися таємницею."
Text/254/text,"Ви запускаєте сканування. Машина [color=RED]гучно реве[/color]. ""Виявлено підроблені документи."""
Text/255/text,"Жах проступає на їхньому обличчі. ""[color=CRIMSON]Ти не розумієш, що ти накоїв...[/color]"""
Text/256/text,"Він та інші охоронці наближаються. Оперативника тягнуть геть, все ще дивлячись на вас."
Text/257/text,Саша ловить вас у тінях. Той оперативник ніс [color=CHARTREUSE]копії маніфестів[/color] нашим контактам зовні.
Text/258/text,Завдяки вам правда пошириться за межі кордонів Спуда. [color=CHARTREUSE]Ви дійсно змінили ситуацію.[/color]
Text/259/text,Очі Саші розширюються. Віктор допоміг? У мене було передчуття щодо нього. Його дружина була...
Text/25a/text,"Вона замовкає на півслові. У нас більше союзників, ніж я думала."
Text/25b/text,"Саша знаходить тебе, з холодним виразом обличчя. У того оперативника була родина. Троє паростків вдома."
Text/25c/text,Я розумію страх. Але [color=CRIMSON]страх має наслідки[/color]. Їх оброблять до ранку.
Text/25d/text,"Сподіваюся, твій чистий послужний список того вартий."
Text/25e/text,"Мерфі прослизає до твоїх покоїв. Чув, сьогодні ввечері на твоїй станції було трохи хвилювання."
Text/25f/text,[color=CHARTREUSE]Добре. Тепер ми в цьому разом.[/color] Назад дороги немає.
Text/260/text,"Обличчя Мерфі похмурнішає. Я... я думав, ти з нами. Що сталося?"
Text/261/text,Завтрашня зміна буде іншою. Ставки ніколи не були такими високими.
Text/262/text,"Але вперше ти відчуваєш, що ти на [color=CHARTREUSE]правильній стороні[/color]. Чого б це не коштувало."
Text/263/text,"Обличчя оперативника переслідує тебе. Їхня родина ніколи не дізнається, чому вони не повернулися додому."
Text/264/text,[color=STEEL_BLUE]Через тебе.[/color]
Choice/243/disabled_text,
Choice/244/disabled_text,
Choice/24c/disabled_text,
Choice/24d/disabled_text,
Choice/24e/disabled_text,
