keys,ja
sex_male,男性
sex_female,女性
condition_fresh,新鮮
condition_extra_eyes,「目」が多い
condition_rotten,腐敗
condition_sprouted,発芽
condition_dehydrated,脱水
condition_frozen,冷凍
race_russet,ラセット
race_yukon_gold,ユーコンゴールド
race_sweet_potato,さつまいも
race_purple_majesty,パープルマジェスティ
country_spudland,スプラッドランド
country_potatopia,ポテトピア
country_tuberstan,チューバースタン
country_north_yamnea,ノースヤムニア
country_spuddington,スパディングトン
country_tatcross,タットクロス
country_mash_meadows,マッシュメドウズ
country_tuberville,チューバービル
country_chip_hill,チップヒル
country_murphyland,マーフィーランド
country_colcannon,コルカノン
country_pratie_point,プラティポイント
