keys,ko
Text/11/text,"감자 국경은 [pulse freq=3][color=CRIMSON]혼돈[/color][/pulse]에 빠졌다. 유출된 문서들 이후, 패닉에 빠진 감자들이 검문소를 덮치며 필사적으로 탈출하려 한다."
Text/12/text,당신은 사샤와 함께 빠져나왔다. [wave amp=20 freq=3][color=CHARTREUSE]계속 나아가야 해![/color][/wave] 이제 사람들은 진실을 안다.
Text/13/text,"그들은 더 이상 진실을 침묵시킬 수 없다. 만약 우리가 [color=DARK_VIOLET]뿌리 비축고[/color] 시설에 잠입하여 증거를 방송할 수 있다면, 그것은 [tornado radius=3 freq=2][color=CHARTREUSE]혁명의 불씨[/color][/tornado]가 될 것이다."
Text/14/text,그곳은 요새다. 그리고 이제 우리 가운데 [color=YELLOW]전직 세관원[/color]이 있다. 그들의 눈이 의심스럽게 가늘어진다.
Choice/15/text,당신의 의심을 이해합니다. 하지만 저는 이 대의에 헌신합니다.
Choice/16/text,저는 이미 모든 것을 희생했습니다. 이제 와서 물러서지 않을 겁니다.
Text/17/text,듣기 좋은 말이군요. 하지만 그런 말은 전에도 들었습니다.
Text/18/text,"그들이 우리가 문서를 얻는 것을 도왔어. 그건 행동이지, 말이 아니야."
Text/19/text,"이제 와서 충성스러운 감자로 돌아갈 순 없어. 저항군에 온 걸 환영한다, 동지."
Text/1a_rescue1/text,정찰병이 달려온다. 그녀를 찾았어! [color=CHARTREUSE]사샤가 구금 구역에 있어![/color]
Text/1a_rescue2/text,그들이... 한 시간도 안 남았어... [tornado radius=3 freq=2][color=CRIMSON]그녀를 처리[/color][/tornado]할 준비를 하고 있어!
Text/1a_rescue3/text,그녀를 구해야 해. [pulse freq=2][color=CHARTREUSE]이 모든 것을 그녀가 시작했어.[/color][/pulse] 그녀 없이 떠나지 않을 거야.
Text/1a_rescue4/text,[wave amp=25 freq=3][color=YELLOW]시설을 뚫고 달려![/color][/wave] 너무 늦기 전에 사샤에게 닿아!
Text/1a_rescue_fail1/text,당신은 비틀거린다. 앞길이 경비병들에게 막혔다!
Text/1a_rescue_fail2/text,빅토르가 옆문을 부수고 들어온다. [color=CHARTREUSE]가! 내가 막을게![/color]
Text/1a_rescue_fail3/text,엘레나를 위해. 그들 모두를 위해. [color=STEEL_BLUE]또 다른 이를 죽게 두지 않을 거야![/color]
Text/1a_rescue_fail4/text,머피가 화재 경보기를 잡아당긴다. [color=CHARTREUSE]토미를 위해![/color] 스프링클러가 경비병들의 눈을 가린다!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]내가 시선을 끌게. 그녀를 거기서 빼내![/color]
Text/1a_rescue_fail6/text,[color=YELLOW]처리 컨베이어가 멈춰서며[/color] 불꽃을 흩뿌리고 경비병들의 시선을 분산시킨다!
Text/1a_rescue_fail7/text,운명 — 혹은 처리된 자들의 유령이 — 당신에게 두 번째 기회를 준다.
Text/1a_rescue5/text,사샤가 감방에서 고개를 든다. 멍들었지만 꺾이지 않았다. 그녀의 눈이 커진다. [color=CHARTREUSE]왔구나.[/color]
Text/1a_rescue6/text,물론 왔지. [color=CHARTREUSE]이 일을 함께 끝내는 거야.[/color]
Choice/1a_rescue7/text,다시는 널 못 볼까 봐 무서웠어.
Choice/1a_rescue8/text,널 걱정하느라 죽는 줄 알았어. 다시는 그러지 마.
Choice/1a_rescue9/text,할 일이 있어. 아이다호가 기다리고 있어.
Text/1a_rescue10/text,[color=CHARTREUSE]사샤가 당신을 잠시 껴안습니다.[/color] 올 줄 알았어. 한 번도 의심하지 않았어.
Text/1a_rescue11/text,이제 그들이 데려간 모든 이들의 대가를 치르게 하자. [color=CHARTREUSE]함께.[/color]
Text/1a_rescue12/text,사샤는 고통 속에서도 희미하게 미소 짓습니다. [color=STEEL_BLUE]노력해볼게.[/color] 하지만 어떤 것들은 위험을 감수할 가치가 있어.
Text/1a_rescue13/text,네가 여기 있다는 게 그걸 증명해. 이제 끝내자.
Text/1a_rescue14/text,사샤는 고개를 끄덕이며 결의를 다집니다. [color=CHARTREUSE]네 말이 맞아.[/color] 감정은 나중에 생각해도 돼.
Text/1a_rescue15/text,아이다호는 자기가 이겼다고 생각하겠지. 그가 얼마나 틀렸는지 보여주자.
Text/1a/text,"긴장감 넘치는 잠입 끝에, 당신의 팀은 [color=DARK_VIOLET]뿌리 보존 구역[/color]의 심장부에 서 있습니다. [pulse freq=3][color=CRIMSON]끔찍한 억압의 기계[/color][/pulse]가 적나라하게 드러난 곳에."
Text/1b/text,[wave amp=25 freq=3][color=RED]경보가 울려 퍼지고[/color][/wave] 경비병들은 당신의 침입에 대응하기 위해 허둥지둥합니다. 당신은 복도를 질주하며 보안 시스템을 피합니다.
