keys,sv
Text/131/text,"Du hukar dig medan striden rasar. Jag är ledsen, Sasha. Jag är [color=STEEL_BLUE]inte lika modig som du[/color]."
Text/132/text,[color=CRIMSON]Terroristattacken[/color] har slagits tillbaka! Ledarna blir [color=DARK_VIOLET]processade[/color] medan vi talar.
Text/133/text,"Hövding Yukon släpar in motståndskämpar i kedjor, Sasha bland dem. ""Dessa [color=CRIMSON]förrädare[/color] kommer att möta [color=DARK_VIOLET]slutlig processning[/color]."""
Text/134/text,"Sasha fångar din blick. Trots hennes blåmärken innehåller hennes blick [wave amp=15 freq=2][color=CHARTREUSE]ingen dom, bara sorg[/color][/wave]."
Text/135/text,"Du har överlevt genom att hålla huvudet lågt, men [pulse freq=3][color=GOLD]till vilket pris?[/color][/pulse] När produktionen av [color=DARK_VIOLET]Rotreserv[/color] strömmar från anläggningen vänder sig din mage."
Text/136/text,Kanske finns det fortfarande en chans från insidan. Eller kanske du bara lugnar ditt samvete.
Text/137/text,Du [tornado radius=3 freq=2][color=CHARTREUSE]överger din post[/color][/tornado] och rusar mot striden. Tiden för försiktighet är över.
Text/138/text,[pulse freq=3][color=GOLD]Bevisa att du är med oss![/color][/pulse] Hur känner du Sasha?
Text/139/text,"[color=CHARTREUSE]Rötterna växer djupt![/color] Jag är från kontrollstationen, Sasha rekryterade mig!"
Text/13a/text,De tar henne till processanläggningen just nu. Vi måste skynda oss!
Text/13b/text,"Dörrarna sprängs öppna och avslöjar den [wave amp=25 freq=3][color=CRIMSON]hemska sanningen[/color][/wave] - malkvarnar, transportband som för potatis till deras undergång."
Text/13c/text,I slutet av ett band - Sasha och andra [color=CRIMSON]hjälplöst bundna[/color]. Förman Russet står vid kontrollerna.
Text/13d/text,[color=RED]DU![/color] Jag borde ha vetat att du var en av dem! Backa eller så startar jag processorn!
Text/13e/text,"När motståndskämparna övermannar Russet, omdirigerar Sasha anläggningens kameror. [color=YELLOW]Spuds folk! Detta är Rotreserven! De har matat oss med varandra![/color]"
Text/13f/text,Du kom tillbaka för mig. [color=CHARTREUSE]Vi gjorde det. Sanningen är ute nu.[/color] Vi har en framtid att bygga!
Text/140/text,"[color=STEEL_BLUE]Motståndsledaren kliver fram, med vapnet riktat mot Russet.[/color] Inte ett steg till, Russet. Händerna där jag kan se dem."
Text/141/text,"[color=CRIMSON]Russets ögon flackar mellan dig och motståndsledaren, svetten pärlar sig i pannan.[/color] Tror ni att ni har vunnit? Denna anläggning är Spuds grundval!"
Text/142/text,Lidandets grundval. [pulse freq=3][color=CHARTREUSE]Det tar slut idag.[/color][/pulse]
Text/143/text,[color=STEEL_BLUE]Sasha kämpar mot sina bindningar på transportbandet
Choice/144/text,"[tornado radius=3 freq=2][color=CRIMSON]""Russet"
Choice/145/text,"[wave amp=15 freq=2][color=STEEL_BLUE]""Det här... det är det här de har gjort? Det är värre än jag föreställt mig...""[/color][/wave]"
Choice/146/text,"[color=CHARTREUSE]""Sasha! Tack rötterna att du lever! Håll ut"
Text/147/text,"[color=CRIMSON]Du stormar mot Russet, knutna nävar, knappt hållen tillbaka av motståndskämparna.[/color] Varje potatis som passerade min kontrollpunkt... hur många har du..."
Text/148/text,Lugn! Vi behöver honom levande för att vittna. [color=STEEL_BLUE]Ledaren håller sitt vapen riktat mot Russet.[/color] Spara din ilska till domstolarna.
Text/149/text,"[color=STEEL_BLUE]Du vacklar bakåt, handen för munnen, och tar in maskineriets fulla fasa.[/color] Jag stämplade deras papper... Jag skickade dem hit..."
Text/14a/text,[color=CHARTREUSE]Du visste inte. Ingen av oss visste.[/color] Det är därför vi är här nu. Fokusera!
Text/14b/text,[color=CHARTREUSE]Du rusar till transportbandet
Text/14c/text,[color=CHARTREUSE]Sashas ögon lyser av tårar och hopp medan dina händer arbetar med knutarna.[/color] Jag visste att du skulle komma. Jag tvivlade aldrig på dig.
Text/14d/text,[color=STEEL_BLUE]Ledaren tvingar Russet på knä under vapenhot.[/color] Bind fast honom. Se till att han ser vad som händer härnäst.
Text/14e/text,[color=CHARTREUSE]Sasha tar din hand och flätar samman sina fingrar med dina.[/color] Du kom tillbaka för mig. Vad som än händer härnäst... möter vi det tillsammans.
Text/14f/text,[color=STEEL_BLUE]Sasha betraktar dig noga och ser ilskan som fortfarande brinner i dina ögon.[/color] Kanalisera den elden. Vi kommer att behöva den för det som kommer härnäst.
Text/150/text,[color=STEEL_BLUE]Sasha lägger en mild hand på din axel.[/color] Skulden är inte din att bära. Du är här nu. Det är det som spelar roll.
