keys,fr
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - NOTES DE MISE À JOUR
patch_1_2_0_personal_note_header,UNE NOTE PERSONNELLE DU DÉVELOPPEUR
patch_1_2_0_personal_note,"Cette mise à jour est dédiée à mon petit bout, qui a passé ses premiers mois de vie en USIN - de 1 livre à la naissance à maintenant 20 livres de pure joie. Merci à tous ceux qui ont rejoint cette aventure - plus de 2 000 joueurs ont maintenant découvert Spud Customs !"
patch_1_2_0_visual_header,AMÉLIORATIONS VISUELLES
patch_1_2_0_visual_1,Intégration d'éléments visuels animés : Intégration de nouveaux GIFs animés de StagNation dans les scènes d'ouverture.
patch_1_2_0_visual_2,Refonte artistique : Les cinq premières scènes vues par les joueurs ont été repeintes pour une qualité visuelle améliorée.
patch_1_2_0_visual_3,Arrière-plans dynamiques : Les visuels d'arrière-plan changent désormais à mesure que la difficulté augmente.
patch_1_2_0_story_header,HISTOIRE ET NARRATION
patch_1_2_0_story_1,Persistance des choix : Les choix narratifs sont désormais correctement conservés à travers tous les niveaux.
patch_1_2_0_story_2,"Progression visuelle : Ajout d'indicateurs visuels de progression de l'histoire dans les scènes de jeu principales, basés sur le numéro de service actuel."
patch_1_2_0_story_3,Corrections de dialogues ramifiés : Correction de problèmes avec les dialogues ramifiés dans les scènes narratives finales.
patch_1_2_0_bugfix_header,CORRECTIONS DE BUGS
patch_1_2_0_bugfix_1,Système de succès : Correction du suivi des succès - tous les succès se débloquent désormais correctement.
patch_1_2_0_bugfix_2,Classement : Correction d'un problème où le classement restait bloqué au chargement.
patch_1_2_0_bugfix_3,Tremblement d'écran : Le tremblement d'écran se réinitialise désormais correctement à l'origine après chaque utilisation.
patch_1_2_0_bugfix_4,Mise à l'échelle de la difficulté : Correction du facteur d'échelle du mode facile.
patch_1_2_0_bugfix_5,Affichage de l'arrière-plan : Correction des arrière-plans manquants pendant les scènes de dialogue.
patch_1_2_0_bugfix_6,Lisibilité du texte : Amélioration de la coloration du texte pour une meilleure lisibilité.
patch_1_2_0_engagement_header,ENGAGEMENT DES JOUEURS
patch_1_2_0_engagement_1,Demandes d'avis : Ajout d'invites d'avis pour les joueurs de la démo et du jeu complet.
patch_1_2_0_engagement_2,Corrections de traduction : Diverses améliorations de traduction dans toutes les langues prises en charge.
patch_1_2_0_technical_header,AMÉLIORATIONS TECHNIQUES
patch_1_2_0_technical_1,Support linguistique étendu : Prise en charge désormais de toutes les 31 langues supportées par Steam.
patch_1_2_0_technical_2,Refonte du système de traduction : Réorganisation des fichiers de traduction pour une meilleure maintenabilité.
