keys,th
Text/50/text,วันนี้ทำงานได้ดีพอใช้แล้วนะ เจ้าหน่อ จำไว้ว่าประสิทธิภาพคือกุญแจสำคัญ เรามีโควตาที่ต้องทำให้ถึง
Text/51/text,อย่าลืมรับปันส่วน [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] ของนายด้วยนะ นายก็รู้ว่าวิทยุพูดว่าอะไร มันคือรสชาติแห่งอนาคตของสปัด!
Text/52/text,ขณะที่คุณกำลังเก็บของ กระดาษโน้ตเล็กๆ แผ่นหนึ่งก็ร่วงหล่นออกมาจากระหว่างเอกสารทำงานของคุณ
Text/52b/text,มันไม่ได้อยู่ที่นั่นเมื่อเช้านี้ มีคนวางมันไว้ [color=YELLOW]ระหว่างกะของคุณ[/color]
Text/53/text,[color=GOLD]ทุกสิ่งไม่ได้เป็นอย่างที่เห็น รากฐานของชาติเราเน่าเฟะแล้ว[/color]
Text/53b/text,[color=GOLD]จงตามรอยไป แต่ระวังอย่าให้ถูกปิดปาก[/color]
Text/53c/text,[color=GOLD]จงสังเกตว่าใครกิน [/color][color=DARK_VIOLET]รีเสิร์ฟ[/color][color=GOLD] จงสังเกตว่าใครปฏิเสธ[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]เพื่อนคนหนึ่ง[/color]
Choice/53e/text,"""เก็บโน้ตซ่อนไว้ - สืบสวนอย่างเงียบๆ"""
Choice/53f/text,"""ทำลายโน้ต - นี่อาจเป็นการทดสอบ"""
Choice/53g/text,"""แสดงโน้ตให้รัสเซ็ตดูทันที"""
Text/53h/text,คุณพับโน้ตอย่างระมัดระวังแล้วสอดมันลงในกระเป๋า [color=CHARTREUSE]มีคนกำลังติดต่อมา[/color]
Text/53i/text,แต่ใครกัน? และทำไมต้องเป็นคุณ ในวันแรกของการทำงาน?
Text/53j/text,คุณฉีกโน้ตออกเป็นชิ้นเล็กๆ
Text/53k/text,"รัสเซ็ตบอกว่าเจ้าหน่อที่ชอบตั้งคำถามจะถูก ""โยกย้ายหน้าที่"" ไม่เสี่ยงจะดีกว่า"
Text/53l/text,"คุณเรียก รัสเซ็ต ไว้ก่อนที่เขาจะออกไป ""ท่านครับ? ผมเจอสิ่งนี้ในเอกสารของผม..."""
Text/53m/text,รัสเซ็ตคว้าโน้ตไปอ่าน สีหน้าของเขากะพริบวูบ - [color=YELLOW]นั่นคือการจดจำได้หรือเปล่า?[/color]
Text/53n/text,โฆษณาชวนเชื่อ พวกกบฏพยายามจะชักจูงเจ้าหน้าที่ใหม่ [color=DARK_ORANGE]คุณทำถูกแล้วที่นำสิ่งนี้มาให้ผม[/color]
Text/53o/text,เขาเก็บโน้ตใส่กระเป๋า ลืมไปซะว่าคุณเคยเห็นมัน และคอยสังเกตใครก็ตามที่ทำตัว... [color=CRIMSON]น่าสงสัย[/color]
Text/54/text,โน้ตนั่น... และวิธีที่รัสเซ็ตตอบคำถามของผมเกี่ยวกับ [pulse freq=3][color=CRIMSON]มันฝรั่งที่ถูกปฏิเสธ[/color][/pulse]...
Text/54b/text,"""[color=VIOLET]ดำเนินการแล้ว ตามระเบียบปฏิบัติ[/color]"" นั่นมันหมายความว่าอะไรกันแน่?"
Text/54c/text,โน้ตนั่น... มันบอกว่ารากฐานมัน [color=CRIMSON]เน่าเฟะ[/color] แล้ว
Text/54d/text,แต่สปัดนั้นรุ่งโรจน์ไม่ใช่เหรอ? นั่นคือสิ่งที่พวกเขาบอกเรา สิ่งที่ผมเชื่อมาตลอด
Text/54e/text,"คุณหยิบโน้ตออกมาอ่านอีกครั้ง ""[color=GOLD]จงสังเกตว่าใครกินรีเสิร์ฟ จงสังเกตว่าใครปฏิเสธ[/color]"""
Text/54f/text,พรุ่งนี้ คุณจะสังเกตให้ดี [color=YELLOW]มีคนกำลังพยายามจะบอกอะไรบางอย่างกับคุณ[/color]
Text/54g/text,ใบหน้าของรัสเซ็ตตอนที่เขาอ่านโน้ต ชั่วขณะหนึ่ง เขามองดูเกือบจะ... [color=STEEL_BLUE]หวาดกลัว[/color]
Text/54h/text,[color=DARK_VIOLET]Root Reserve[/color] แท้จริงแล้วคืออะไรกันแน่? และทำไมถึงมีคนเตือนคุณเกี่ยวกับมัน?
Text/54i/text,โน้ตหายไปแล้ว แต่ถ้อยคำยังคงติดอยู่ในใจ [color=YELLOW]ไม่เป็นอย่างที่เห็นเสมอไป[/color]
Text/54j/text,บางทีการทำลายมันอาจเป็นการตัดสินใจที่ฉลาด บางทีคุณอาจแค่ทำให้พันธมิตรคนเดียวของคุณเงียบไป
Text/55/text,ฉันควรจะ [color=YELLOW]ระมัดระวัง[/color] มีเรื่องราวเกิดขึ้นที่นี่มากกว่าแค่การประทับตราหนังสือเดินทาง
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
