keys,hu
Text/102/text,"Jó, sikerült. Az ellenállás [color=CHARTREUSE]egyre erősebb[/color]. Ezeknek a kiáltványoknak köszönhetően az emberek látják az igazságot."
Text/103/text,"Sikerült megszereznem ezt az aktát a forrásainktól - termelési ütemtervek, '[color=CRIMSON]összetevő[/color]' listák, az [color=DARK_SLATE_BLUE]eltűntek[/color] nevei."
Text/104/text,Ez nem csak egy étrend-kiegészítő program. [color=CRIMSON]Krumplikat dolgoznak fel[/color]...és nem jó módon.
Text/105/text,"Belső feljegyzések magától Idaho miniszterelnöktől, amelyek engedélyezik az ""[color=DARK_ORANGE]elutasított eszközök hasznosítását.[/color]"""
Text/106/text,"Kvóták minden ellenőrzőpontnál, a Krumpli Vám rendelkezik a legmagasabb elutasítás-feldolgozás aránnyal."
Text/107/text,"A kinti helyzet romlott. Dühös tömegek gyűlnek az ellenőrzőpontoknál, válaszokat követelve a Root Reserve-ről."
Text/108/text,[color=YELLOW]VÉSZHELYZETI KÖZVETÍTÉS[/color]: A [color=CRIMSON]hamisított dokumentumok[/color] közelmúltbeli terjesztése szükségtelen pánikot okozott.
Text/109/text,"[color=GOLD]10 000 Krumpli Kredit[/color] jutalmat ajánlanak fel olyan információért, amely ezeknek a szabotőröknek az elfogásához vezet."
Text/10a/text,Ennek a propagandának a fogyasztása vagy terjesztése most [color=RED]hazaárulásnak[/color] minősül.
Text/10b/text,A mai műszak különleges protokollok szerint fog működni. Minden utazónak Lojalitási Értékelésen kell átesnie.
Text/10c/text,"Azokat, akik [color=CRIMSON]kormányellenes érzelmeket[/color] mutatnak, azonnal meg kell jelölni."
Text/10d/text,A [color=CRIMSON]közöttünk lévő árulót[/color] meg fogjuk találni. És amikor megtaláljuk... [végighúzza ujját a torkán]
Text/10e/text,"Egy ideges krumpli közeledik, [color=GOLD]sárga levél jelvény[/color] részben látható. Egy kis jegyzet van elrejtve a papírok között: ""[color=CHARTREUSE]Biztonságos ház lelepleződött. Új helyszín: 7-es raktár, 4-es szektor.[/color]"""
Choice/10f/text,Gyorsan engedd át őket az UV jelöléssel (Segítség)
Choice/110/text,Azonnal jelentsd őket a biztonságiaknak (Árulás)
Text/111/text,"Megkönnyebbülés önti el az arcukat. ""Köszönöm. Az igazság győzni fog."""
Text/112/text,"Rémület ébred, amikor jelezel a biztonságiaknak. ""[wave amp=25 freq=3]Ne, kérlek! Van családom![/wave]"" A sárga jelvényük a földre esik."
Text/113/text,Jól végzett munka. A hűséged feljegyezve.
Text/114/text,A döntésedet észrevették. Légy készen. [tornado radius=3 freq=2][color=CHARTREUSE]Valami nagy közeleg[/color][/tornado]. Az ellenállás közvetlen akciót tervez.
Text/115/text,"Amikor ez megtörténik, [color=YELLOW]oldalt kell választanod[/color]. Nem lesz több középút."
Text/116/text,"Minden krumplival, amit feldolgozol, vagy [pulse freq=2][color=CHARTREUSE]segíted a forradalmat[/color][/pulse], vagy [pulse freq=2][color=CRIMSON]lehetővé teszel egy szörnyű rendszert[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
Text/102_foreshadow1/text,"[color=STEEL_BLUE]Sasha idegesen hátranéz a válla felett.[/color] Bocsánat, én... [color=YELLOW]Azt hiszem, figyelnek engem.[/color]"
Text/102_foreshadow2/text,Russet kérdezősködött. Műszak után követett. [wave amp=15 freq=2][color=YELLOW]Óvatosabbnak kell lennem.[/color][/wave]
Text/102_foreshadow3/text,"Sasha, talán jobb, ha egy ideig meghúzod magad. Hadd vállaljam én a nagyobb kockázatot."
Text/102_foreshadow4/text,"[color=STEEL_BLUE]Fejét rázza, erőltetett mosollyal.[/color] Nem. Túl közel vagyunk már. El tudom intézni Russetet."
Text/102_foreshadow5/text,"Különben is... [color=CHARTREUSE]valakinek távol kell tartania titeket, hajtásokat a bajtól.[/color]"
Text/106_trucks1/text,"De még mindig nem tudjuk, hol van a fő feldolgozó létesítmény. A dokumentumok csak szállítási kódokat sorolnak fel."
Text/106_trucks2/text,Figyeltem a [color=DARK_VIOLET]Gyökér Rezervátum teherautóit[/color]. Minden éjjel 03:00-kor indulnak. Ugyanaz az útvonal.
Text/106_trucks3/text,"[color=CHARTREUSE]Ha követni tudnánk őket...[/color] pontosan tudnánk, hová viszik a selejteket."
Choice/106_trucks4/text,Megteszem. Ismerem a járőrözési ütemterveket.
Choice/106_trucks5/text,Ez kockázatosnak hangzik. Nem tehetné meg valaki más?
Text/106_trucks6/text,"[color=CHARTREUSE]Sasha szeme felcsillan.[/color] Tudtam, hogy acélgyökereid vannak. Légy óvatos – éjszaka erősen járőröznek."
Text/106_trucks7/text,"03:00 óra. Az árnyékban guggolsz, miközben a [color=DARK_VIOLET]Gyökér Rezervátum[/color] teherautói elzúgnak melletted."
Text/106_trucks8/text,[pulse freq=2][color=YELLOW]Maradj rejtve! Kövesd a konvojt![/color][/pulse]
Text/106_trucks9/text,"A teherautók egy hatalmas, ipari negyedben elrejtett komplexumnál állnak meg. [color=DARK_VIOLET]7-es szektor, Delta Raktárkomplexum.[/color]"
Text/106_trucks10/text,Kémények lilás füstöt okádnak. A szag... [tornado radius=3 freq=2][color=CRIMSON]összetéveszthetetlen.[/color][/tornado]
Text/106_trucks11/text,[wave amp=20 freq=3][color=CHARTREUSE]A Gyökér Rezervátum szíve.[/color][/wave]
Text/106_trucks12/text,[color=STEEL_BLUE]Sasha arca csalódottságot tükröz.[/color] Mindannyiunknak kockáztatnunk kell. Találok más utat.
