keys,pt-BR
Text/b8/text,"A instalação da fronteira está em bloqueio total, com segurança armada patrulhando cada corredor."
Text/b9/text,[pulse freq=3][color=RED]ATENÇÃO! Situação de segurança NÍVEL VERMELHO![/color][/pulse] Documentos confidenciais foram roubados na noite passada.
Text/ba/text,Temos um [tornado radius=4 freq=3][color=CRIMSON]traidor entre nós[/color][/tornado]. Qualquer um que retiver informações será tratado como cúmplice.
Text/bb/text,"Todos os oficiais, alinhem-se para [wave amp=15 freq=2][color=DARK_ORANGE]varredura de segurança[/color][/wave]. Aqueles com respostas de estresse elevadas serão sinalizados."
Text/bc/text,Você viu o que está acontecendo lá fora? Panfletos por toda parte mostrando que [color=DARK_VIOLET]Root Reserve[/color] é feita de... [pulse freq=3][color=CRIMSON]de nós[/color][/pulse].
Choice/bd/text,"""Fale baixo. Estamos todos sendo observados."""
Choice/be/text,"""Ouvi os mesmos rumores. É horrível se for verdade."""
Choice/bf/text,"""Isso é propaganda ridícula. Não espalhe tais mentiras."""
Text/c0/text,Você tem razão. Mas se for verdade... o que isso nos torna?
Text/c1/text,Meu primo foi rejeitado no mês passado. Isso significa...? Eu [color=CHARTREUSE]não aguento mais[/color].
Text/c2/text,A expressão deles se fecha. Claro. Batata Leal para sempre.
Text/c3/text,Declare seu paradeiro na noite passada entre 22h00 e 04h00.
Choice/c4/text,"""Eu estava em meus aposentos a noite toda, dormindo."""
Choice/c5/text,"""Eu preferiria falar com meu representante legal primeiro."""
Text/c6/text,Seus níveis de estresse indicam [color=YELLOW]engano[/color]. No entanto... inconclusivo. Você pode ir por enquanto.
Text/c7/text,"Representante legal? Este é um procedimento de segurança, não um julgamento. Sua recusa foi anotada."
Text/c7_viktor1/text,Um guarda de segurança corpulento se aproxima durante sua pausa. Seu rosto está abatido.
Text/c7_viktor2/text,"Ei... você é um dos oficiais da alfândega, certo? Tenho perguntado sobre minha esposa, Elena."
Text/c7_viktor3/text,Ela cruzou este posto de controle há três semanas. [color=STEEL_BLUE]Falhou na inspeção.[/color] Não tive notícias dela desde então.
Choice/c7_viktor4/text,"""Viktor... Eu encontrei algo. Sobre Elena. Você precisa saber a verdade."""
Choice/c7_viktor5/text,"""Sinto muito, Viktor. Não vi nada."""
Text/c7_viktor6/text,Você mostra a ele uma cópia da página do manifesto. Seu rosto empalidece.
Text/c7_viktor7/text,[wave amp=25 freq=3]Suas mãos tremem enquanto ele lê.[/wave] [color=GOLD]Elena Petrov[/color]... [color=CRIMSON]Processada... Lote RR-2851...[/color]
Text/c7_viktor8/text,Sua voz é quase um sussurro. [tornado radius=3 freq=2][color=CRIMSON]Eles... eles A TRANSFORMARAM em...[/color][/tornado]
Text/c7_viktor9/text,Sua dor se transforma em fúria fria. [pulse freq=2][color=CRIMSON]Idaho vai pagar por isso.[/color][/pulse] Eu juro pela memória dela.
Text/c7_viktor10/text,Ele aperta seu ombro. [color=CHARTREUSE]Obrigado por me contar.[/color] Quando a hora chegar... eu vou me lembrar disso.
Text/c7_viktor11/text,Ele acena tristemente. [color=STEEL_BLUE]Eu imaginei.[/color] Ninguém sabe de nada. Ou ninguém quer falar.
Text/c7_viktor12/text,Se você ouvir algo... [color=YELLOW]por favor.[/color] Ela é tudo o que eu tenho.
Text/c8/text,"Está funcionando. Os manifestos causaram um alvoroço, mas [color=DARK_ORANGE]Russet suspeita de nós[/color]."
Text/c9/text,Fique atento a aliados da nossa organização durante o turno de hoje. [color=CHARTREUSE]Você os reconhecerá[/color].
Text/ca/text,"Se você conseguir fazê-los passar em segurança, use a [color=CHARTREUSE]marca especial que discutimos[/color]."
Choice/cb/text,"""Vale a pena o risco. Estou dentro."""
