keys,el
LAWS,ΝΟΜΟΙ
msg_not_fresh,Η πατάτα ήταν %s αλλά πρέπει να είναι Φρέσκια
msg_extra_eyes,"Η πατάτα είχε Επιπλέον Μάτια, κάτι που απαγορεύεται"
msg_rotten,Σάπιες πατάτες δεν επιτρέπονται
msg_sprouted,Φυτρωμένες πατάτες δεν επιτρέπονται
msg_dehydrated,Αφυδατωμένες πατάτες δεν επιτρέπονται σήμερα
msg_frozen,Κατεψυγμένες πατάτες απαγορεύονται
msg_over_age,Η πατάτα είναι %d ετών (μέγιστο 5 έτη)
msg_under_age,Η πατάτα είναι %d ετών (πρέπει να είναι άνω των 3)
law_fresh_potatoes,[color=dark_goldenrod]ΜΟΝΟ Φρέσκες[/color] πατάτες επιτρέπονται - [color=dark_red]ΑΠΟΡΡΙΨΤΕ[/color] όλες τις άλλες
law_extra_eyes,Πατάτες με την κατάσταση [color=dark_goldenrod]Επιπλέον Μάτια[/color] πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_rotten,[color=dark_goldenrod]Σάπιες[/color] πατάτες πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_sprouted,[color=dark_goldenrod]Φυτρωμένες[/color] πατάτες πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_dehydrated,[color=dark_goldenrod]Αφυδατωμένες[/color] πατάτες πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_frozen,[color=dark_goldenrod]Κατεψυγμένες[/color] πατάτες πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_over_5_years,Πατάτες [color=dark_goldenrod]5 ετών ή μεγαλύτερες[/color] πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_under_3_years,Πατάτες [color=dark_goldenrod]3 ετών ή νεότερες[/color] πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_under_2_years,Πατάτες [color=dark_goldenrod]2 ετών ή νεότερες[/color] πρέπει να [color=dark_red]ΑΠΟΡΡΙΦΘΟΥΝ[/color]
law_males_only,[color=dark_goldenrod]ΜΟΝΟ Αρσενικές[/color] πατάτες επιτρέπονται - [color=dark_red]ΑΠΟΡΡΙΨΤΕ[/color] όλες τις Θηλυκές
