keys,es
Text/50/text,"Buen trabajo hoy, brote. Recuerda, la eficiencia es clave. Tenemos cuotas que cumplir."
Text/51/text,"No olvides recoger tu ración de [wave amp=15 freq=2][color=DARK_VIOLET]Reserva Raíz[/color][/wave]. Sabes lo que dice la radio, ¡es el sabor del futuro de Spud!"
Text/52/text,Una pequeña nota se desliza entre algunos papeles de tu escritorio.
Text/53/text,"[color=GOLD]No todo es como parece. Las raíces de nuestra nación se han podrido. [br] Sigue el rastro, pero ten cuidado de no ser silenciado.[/color] [br] - [color=CHARTREUSE]Un amigo[/color]"
Text/54/text,Esa nota... y la forma en que Russet esquivó mi pregunta sobre [pulse freq=3][color=CRIMSON]papas rechazadas[/color][/pulse]... [br] Algo parece [color=STEEL_BLUE]extraño[/color].
Text/55/text,Debo mantenerme [color=YELLOW]alerta[/color]. Hay más aquí que sellar pasaportes.
Text/52b/text,No estaba ahí esta mañana. Alguien lo puso [color=YELLOW]durante tu turno[/color].
Text/53b/text,"[color=GOLD]Sigue el rastro, pero ten cuidado de no ser silenciado.[/color]"
Text/53c/text,[color=GOLD]Observa quién come la [/color][color=DARK_VIOLET]Reserva[/color][color=GOLD]. Observa quién se niega.[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Un amigo[/color]
Choice/53e/text,"""Mantén la nota oculta - investiga en silencio"""
Choice/53f/text,"""Destruye la nota - esto podría ser una prueba"""
Choice/53g/text,"""Muestra la nota a Russet inmediatamente"""
Text/53h/text,Doblas la nota con cuidado y la deslizas en tu bolsillo. [color=CHARTREUSE]Alguien está tendiendo una mano.[/color]
Text/53i/text,"¿Pero quién? ¿Y por qué tú, en tu primer día?"
Text/53j/text,Rompes la nota en pedacitos
Text/53k/text,"Russet dijo que los brotes que hacen preguntas son ""reasignados"". Mejor no arriesgarse."
Text/53l/text,"Alcanzas a Russet antes de que se vaya. ""¿Señor? Encontré esto entre mis papeles..."""
Text/53m/text,"Russet arrebata la nota, la lee. Su expresión parpadea - [color=YELLOW]¿fue eso reconocimiento?[/color]"
Text/53n/text,Propaganda. Rebeldes intentando corromper a nuevos oficiales. [color=DARK_ORANGE]Hiciste bien en traerme esto.[/color]
Text/53o/text,Se guarda la nota. Olvida que alguna vez la viste. Y estate atento a cualquiera que actúe... [color=CRIMSON]sospechoso[/color].
Text/54b/text,"""[color=VIOLET]Procesado. Según protocolo.[/color]"" ¿Qué significa eso?"
Text/54c/text,Esa nota... decía que las raíces se han vuelto [color=CRIMSON]podridas[/color].
Text/54d/text,"Pero Spud es gloriosa, ¿no? Eso es lo que nos dijeron. Lo que yo creía."
Text/54e/text,"Sacas la nota, leyéndola de nuevo. ""[color=GOLD]Observa quién come la Reserva. Observa quién se niega.[/color]"""
Text/54f/text,"Mañana, prestarás atención. [color=YELLOW]Alguien está intentando decirte algo.[/color]"
Text/54g/text,"La cara de Russet cuando leyó la nota. Por un momento, pareció casi... [color=STEEL_BLUE]asustado[/color]."
Text/54h/text,¿Qué es realmente la [color=DARK_VIOLET]Reserva de Raíz[/color]? ¿Y por qué alguien te advertiría sobre ello?
Text/54i/text,"La nota se ha ido, pero las palabras persisten. [color=YELLOW]No todo es lo que parece.[/color]"
Text/54j/text,Quizás destruirla fue la elección inteligente. Quizás acabas de silenciar a tu único aliado.
