keys,tr
Character/173/name,Radyo Sunucusu
Character/174/name,Meslektaş Memur
Character/175/name,Anlatıcı
Character/176/name,Sessiz Patates
Character/177/name,Endişeli Patates
Character/178/name,Kadim Patates
Character/179/name,Sen
Character/17a/name,Başbakan Idaho
Character/17b/name,Direniş Lideri
Character/17c/name,Güvensiz Direniş Üyesi
Character/17d/name,Küstah Direniş Üyesi
Character/17e/name,Güvenlik Şefi
Character/17f/name,Güvenlik Görevlisi
Character/180/name,Patates Ezgeç
Character/181/name,Şef Russet
Character/181/nicknames,"Russ,Russet,Şef Russet"
Character/182/name,Tatlı Patates Sasha
Character/183/name,Gergin Yolcu
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
Character/184/name,Viktor
