keys,es
LAWS,LEYES
_VALIDATION MESSAGES,
msg_not_fresh,"La patata era %s, pero debe ser fresca"
msg_extra_eyes,"La patata tenía Ojos Extra, lo cual está prohibido"
msg_rotten,Las patatas podridas no están permitidas
msg_sprouted,Las patatas germinadas no están permitidas
msg_dehydrated,Las patatas deshidratadas no están permitidas hoy
msg_frozen,Las patatas congeladas están prohibidas
msg_over_age,La patata tiene %d años (máximo 5 años)
msg_under_age,La patata tiene %d años (debe tener más de 3 años)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]SOLO papas frescas[/color] permitidas - [color=dark_red]RECHAZAR[/color] todas las demás
law_extra_eyes,[color=dark_goldenrod]Ojos Extra[/color] condición papas deben ser [color=dark_red]RECHAZADAS[/color]
law_rotten,[color=dark_goldenrod]Podridas[/color] papas deben ser [color=dark_red]RECHAZADAS[/color]
law_sprouted,[color=dark_goldenrod]Germinadas[/color] papas deben ser [color=dark_red]RECHAZADAS[/color]
law_dehydrated,[color=dark_goldenrod]Deshidratadas[/color] papas deben ser [color=dark_red]RECHAZADAS[/color]
law_frozen,[color=dark_goldenrod]Congeladas[/color] papas deben ser [color=dark_red]RECHAZADAS[/color]
law_over_5_years,Papas de [color=dark_goldenrod]5 años o más[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_under_3_years,Papas de [color=dark_goldenrod]3 años o menos[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_under_2_years,Papas de [color=dark_goldenrod]2 años o menos[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_males_only,[color=dark_goldenrod]SOLO papas macho[/color] permitidas - [color=dark_red]RECHAZAR[/color] todas las hembras
law_females_only,[color=dark_goldenrod]SOLO papas hembra[/color] permitidas - [color=dark_red]RECHAZAR[/color] todos los machos
law_country_spudland,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Spudland[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_potatopia,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Potatopia[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_tuberstan,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Tuberstan[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_north_yamnea,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]North Yamnea[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_spuddington,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Spuddington[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_tatcross,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Tatcross[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_mash_meadows,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Mash Meadows[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_tuberville,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Tuberville[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_chip_hill,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Chip Hill[/color] deben ser [color=dark_red]RECHAZADAS[/color] (prohibición de exportación)
law_country_murphyland,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Murphyland[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_colcannon,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Colcannon[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_country_pratie_point,[color=dark_goldenrod]TODAS[/color] las papas de [color=dark_goldenrod]Pratie Point[/color] deben ser [color=dark_red]RECHAZADAS[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] tipos de papas deben ser [color=dark_red]RECHAZADOS[/color]
law_sweet_potatoes,[color=dark_goldenrod]Batata[/color] tipos deben ser [color=dark_red]RECHAZADOS[/color] (sin permisos disponibles)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] tipos de papas deben ser [color=dark_red]RECHAZADOS[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] tipos de papas deben ser [color=dark_red]RECHAZADOS[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] tipos de papas deben ser [color=dark_red]RECHAZADOS[/color]
law_russet,[color=dark_goldenrod]Russet[/color] tipos de papas deben ser [color=dark_red]RECHAZADOS[/color]
