keys,nl
Text/d2/text,Na je dienst word je naar een geheime verzetsbijeenkomst in een verlaten zetmeelfabriek geleid.
Text/d3/text,Een verweerde aardappel met littekens van veldslagen spreekt de verzamelde groep toe.
Text/d4/text,De tijd van fluisteren en pamfletten is voorbij. De regering heeft haar ware gezicht laten zien.
Text/d5/text,Onze bronnen bevestigen dat [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave]-verwerkingsfabrieken de productie verhogen.
Text/d6/text,"Wat betekent [tornado radius=3 freq=3][color=CRIMSON]meer van onze broeders en zusters verdwenen, verwerkt, geconsumeerd[/color][/tornado]."
Text/d7/text,De leider slaat met een vuist op tafel. [pulse freq=3][color=CHARTREUSE]Dit eindigt nu.[/color][/pulse] We hebben een plan om het hart van hun operatie aan te vallen.
Text/d8/text,Sasha ontvouwt gedetailleerde plannen op tafel. Over drie dagen lanceren we ons primaire offensief.
Text/d9/text,"Terwijl één team een afleidingsmanoeuvre creëert bij het hoofdregeringscomplex, zal een ander team de grootste Root Reserve-faciliteit infiltreren."
Text/da/text,"Ons doel: [color=CHARTREUSE]onweerlegbaar bewijs[/color] verkrijgen van wat er binnen gebeurt, en het uitzenden naar heel Spud."
Text/db/text,Sasha wijst naar een deel van de plannen. Dit is waar jij in beeld komt.
Text/dc/text,We hebben iemand nodig binnen de Spud Douane om ervoor te zorgen dat onze operatives de grens kunnen oversteken voor de missie.
Text/dd/text,Kunnen we op jou rekenen om die persoon te zijn?
Choice/de/text,Ik zal alles doen wat nodig is om de waarheid aan het licht te brengen.
Choice/df/text,Het klinkt gevaarlijk. Wat als we gepakt worden?
Choice/e0/text,Is er een andere manier die niet zoveel mensen in gevaar brengt?
Text/e1/text,Sasha's gezicht licht op met hoop. Dank je. [color=CHARTREUSE]Je moed zal talloze levens redden.[/color]
Text/e2/text,"Ze knijpt in je hand. Als dit allemaal voorbij is, [color=CHARTREUSE]zul je herinnerd worden als een held van de revolutie.[/color]"
Text/e3/text,Sasha knikt plechtig. Het is gevaarlijk. Ik zal je daarover niet voorliegen.
Text/e4/text,We kunnen allemaal [color=DARK_VIOLET]verwerkt worden tot Root Reserve[/color] als we falen.
Text/e5/text,"Maar niets doen is nog gevaarlijker. Voor ons allemaal, op de lange termijn."
Text/e6/text,Sasha's uitdrukking wordt grimmig. We hebben andere manieren geprobeerd. Jarenlang.
Text/e7/text,Petities. Stille diplomatie. Anonieme tips. Niets heeft gewerkt.
Text/e8/text,Soms moet je alles riskeren om iets te veranderen.
Text/e9/text,Een verhit debat breekt uit onder de verzetsstrijders.
Text/ea/text,Sommigen pleiten voor een agressievere aanpak — de verwerkingsfabrieken volledig vernietigen.
Text/eb/text,Anderen houden vol dat gewelddadige actie de publieke opinie alleen maar tegen hen zal keren.
Text/ec/text,GENOEG! De leider brengt de kamer tot zwijgen met een gebiedende stem.
Text/ed/text,"We kunnen ons geen verdeeldheid veroorloven. Niet nu, als we zo dichtbij zijn."
Text/ee/text,Ons doel is simpel: de waarheid onthullen. Laat het volk beslissen wat er daarna gebeurt.
Text/ef/text,De leider draait zich om en spreekt je direct aan. Maar we moeten weten [color=YELLOW]waar je staat[/color].
Text/f0/text,Over drie dagen zullen onze agenten je controlepunt naderen. Ze dragen [color=CHARTREUSE]blauwe identificatiekaarten[/color].
Text/f1/text,Zul je hen helpen oversteken? Je antwoord nu zal onze volgende zet bepalen.
Choice/f2/text,Ik zal hen helpen oversteken. Voor de toekomst van Spud.
Choice/f3/text,"Ik kan niet direct betrokken zijn, maar ik zal de andere kant op kijken."
Choice/f4/text,Ik heb meer tijd nodig om hierover na te denken.
Text/f5/text,De leider grijpt stevig je schouder vast. [color=CHARTREUSE]Je moed eert ons allen.[/color]
Text/f6/text,"Op de derde dag, wanneer de zon op zijn hoogst staat, zullen onze agenten komen."
Text/f7/text,"Het wachtwoord is ""[wave amp=15 freq=3][color=CHARTREUSE]De wortels groeien diep.[/color][/wave]"" Onthoud het."
Text/f8/text,"De leider knikt langzaam, duidelijk teleurgesteld maar begripvol."
Text/f9/text,Soms is het meeste wat we kunnen vragen dat mensen ons niet in de weg staan.
Text/fa/text,Onze agenten zullen doorgaan zoals gepland. Alleen... sla geen alarm.
