keys,bg
Text/a6/text,"Граничният пункт се усеща различно днес. Напрегнато. Патрулите за сигурност са в по-голям брой, а предпазливо мълчание замества бърборенето."
Text/a7/text,"Снощи бяха открити [pulse freq=2][color=CRIMSON]забранени материали[/color][/pulse]. Брошури, съдържащи лъжи за [color=DARK_VIOLET]Кореновия резерват[/color]."
Text/a8/text,Въвеждаме [wave amp=15 freq=2][color=DARK_ORANGE]протоколи за оранжево ниво на заплаха[/color][/wave]. Всички служители подлежат на проверки за лоялност. Всички пътуващи са подложени на максимален контрол.
Text/a9/text,Действа. Брошурите се разпространяват. Хората задават въпроси за [color=DARK_VIOLET]Кореновия резерват[/color].
Text/aa/text,"Имам източници, които ми казват, че има дневник на пратките в офиса на Ръсет – транспортни манифести, които биха могли да [tornado radius=3 freq=2][color=CHARTREUSE]докажат всичко[/color][/tornado]."
Text/ab/text,"Трябва да ми помогнеш да го вземем. Тази вечер, след последната смяна. Мога ли да разчитам на теб?"
Choice/ac/text,"""Навит съм. Нека разкрием истината."""
Choice/ad/text,"""Не знам, Саша... това може да е опасно."""
Text/ae/text,"Слава богу. Знаех, че имаш [color=CHARTREUSE]по-силни корени от другите[/color]. Ще се срещнем в полунощ."
Text/af/text,"Понякога трябва да [color=CHARTREUSE]рискуваме да бъдем смачкани, за да направим правилното нещо[/color]. Помисли върху това."
Text/b0/text,"[color=DARK_ORANGE]Проверка за лоялност[/color]. Моля, посочете вашето име и служебен номер. След това ми кажете защо служите на Спъд."
Choice/b1/text,"""Служа, за да защитавам нашите граници от опасни влияния."""
Choice/b2/text,"""Служа, за да осигуря справедливо отношение към всички."""
Text/b3/text,"Добър отговор. Спъд се нуждае от лоялни защитници. Скенерът показва зелено. Продължавайте, офицер."
Text/b4/text,"Веждите на офицера се повдигат. Справедливо отношение? Скенерът мига [color=DARK_ORANGE]кехлибарено[/color]. Запомнете, нашата основна грижа е сигурността, а не справедливостта."
Text/b5/text,Днешната квота е увеличена. Всеки със съмнителни материали трябва да бъде маркиран за [color=DARK_VIOLET]специална обработка[/color].
Text/b6/text,Днес ще [color=DARK_ORANGE]наблюдавам решенията ви[/color] много внимателно.
Text/b7/text,"Тази вечер може да промени всичко. Но първо, [color=YELLOW]преживейте деня, без да предизвикате подозрение[/color]."
Text/b4_viktor1/text,"Едър охранител ви хваща за ръката, докато минавате. Лицето му е изписано с притеснение."
Text/b4_viktor2/text,"Хей... извинете, че ви безпокоя. Вие сте един от митническите служители, нали? Казвам се [color=CHARTREUSE]Виктор[/color]."
Text/b4_viktor3/text,"Питам всички за жена си, [color=GOLD]Елена[/color]. Елена Петрова. Тя премина този пункт преди три седмици."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Неуспешна проверка.[/color] Казаха, че ще бъде обработена и върната у дома, но... Не съм чул нищо."
Text/b4_viktor5/text,Гласът му трепери. Никой не ми казва нищо. Знаете ли къде отиват отхвърлените пътуващи?
Choice/b4_viktor6/text,"""Съжалявам, Виктор. Не знам. Но ще внимавам."""
Choice/b4_viktor7/text,"""Не мога да обсъждам подробности за обработката. Протоколи за сигурност."""
Text/b4_viktor8/text,"В очите на Виктор проблесна надежда. [color=CHARTREUSE]Благодаря.[/color] Всичко, което разберете... моля. Тя е всичко, което имам."
Text/b4_viktor9/text,"Виктор кима, обезсърчен. [color=STEEL_BLUE]Добре. Протоколи.[/color] Разбирам."
Text/b4_viktor10/text,Но ако промените решението си... [color=YELLOW]Трябва да знам какво се е случило с нея.[/color]
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
