keys,ar
Text/215/text,يوقفك مورفي في الممر، وعيناه محمرتان. هل لديك دقيقة؟
Text/216/text,يسحبك مورفي إلى غرفة تخزين فارغة ويغلق الباب.
Text/217/text,تلك المزحة التي أطلقتها في الكافتيريا... عن ابن عمي الذي كان ضمن دفعة [color=DARK_VIOLET]احتياطي الجذور[/color]...
Text/218/text,ينكسر صوت مورفي. لا أعتقد أنها كانت مزحة بعد الآن.
Text/219/text,قلت إنها ليست مضحكة. كنت محقًا. [color=STEEL_BLUE]لا شيء في هذا مضحك.[/color]
Text/21a/text,رأيتك تغادر. ذكي. أتمنى لو أستطيع التوقف عن أكل هذا الهراء، لكنهم [color=YELLOW]يراقبون[/color]. إنهم يراقبون دائمًا.
Text/21b/text,وجدت شيئًا في متعلقات ابن عمي. استمارة رفضه. أشياء عادية، لكن...
Text/21c/text,"يسحب مورفي استمارة مجعدة. انظر إلى رمز المعالجة. ""[color=CRIMSON]RR-UTIL-7[/color]."""
Text/21d/text,بحثت عنها في الأرشيف. RR تعني [pulse freq=2][color=DARK_VIOLET]احتياطي الجذور[/color][/pulse]. UTIL تعني... [color=CRIMSON]الاستغلال[/color].
Text/21d_breakdown1/text,[wave amp=20 freq=3]تبدأ يدا مورفي بالارتعاش.[/wave] ابن عمي... تومي... كان عمره ثلاثة وعشرين عامًا فقط.
Text/21d_breakdown2/text,جاء إلى هنا من أجل [color=CHARTREUSE]حياة أفضل[/color]. فشل في تفتيش واحد. واحد فقط. [color=STEEL_BLUE]مجرد توقيت سيء.[/color]
Text/21d_breakdown3/text,ينزلق مورفي على الحائط، ووجهه بين يديه. وأنا... أنا [tornado radius=3 freq=2][color=CRIMSON]أكلت[/color][/tornado] هذا الهراء. كل يوم.
Text/21d_breakdown4/text,ينظر إليك مورفي، والدموع تنهمر من عينيه. [pulse freq=2][color=CRIMSON]ماذا لو أكلته هو؟[/color][/pulse]
Choice/21e/text,مورفي... أنا آسف جدًا. أنا معك. سنجد الحقيقة معًا.
Choice/21f/text,مورفي، هذا خطير. يجب أن نبقى بعيدًا عن هذا الأمر.
Choice/220/text,ربما تكون مصادفة. دعنا لا نتسرع في الاستنتاجات.
Text/221_comfort1/text,تجثو بجانب مورفي، وتضع يدًا على كتفه.
Text/221/text,يمسك مورفي ذراعك وكأنها طوق نجاة. [color=CHARTREUSE]شكرًا لك.[/color] ظننت أنني أجن.
Text/221_tommy/text,[color=STEEL_BLUE]يستقر صوته قليلًا.[/color] من أجل تومي. نفعل هذا من أجل تومي. وكل شخص آخر أخذوه.
Text/222/text,هناك آخرون يشكون أيضًا. ساشا تجمع الناس. أعتقد أنها تثق بك.
Text/223/text,يمسح مورفي عينيه، محاولًا استعادة رباطة جأشه. أجل. أجل، ربما أنت محق. انسَ أنني قلت أي شيء.
Text/224/text,ولكن إذا غيرت رأيك... سأكون هنا. [color=STEEL_BLUE]وحدي مع أسئلتي. وكوابيسي.[/color]
Text/225/text,مصادفة. يضحك مورفي بمرارة من خلال دموعه. بالتأكيد. وتومي [color=CRIMSON]اختفى[/color] للتو في الهواء.
Text/226/text,استمر في إخبار نفسك بذلك. انظر كم سيساعدك ذلك على النوم. [color=STEEL_BLUE]إنه لا يساعدني.[/color]
Text/227/text,تظهر ساشا عند كشكك مع انتهاء الوردية الأخيرة. تبدو وكأنك رأيت شبحًا.
Text/228/text,دعني أخمن - هل أخبرك مورفي عن ابن عمه؟
Text/229/text,ساشا تهز رأسها موافقةً. جيد. نحن بحاجة إلى أشخاص يطرحون الأسئلة.
Text/22a/text,ساشا تدرس وجهك بعناية. أنت خائف. هذا ذكاء. لكن الخوف لن ينقذ أحداً.
Text/22b/text,"لقد كنت أراقبك منذ يومك الأول. الطريقة التي [color=YELLOW]ترددت[/color] بها عندما تحدث روسيت عن ""المعالجة""."
Text/22c/text,سألت عما يحدث للبطاطس المرفوضة. هذا يتطلب جرأة. [color=CHARTREUSE]معظمهم يحيون ويختمون وحسب.[/color]
Text/22d/text,ساشا تقترب أكثر. هناك نمط. كل بطاطس نرفضها؟ تختفي في غضون 48 ساعة. لا سجلات ترحيل. لا تحويلات.
Text/22e/text,لكن إنتاج [color=DARK_VIOLET]احتياطي الجذور[/color]؟ [tornado radius=3 freq=2][color=CRIMSON]يرتفع.[/color][/tornado] في كل. مرة.
Choice/22f/text,أنا أصدقك. كيف يمكنني المساعدة؟
Choice/230/text,أحتاج لرؤية دليل قبل أن أخاطر بكل شيء.
Text/231/text,عينا ساشا تضيئان. علمت أنني اخترتُ الشخص الصحيح. غداً ليلاً، بعد المناوبة. سأريك ما وجدته.
Text/232/text,حتى ذلك الحين
Text/233/text,حسناً. الدليل قادم. فقط... أبقِ عينيك مفتوحتين خلال مناوبة الغد.
Text/234/text,راقب إلى أين تذهب [color=CRIMSON]البطاطس المرفوضة[/color]. اتبع الشاحنات إن استطعت.
Text/235/text,تسحب الصورة التي أعطتك إياها البطاطس اليائسة. زوجتها. [color=STEEL_BLUE]أين هي الآن؟[/color]
Text/236/text,إذا كان ما تقوله ساشا ومورفي صحيحاً... فقد تم بالفعل...
Text/237/text,لا يمكنك إكمال الفكرة. لكنك [color=CHARTREUSE]لن تنسى وجهها[/color].
Text/238/text,غداً، كل شيء يتغير. إما أن تجد إجابات، أو تدفن الأسئلة إلى الأبد.
Text/239/text,شيء واحد مؤكد: لا [color=YELLOW]عودة إلى الجهل السعيد[/color].
Choice/21e/disabled_text,
Choice/21f/disabled_text,
Choice/220/disabled_text,
Choice/22f/disabled_text,
Choice/230/disabled_text,
