keys,it
Text/102/text,"Bene, ce l'hai fatta. La resistenza sta [color=CHARTREUSE]diventando più forte[/color]. Grazie a quei manifesti, le persone stanno vedendo la verità."
Text/103/text,"Sono riuscito a ottenere questo dossier dalle nostre fonti - programmi di produzione, liste di '[color=CRIMSON]ingredienti[/color]', nomi dei [color=DARK_SLATE_BLUE]scomparsi[/color]."
Text/104/text,Questo non è solo un programma di integratori alimentari. Stanno [color=CRIMSON]processando patate[/color]...e non in modo positivo.
Text/105/text,"Promemoria interni del Primo Ministro Idaho in persona, che autorizzano ""[color=DARK_ORANGE]l'utilizzo di asset rifiutati.[/color]"""
Text/106/text,"Quote per ogni posto di blocco, con la Dogana delle Patate che ha il più alto rapporto di rifiuto-lavorazione."
Text/107/text,La situazione fuori è peggiorata. Folle arrabbiate si radunano ai posti di blocco chiedendo risposte su Root Reserve.
Text/108/text,[color=YELLOW]TRASMISSIONE DI EMERGENZA[/color]: La recente circolazione di [color=CRIMSON]documenti falsificati[/color] ha causato panico inutile.
Text/109/text,Una ricompensa di [color=GOLD]10.000 Crediti Patata[/color] è offerta per informazioni che portino alla cattura di questi sabotatori.
Text/10a/text,Consumare o distribuire questa propaganda è ora classificato come [color=RED]alto tradimento[/color].
Text/10b/text,Il turno di oggi opererà secondo protocolli speciali. Ogni viaggiatore deve sottoporsi a una Valutazione della Lealtà.
Text/10c/text,Coloro che dimostrano [color=CRIMSON]sentimenti anti-governativi[/color] devono essere segnalati immediatamente.
Text/10d/text,Il [color=CRIMSON]traditore tra noi[/color] sarà trovato. E quando lo sarà... [passa il dito attraverso la gola]
Text/10e/text,"Una patata nervosa si avvicina, [color=GOLD]distintivo foglia gialla[/color] parzialmente visibile. Una piccola nota è nascosta tra i documenti: ""[color=CHARTREUSE]Casa sicura compromessa. Nuova posizione: Magazzino 7, Settore 4.[/color]"""
Choice/10f/text,Processali velocemente con il marchio UV (Aiuta)
Choice/110/text,Segnalali immediatamente alla sicurezza (Tradisci)
Text/111/text,"Il sollievo inonda il loro volto. ""Grazie. La verità prevarrà."""
Text/112/text,"L'orrore si fa strada quando segnali alla sicurezza. ""[wave amp=25 freq=3]No, per favore! Ho una famiglia![/wave]"" Il loro distintivo giallo cade a terra."
Text/113/text,Ben fatto. La tua lealtà è stata notata.
Text/114/text,La tua decisione è stata notata. Sii pronto. [tornado radius=3 freq=2][color=CHARTREUSE]Qualcosa di grande sta arrivando[/color][/tornado]. La resistenza sta pianificando un'azione diretta.
Text/115/text,"Quando accadrà, dovrai [color=YELLOW]scegliere da che parte stare[/color]. Non ci sarà più alcun terreno neutrale."
Text/116/text,"Con ogni patata che processi, stai [pulse freq=2][color=CHARTREUSE]aiutando una rivoluzione[/color][/pulse] o [pulse freq=2][color=CRIMSON]permettendo un sistema orribile[/color][/pulse]."
Choice/10f/disabled_text,
Choice/110/disabled_text,
