keys,fi
Text/d2/text,Vuorosi jälkeen sinut johdatetaan salaiseen vastarintakokoukseen hylätyssä tärkkelystehtaassa.
Text/d3/text,"Kulunut, taisteluarpiset peruna puhuttelee kokoontunutta ryhmää."
Text/d4/text,Kuiskausten ja lentolehtisten aika on ohi. Hallitus on näyttänyt todelliset värinsä.
Text/d5/text,"Lähteemme vahvistavat, että [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] -käsittelylaitokset lisäävät tuotantoa."
Text/d6/text,"Mikä tarkoittaa [tornado radius=3 freq=3][color=CRIMSON]lisää kadonneita, käsiteltyjä ja kulutettuja veljiämme ja sisariamme[/color][/tornado]."
Text/d7/text,Johtaja lyö nyrkkinsä pöytään. [pulse freq=3][color=CHARTREUSE]Tämä loppuu nyt.[/color][/pulse] Meillä on suunnitelma iskeä heidän toimintansa ytimeen.
Text/d8/text,Sasha levittää yksityiskohtaiset suunnitelmat pöydälle. Kolmen päivän kuluttua aloitamme pääoffensiivimme.
Text/d9/text,"Sillä välin kun yksi ryhmä luo harhauttavan toiminnan päähallintokompleksilla, toinen tunkeutuu suurimpaan Root Reserve -laitokseen."
Text/da/text,"Tavoitteemme: hankkia [color=CHARTREUSE]kiistattomia todisteita[/color] siitä, mitä sisällä tapahtuu, ja lähettää se kaikille Spudissa."
Text/db/text,Sasha osoittaa suunnitelmien osiota. Tässä sinä tulet mukaan.
Text/dc/text,"Tarvitsemme jonkun Spud Tullissa varmistamaan, että operatiivimme voivat ylittää rajan tehtävää varten."
Text/dd/text,"Voimmeko luottaa siihen, että sinä olet se henkilö?"
Choice/de/text,Teen mitä tahansa paljastaakseni totuuden.
Choice/df/text,Kuulostaa vaaralliselta. Entä jos jäämme kiinni?
Choice/e0/text,"Onko olemassa toinen tapa, joka ei aseta niin monia vaaraan?"
Text/e1/text,Sashan kasvot kirkastuvat toivosta. Kiitos. [color=CHARTREUSE]Rohkeutesi pelastaa lukemattomia henkiä.[/color]
Text/e2/text,"Hän puristaa kättäsi. Kun tämä kaikki on ohi, [color=CHARTREUSE]sinut muistetaan vallankumouksen sankarina.[/color]"
Text/e3/text,Sasha nyökkää juhlallisesti. Se on vaarallista. En valehtele sinulle siitä.
Text/e4/text,"Me kaikki voimme päätyä [color=DARK_VIOLET]käsitellyiksi Root Reserveen[/color], jos epäonnistumme."
Text/e5/text,"Mutta mitään tekemättä jättäminen on vielä vaarallisempaa. Meille kaikille, pitkällä aikavälillä."
Text/e6/text,Sashan ilme muuttuu synkäksi. Olemme yrittäneet muita keinoja. Vuosikausia.
Text/e7/text,Vetoomuksia. Hiljaista diplomatiaa. Nimettömiä vihjeitä. Mikään ei ole toiminut.
Text/e8/text,Joskus on riskirättävä kaikki muuttaakseen mitään.
Text/e9/text,Vastarintaliikkeen jäsenten keskuudessa puhkeaa kiivas keskustelu.
