keys,tr
Text/d2/text,"Vardiyandan sonra, terk edilmiş bir nişasta fabrikasındaki gizli bir direniş toplantısına götürülürsün."
Text/d3/text,Savaş yaraları olan yıpranmış bir patates toplanmış gruba hitap eder.
Text/d4/text,Fısıltılar ve broşürler dönemi sona erdi. Hükümet gerçek yüzünü gösterdi.
Text/d5/text,Kaynaklarımız [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] işleme tesislerinin üretimi artırdığını doğruluyor.
Text/d6/text,"Bu da [tornado radius=3 freq=3][color=CRIMSON]daha fazla kardeşimizin kaybolduğu, işlendiği, tüketildiği[/color][/tornado] anlamına geliyor."
Text/d7/text,Lider masaya yumruğunu vurur. [pulse freq=3][color=CHARTREUSE]Bu şimdi sona eriyor.[/color][/pulse] Operasyonlarının kalbine vurmak için bir planımız var.
Text/d8/text,"Sasha masada ayrıntılı planları açar. Üç gün içinde, ana taarruzumuzu başlatacağız."
Text/d9/text,"Bir ekip ana hükümet kompleksinde bir yanıltma yaratırken, diğeri en büyük Root Reserve tesisine sızacak."
Text/da/text,"Hedefimiz: içeride neler olduğuna dair [color=CHARTREUSE]çürütülemez kanıtlar[/color] elde etmek, bunu tüm Spud'a yayınlamak."
Text/db/text,Sasha planların bir bölümünü işaret eder. İşte burada sen devreye giriyorsun.
Text/dc/text,Operatiflerimizin görev için sınırı geçebilmesini sağlamak için Spud Gümrük içinde birine ihtiyacımız var.
Text/dd/text,O kişi olman için sana güvenebilir miyiz?
Choice/de/text,Gerçeği ortaya çıkarmak için ne gerekiyorsa yaparım.
Choice/df/text,Tehlikeli görünüyor. Ya yakalanırsak?
Choice/e0/text,Bu kadar çok kişiyi riske atmayan başka bir yol var mı?
Text/e1/text,Sasha'nın yüzü umutla aydınlanır. Teşekkürler. [color=CHARTREUSE]Cesaretin sayısız hayat kurtaracak.[/color]
Text/e2/text,"Elini sıkar. Tüm bunlar bittiğinde, [color=CHARTREUSE]devrimin kahramanı olarak hatırlanacaksın.[/color]"
Text/e3/text,Sasha ciddi bir şekilde başını sallar. Tehlikeli. Sana bu konuda yalan söylemeyeceğim.
Text/e4/text,Başarısız olursak hepimiz [color=DARK_VIOLET]Root Reserve'e işlenmiş[/color] olarak sonlanabiliriz.
