keys,bg
Text/265/text,Смяната приключва в неловко мълчание. Охранителните патрули са удвоени. Всички се движат шепнешком.
Text/266/text,"Насочваш се към квартирата си, когато чуваш – [color=YELLOW]викове от офицерското крило[/color]."
Text/267/text,Завиваш зад ъгъла и виждаш как силите за сигурност [pulse freq=3][color=RED]разбиват вратата на Саша[/color][/pulse].
Text/268/text,Гласът на началник Юкон гърми. СЛАДКА КАРТОФКЕ САША! Арестувана си за [color=CRIMSON]държавна измяна срещу нацията на Клубен![/color]
Text/269/text,"Саша е извлечена навън, борейки се. Очите ѝ са предизвикателни, дори докато пазачите извиват ръцете ѝ зад гърба."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]ИСТИНАТА ЩЕ ИЗЛЕЗЕ НАЯВЕ! НЕ МОЖЕТЕ ДА НИ ЗАГЛУШИТЕ ВСИЧКИ![/color][/tornado]
Text/26b/text,Погледът ѝ те намира сред тълпата зяпачи. Времето сякаш замръзва.
Text/26c/text,Разпознаване... после [color=CRIMSON]опустошително разбиране[/color]. Ти предаде местоположението ѝ. Тя знае.
Text/26d/text,"Тя не проговаря. Погледът е достатъчен. [color=STEEL_BLUE]Разочарование, по-дълбоко от омраза.[/color]"
Text/26e/text,Проблясък от нещо – [color=CHARTREUSE]надежда? доверие?[/color] – преминава по лицето ѝ.
Text/26f/text,"Устните ѝ се движат безшумно: ""[color=CHARTREUSE]Корените растат дълбоко.[/color]"" Съобщение. Напомняне."
Text/270/text,"Ръсет излиза от сенките, удовлетворението струи от всяка пора."
Text/271/text,"Е, е. [color=CRIMSON]Сладката картофка се вкисва[/color]. Винаги съм знаел, че има нещо гнило в теб, Саша."
Text/272/text,"Ръсет вдига папка. Твоите малки [color=DARK_VIOLET]манифести[/color]. Твоите ""доказателства"". Всичко е възстановено."
Text/273/text,"Наистина ли си мислеше, че можеш да подкопаеш [pulse freq=2][color=DARK_VIOLET]Кореновия Резерв[/color][/pulse]? Да подкопаеш МЕН?"
Text/274/text,"Копия вече са навън, Ръсет. Светът ще разбере какво правиш с нашите хора!"
Text/275/text,"Ръсет се смее студено. Те ще знаят това, което ние им кажем. А ти? Ти ще бъдеш част от една [color=CRIMSON]много специална партида[/color]."
Text/276/text,"""[color=DARK_VIOLET]Смес за предатели[/color]"" – Мисля, че звучи добре."
Text/277/text,Сърцето ти бие силно. Всеки инстинкт крещи да направиш нещо. Но пазачи има навсякъде.
Choice/278/text,Пристъпи напред и настоявай да я освободят (Безразсъдно)
Choice/279/text,"Остани скрит – живей, за да се биеш друг ден (Прагматично)"
Choice/27a/text,Срещни погледа на Саша и кимни – обещание (Решителност)
Text/27b/text,"Пробиваш си път през тълпата. ""[color=CHARTREUSE]Чакайте! Тя не е направила нищо лошо![/color]"""
Text/27c/text,"Главата на Юкон се обръща рязко към теб. ""[color=RED]Заловете и този![/color]"" Явно е съучастник!"
Text/27d/text,"Мърфи те сграбчва, дърпайки те назад. ""[color=STEEL_BLUE]Объркани са в хаоса! БЯГАЙ![/color]"""
Text/27e/text,"Мърфи те блъска към страничен коридор, докато пазачите се приближават към позицията ти."
Text/27f/text,"Пазачите те хващат. Усмивката на Ръсет се разширява. ""[color=CRIMSON]Двама предатели на цената на един.[/color]"""
Text/280/text,"Свиваш се обратно в сенките, мразейки се с всяка фибра. [color=STEEL_BLUE]Страхливец.[/color]"
Text/281/text,Но жив. И свободен. Засега.
Text/282/text,"Срещаш погледа на Саша. Бавно, преднамерено кимване. [color=CHARTREUSE]Идвам за теб.[/color]"
Text/283/text,"Тя вижда. Най-малката усмивка. После я завличат зад ъгъла, изчезва."
Text/284/text,"Той те намира в хаоса. Лицето му е маска, но очите му горят."
Text/285/text,Отведоха я в [color=CRIMSON]крилото за обработка[/color]. Подниво 3. Там отведоха жена ми.
Text/286/text,Той ти пъха нещо в ръката – [color=GOLD]карта за достъп[/color].
Text/287/text,Когато му дойде времето... [color=CHARTREUSE]Ще си затворя очите[/color]. За жена ми. За всички тях.
Text/288/text,"Мърфи те дърпа в склада, дишайки тежко."
Text/289/text,Това е. Това [color=CRIMSON]наистина се случва[/color]. Хванали са Саша. Ще я обработят до сутринта.
Text/28a/text,"Това беше [color=STEEL_BLUE]глупаво[/color]. Смело, но глупаво. Вече си в списъка им."
Text/28b/text,Съпротивата планира нещо. Утре. Това е единственият ни шанс да я спасим.
Text/28c/text,Навит ли си? [color=CHARTREUSE]Докрай ли?[/color]
Choice/28d/text,"Докрай. Каквото и да е необходимо, за да спасим Саша."
Choice/28e/text,Трябва да помисля. Това се случва твърде бързо.
Text/28f/text,Мърфи стиска рамото ти. [color=CHARTREUSE]Тогава действаме на зазоряване. Корените растат дълбоко.[/color]
Text/290/text,Лицето на Мърфи се втвърдява. Мисли бързо. По това време утре тя ще бъде [color=DARK_VIOLET]Коренов резерв[/color].
Text/291/text,"Лежиш буден, взирайки се в тавана. Лицето на Саша. Нейното неподчинение. Нейният страх."
Text/292/text,"Изваждаш снимката на изчезналата съпруга. Още едно лице, което не успя да спасиш."
Text/293/text,[color=CHARTREUSE]Не и този път.[/color]
Text/294/text,До утре всичко се променя. По един или друг начин.
Text/295/text,[pulse freq=2][color=YELLOW]Край на стоенето отстрани.[/color][/pulse]
Text/296/text,"Килията е студена. През стените чуваш Саша някъде, която ""разпитват""."
Text/297/text,"Утре, казаха те. И двамата ще бъдете [color=DARK_VIOLET]обработени[/color] заедно."
