keys,es-419
Text/117/text,El puesto de control se ha transformado en un puesto militar. Guardias de élite con uniformes negros patrullan con armas a la vista.
Text/118/text,"Soy el Jefe de Seguridad Yukon, enviado desde la capital por el Primer Ministro Idaho."
Text/119/text,"La inteligencia indica que un [pulse freq=2][color=YELLOW]ataque terrorista es inminente[/color][/pulse]. La ""resistencia"" planea infiltrarse mañana."
Text/11a/text,Todos los oficiales se someterán a un [wave amp=15 freq=2][color=DARK_ORANGE]examen de lealtad[/color][/wave]. Comportamiento sospechoso significa detención y [color=DARK_VIOLET]procesamiento[/color].
Text/11b/text,La [tornado radius=3 freq=2][color=RED]cooperación total[/color][/tornado] con Seguridad es obligatoria. Mis informes sobre cada uno de ustedes han sido entregados al Jefe.
Text/11c/text,La mirada de Russet se detiene en ti incómodamente antes de seguir.
Text/11d/text,Este es el [color=DARK_ORANGE]IdentityScan 5000[/color]. Analiza datos biométricos para detectar infiltrados y simpatizantes.
Text/11e/text,Cualquiera que active el escáner se enfrentará a un [color=CRIMSON]interrogatorio mejorado[/color]. Úsalo sin excepción.
Text/11f/text,"¿Has visto a Sasha? No se presentó al pase de lista. Anoche, [color=CRIMSON]fuerzas de seguridad entraron en sus aposentos[/color]."
Text/120/text,Dicen que era parte de la [pulse freq=2][color=CHARTREUSE]resistencia[/color][/pulse].
Choice/121/text,"""No deberíamos hablar de esto. Es peligroso."""
Choice/122/text,"""También estoy preocupado por ella. Esto no está bien."""
Text/123/text,Tienes razón. Pero cuídate. Están buscando conexiones con ella.
Text/124/text,¿Así que eran cercanos? Ten cuidado. Podrían estar vigilándote a ti también.
Text/125/text,"El oficial te desliza una nota: ""[color=YELLOW]Limpia tu estación de cualquier cosa sospechosa.[/color]"""
Text/126/text,Has estado en este puesto de control por bastante tiempo. Un historial de rendimiento interesante.
Text/127/text,"Se te vio frecuentemente con la Oficial Sasha, ahora bajo investigación por [wave amp=20 freq=3][color=CRIMSON]traición[/color][/wave]."
Text/128/text,El jefe se inclina hacia adelante. ¿Hay algo que quieras decirme sobre sus actividades?
Choice/129/text,"""Sasha y yo éramos solo colegas. No sé nada de ella fuera del trabajo."""
Choice/12a/text,"""Estaba reuniendo pruebas sobre sus actividades sospechosas para informar más tarde."""
Text/12b/text,"Múltiples testigos dicen lo contrario. Sin embargo, sin pruebas concretas, no puedo detenerte. [color=YELLOW]Aún.[/color]"
Text/12c/text,"Estarás bajo [color=CRIMSON]estrecha observación[/color]. Un paso en falso, y [color=DARK_VIOLET]te unirás a Sasha[/color]."
Text/12d/text,"Qué conveniente. Y sin embargo, no presentaste ningún informe hasta ahora."
Text/12e/text,"Proporcionarás una declaración completa. Si tu información resulta valiosa, quizás pasemos por alto tu informe tardío."
Text/12f/text,[color=CRIMSON]Monitorearé tu trabajo[/color] hoy. Todo viajero debe ser escaneado por identidad. [color=RED]Sin excepciones[/color].
Text/130/text,"Sasha ha sido capturada. El plan de la resistencia está [color=CRIMSON]comprometido[/color]. Con la seguridad en alerta máxima, sus posibilidades parecen nulas."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
