keys,en,bg,cs,da,de,el,es,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,sk,sv,th,tr,uk,vi,zh-CN
tutorial_title,Tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_welcome,Welcome to [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse],,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_purpose,This training will teach you the [wave amp=15 freq=2][color=DARK_ORANGE]essential skills[/color][/wave] needed to protect Spud's borders.,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_duty,Your duty is to process incoming potatoes at our border checkpoint.,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_queue,Immigrating potatoes will line up outside your office here.,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_gate,"To start processing potatoes, you need to open your booth for service with the switch here.",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_megaphone,You'll signal each potato to approach your office by tapping the megaphone.,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_enter,Potatoes will enter the booth one by one and present their documents.,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_inspect,"First, move their documents over to the inspection table for a better look.",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_check,"Then, look for [tornado radius=3 freq=2][color=YELLOW]expired dates, incorrect information, or signs of forgery[/color][/tornado].",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_stamps,"Your desk has stamps for marking documents, you can click here to pull the stamp bar out.",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_decision,Click the stamp to mark documents as [color=CHARTREUSE]approved[/color] or [color=CRIMSON]rejected[/color] and drag the document back to the potato to finalize your decision!,,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_runners,"Sometimes, potatoes will try to [color=CRIMSON]rush past your checkpoint[/color].",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_missiles,"You have a direct uplink in your booth, which allows you to control [pulse freq=3][color=CRIMSON]missile launchers[/color][/pulse] along the border wall.",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_missile_click,"Click on these \runners\"" to launch a missile and stop them.""",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_strikes,"Remember, each runner that gets through will count as a [wave amp=20 freq=3][color=CRIMSON]strike against you[/color][/wave].",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_failure,"Too many strikes, and your shift will end... [tornado radius=3 freq=3][color=CRIMSON]permanently.[/color][/tornado]",,,,,,,,,,,,,,,,,,,,,,,,,,
tutorial_quota,Each shift has a [color=DARK_ORANGE]quota of potatoes[/color] you need to process to finish your day.,,,,,,,,,,,,,,,,,,,,,,,,,,
shift1_intro_title,First Day,,,,,,,,,,,,,,,,,,,,,,,,,,
shift1_intro_welcome,"Welcome to your first day at [color=MEDIUM_VIOLET_RED]Spud Customs[/color], Officer!",,,,,,,,,,,,,,,,,,,,,,,,,,
shift1_intro_rules,Remember to check the [color=YELLOW]rules[/color] carefully. They change every day!,,,,,,,,,,,,,,,,,,,,,,,,,,
final_confrontation_chaos,"The Spud border is in [pulse freq=3][color=CRIMSON]chaos[/color][/pulse]. Panicked potatoes flood checkpoints, desperate to escape after the leaked documents.",,,,,,,,,,,,,,,,,,,,,,,,,,
final_confrontation_escape,You slip through with Sasha. [wave amp=20 freq=3][color=CHARTREUSE]We have to keep pushing![/color][/wave] The people know the truth now.,,,,,,,,,,,,,,,,,,,,,,,,,,
final_confrontation_truth,"They can't silence the truth any longer. If we can infiltrate the [color=DARK_VIOLET]Root Reserve[/color] facility and broadcast evidence, it'll [tornado radius=3 freq=2][color=CHARTREUSE]ignite the revolution[/color][/tornado].",,,,,,,,,,,,,,,,,,,,,,,,,,
