keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
violation_condition_not_fresh,REJECT: Only Fresh potatoes allowed. This potato is {condition},ODMÍTNOUT: Povoleny jsou pouze čerstvé brambory. Tato brambora je {condition},AFVIS: Kun friske kartofler tilladt. Denne kartoffel er {condition},ABLEHNEN: Nur frische Kartoffeln erlaubt. Diese Kartoffel ist {condition},RECHAZAR: Solo se permiten papas frescas. Esta papa está {condition},HYLKÄÄ: Vain tuoreet perunat sallittu. Tämä peruna on {condition},REJETER: Seules les pommes de terre fraîches autorisées. Cette pomme de terre est {condition},ELUTASÍTÁS: Csak friss krumpli megengedett. Ez a krumpli {condition},TOLAK: Hanya kentang segar yang diizinkan. Kentang ini {condition},RIFIUTA: Solo patate fresche consentite. Questa patata è {condition},AFWIJZEN: Alleen verse aardappelen toegestaan. Deze aardappel is {condition},AVVIS: Bare ferske poteter tillatt. Denne poteten er {condition},ODRZUĆ: Dozwolone tylko świeże ziemniaki. Ten ziemniak jest {condition},REJEITAR: Apenas batatas frescas permitidas. Esta batata está {condition},RESPINGE: Doar cartofi proaspeți permisi. Acest cartof este {condition},ODMIETNUŤ: Povolené iba čerstvé zemiaky. Tento zemiak je {condition},AVVISA: Endast färska potatisar tillåtna. Denna potatis är {condition},REDDET: Sadece taze patates izin verilir. Bu patates {condition},TỪ CHỐI: Chỉ cho phép khoai tây tươi. Khoai tây này là {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition},REJECT: Only Fresh potatoes allowed. This potato is {condition}
violation_extra_eyes,REJECT: Extra Eyes condition is prohibited,ODMÍTNOUT: Stav Extra Oči je zakázán,AFVIS: Extra Øjne tilstand er forbudt,ABLEHNEN: Extra Augen Zustand ist verboten,RECHAZAR: La condición de Ojos Extra está prohibida,HYLKÄÄ: Extra Silmät -tila on kielletty,REJETER: La condition Yeux Supplémentaires est interdite,ELUTASÍTÁS: Az Extra Szemek állapot tilos,TOLAK: Kondisi Mata Tambahan dilarang,RIFIUTA: La condizione Occhi Extra è vietata,AFWIJZEN: Extra Ogen conditie is verboden,AVVIS: Extra Øyne tilstand er forbudt,ODRZUĆ: Stan Dodatkowe Oczy jest zabroniony,REJEITAR: A condição Olhos Extra é proibida,RESPINGE: Condiția Ochi Suplimentari este interzisă,ODMIETNUŤ: Stav Extra Oči je zakázaný,AVVISA: Extra Ögon tillstånd är förbjudet,REDDET: Ekstra Gözler durumu yasaktır,TỪ CHỐI: Tình trạng Mắt Bổ Sung bị cấm,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited,REJECT: Extra Eyes condition is prohibited
violation_rotten,REJECT: Rotten potatoes are prohibited,ODMÍTNOUT: Shnilé brambory jsou zakázány,AFVIS: Rådne kartofler er forbudt,ABLEHNEN: Faule Kartoffeln sind verboten,RECHAZAR: Las papas podridas están prohibidas,HYLKÄÄ: Mädäntyneet perunat ovat kiellettyjä,REJETER: Les pommes de terre pourries sont interdites,ELUTASÍTÁS: A rohadt krumpli tilos,TOLAK: Kentang busuk dilarang,RIFIUTA: Le patate marce sono vietate,AFWIJZEN: Rotte aardappelen zijn verboden,AVVIS: Råtne poteter er forbudt,ODRZUĆ: Zgniłe ziemniaki są zabronione,REJEITAR: Batatas podres são proibidas,RESPINGE: Cartofii putred sunt interzisi,ODMIETNUŤ: Shnité zemiaky são zakázané,AVVISA: Ruttna potatisar är förbjudna,REDDET: Çürük patatesler yasaktır,TỪ CHỐI: Khoai tây thối bị cấm,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited,REJECT: Rotten potatoes are prohibited
violation_sprouted,REJECT: Sprouted potatoes are prohibited,ODMÍTNOUT: Naklíčené brambory jsou zakázány,AFVIS: Spirede kartofler er forbudt,ABLEHNEN: Gekeimte Kartoffeln sind verboten,RECHAZAR: Las papas germinadas están prohibidas,HYLKÄÄ: Itäneet perunat ovat kiellettyjä,REJETER: Les pommes de terre germées sont interdites,ELUTASÍTÁS: A csírázott krumpli tilos,TOLAK: Kentang bertunas dilarang,RIFIUTA: Le patate germogliate sono vietate,AFWIJZEN: Gekiemde aardappelen zijn verboden,AVVIS: Spirte poteter er forbudt,ODRZUĆ: Skiełkowane ziemniaki są zabronione,REJEITAR: Batatas germinadas são proibidas,RESPINGE: Cartofii germinați sunt interzisi,ODMIETNUŤ: Naklíčené zemiaky sú zakázané,AVVISA: Grodda potatisar är förbjudna,REDDET: Filizlenmiş patatesler yasaktır,TỪ CHỐI: Khoai tây nảy mầm bị cấm,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited,REJECT: Sprouted potatoes are prohibited
violation_dehydrated,REJECT: Dehydrated potatoes are prohibited,ODMÍTNOUT: Dehydrované brambory jsou zakázány,AFVIS: Dehydrerede kartofler er forbudt,ABLEHNEN: Dehydrierte Kartoffeln sind verboten,RECHAZAR: Las papas deshidratadas están prohibidas,HYLKÄÄ: Kuivatut perunat ovat kiellettyjä,REJETER: Les pommes de terre déshydratées sont interdites,ELUTASÍTÁS: A dehidratált krumpli tilos,TOLAK: Kentang dehidrasi dilarang,RIFIUTA: Le patate disidratate sono vietate,AFWIJZEN: Gedehydrateerde aardappelen zijn verboden,AVVIS: Dehydrerte poteter er forbudt,ODRZUĆ: Odwodnione ziemniaki są zabronione,REJEITAR: Batatas desidratadas são proibidas,RESPINGE: Cartofii deshidratați sunt interzisi,ODMIETNUŤ: Dehydrované zemiaky sú zakázané,AVVISA: Dehydrerade potatisar är förbjudna,REDDET: Kurutulmuş patatesler yasaktır,TỪ CHỐI: Khoai tây mất nước bị cấm,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited,REJECT: Dehydrated potatoes are prohibited
violation_frozen,REJECT: Frozen potatoes are prohibited,ODMÍTNOUT: Zmrazené brambory jsou zakázány,AFVIS: Frosne kartofler er forbudt,ABLEHNEN: Gefrorene Kartoffeln sind verboten,RECHAZAR: Las papas congeladas están prohibidas,HYLKÄÄ: Pakastetut perunat ovat kiellettyjä,REJETER: Les pommes de terre congelées sont interdites,ELUTASÍTÁS: A fagyasztott krumpli tilos,TOLAK: Kentang beku dilarang,RIFIUTA: Le patate congelate sono vietate,AFWIJZEN: Bevroren aardappelen zijn verboden,AVVIS: Frosne poteter er forbudt,ODRZUĆ: Zamrożone ziemniaki są zabronione,REJEITAR: Batatas congeladas são proibidas,RESPINGE: Cartofii înghețați sunt interzisi,ODMIETNUŤ: Zmrazené zemiaky sú zakázané,AVVISA: Frysta potatisar är förbjudna,REDDET: Donmuş patatesler yasaktır,TỪ CHỐI: Khoai tây đông lạnh bị cấm,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited,REJECT: Frozen potatoes are prohibited
violation_too_old,REJECT: Potato is {age} years old (maximum age: 4 years),ODMÍTNOUT: Brambora je {age} let stará (maximální věk: 4 roky),AFVIS: Kartoffel er {age} år gammel (maksimal alder: 4 år),ABLEHNEN: Kartoffel ist {age} Jahre alt (Höchstalter: 4 Jahre),RECHAZAR: La papa tiene {age} años (edad máxima: 4 años),HYLKÄÄ: Peruna on {age} vuotta vanha (enimmäisikä: 4 vuotta),REJETER: La pomme de terre a {age} ans (âge maximum: 4 ans),ELUTASÍTÁS: A krumpli {age} éves (maximum életkor: 4 év),TOLAK: Kentang berumur {age} tahun (usia maksimum: 4 tahun),RIFIUTA: La patata ha {age} anni (età massima: 4 anni),AFWIJZEN: Aardappel is {age} jaar oud (maximale leeftijd: 4 jaar),AVVIS: Potet er {age} år gammel (maksimal alder: 4 år),ODRZUĆ: Ziemniak ma {age} lat (maksymalny wiek: 4 lata),REJEITAR: Batata tem {age} anos (idade máxima: 4 anos),RESPINGE: Cartoful are {age} ani (vârsta maximă: 4 ani),ODMIETNUŤ: Zemiak má {age} rokov (maximálny vek: 4 roky),AVVISA: Potatis är {age} år gammal (maximal ålder: 4 år),REDDET: Patates {age} yaşında (maksimum yaş: 4 yıl),TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối đa: 4 năm),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years),REJECT: Potato is {age} years old (maximum age: 4 years)
violation_too_young_3,REJECT: Potato is {age} years old (minimum age: 4 years),ODMÍTNOUT: Brambora je {age} let stará (minimální věk: 4 roky),AFVIS: Kartoffel er {age} år gammel (mindste alder: 4 år),ABLEHNEN: Kartoffel ist {age} Jahre alt (Mindestalter: 4 Jahre),RECHAZAR: La papa tiene {age} años (edad mínima: 4 años),HYLKÄÄ: Peruna on {age} vuotta vanha (vähimmäisikä: 4 vuotta),REJETER: La pomme de terre a {age} ans (âge minimum: 4 ans),ELUTASÍTÁS: A krumpli {age} éves (minimum életkor: 4 év),TOLAK: Kentang berumur {age} tahun (usia minimum: 4 tahun),RIFIUTA: La patata ha {age} anni (età minima: 4 anni),AFWIJZEN: Aardappel is {age} jaar oud (minimale leeftijd: 4 jaar),AVVIS: Potet er {age} år gammel (minimal alder: 4 år),ODRZUĆ: Ziemniak ma {age} lat (minimalny wiek: 4 lata),REJEITAR: Batata tem {age} anos (idade mínima: 4 anos),RESPINGE: Cartoful are {age} ani (vârsta minimă: 4 ani),ODMIETNUŤ: Zemiak má {age} rokov (minimálny vek: 4 roky),AVVISA: Potatis är {age} år gammal (minimal ålder: 4 år),REDDET: Patates {age} yaşında (minimum yaş: 4 yıl),TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối thiểu: 4 năm),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years),REJECT: Potato is {age} years old (minimum age: 4 years)
violation_too_young_2,REJECT: Potato is {age} years old (minimum age: 3 years),ODMÍTNOUT: Brambora je {age} let stará (minimální věk: 3 roky),AFVIS: Kartoffel er {age} år gammel (mindste alder: 3 år),ABLEHNEN: Kartoffel ist {age} Jahre alt (Mindestalter: 3 Jahre),RECHAZAR: La papa tiene {age} años (edad mínima: 3 años),HYLKÄÄ: Peruna on {age} vuotta vanha (vähimmäisikä: 3 vuotta),REJETER: La pomme de terre a {age} ans (âge minimum: 3 ans),ELUTASÍTÁS: A krumpli {age} éves (minimum életkor: 3 év),TOLAK: Kentang berumur {age} tahun (usia minimum: 3 tahun),RIFIUTA: La patata ha {age} anni (età minima: 3 anni),AFWIJZEN: Aardappel is {age} jaar oud (minimale leeftijd: 3 jaar),AVVIS: Potet er {age} år gammel (minimal alder: 3 år),ODRZUĆ: Ziemniak ma {age} lat (minimalny wiek: 3 lata),REJEITAR: Batata tem {age} anos (idade mínima: 3 anos),RESPINGE: Cartoful are {age} ani (vârsta minimă: 3 ani),ODMIETNUŤ: Zemiak má {age} rokov (minimálny vek: 3 roky),AVVISA: Potatis är {age} år gammal (minimal ålder: 3 år),REDDET: Patates {age} yaşında (minimum yaş: 3 yıl),TỪ CHỐI: Khoai tây {age} tuổi (tuổi tối thiểu: 3 năm),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years),REJECT: Potato is {age} years old (minimum age: 3 years)
violation_males_only,REJECT: Only Male potatoes allowed,ODMÍTNOUT: Povoleny jsou pouze samčí brambory,AFVIS: Kun mandlige kartofler tilladt,ABLEHNEN: Nur männliche Kartoffeln erlaubt,RECHAZAR: Solo se permiten papas macho,HYLKÄÄ: Vain uros perunat sallittu,REJETER: Seules les pommes de terre mâles autorisées,ELUTASÍTÁS: Csak hím krumpli megengedett,TOLAK: Hanya kentang jantan yang diizinkan,RIFIUTA: Solo patate maschio consentite,AFWIJZEN: Alleen mannelijke aardappelen toegestaan,AVVIS: Bare mannlige poteter tillatt,ODRZUĆ: Dozwolone tylko męskie ziemniaki,REJEITAR: Apenas batatas macho permitidas,RESPINGE: Doar cartofi masculi permisi,ODMIETNUŤ: Povolené iba samčie zemiaky,AVVISA: Endast manliga potatisar tillåtna,REDDET: Sadece erkek patates izin verilir,TỪ CHỐI: Chỉ cho phép khoai tây đực,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed,REJECT: Only Male potatoes allowed
